3,0 3.268.160 12 272.346,0 302.400,0 194.624 344.640 65.544,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.269.984 12 272.498,0 303.632,0 194.656 342.688 65.692,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.276.896 12 273.074,0 302.768,0 194.752 346.432 66.103,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.272.128 12 272.677,0 303.360,0 194.304 341.696 64.453,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.284.864 12 273.738,0 302.480,0 194.272 343.872 64.604,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.264.928 12 272.077,0 301.952,0 194.528 343.872 65.453,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.269.664 12 272.472,0 302.464,0 194.304 342.976 65.587,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 2.284.736 12 190.394,0 222.352,0 116.032 254.624 63.514,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.264.864 12 272.072,0 300.832,0 194.240 345.184 65.802,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 2.366.240 12 197.186,0 215.072,0 146.112 240.544 40.559,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.268.800 12 272.400,0 302.720,0 194.720 342.976 65.667,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.280.064 12 273.338,0 301.008,0 194.784 344.384 64.183,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.284.032 12 273.669,0 305.408,0 194.944 342.688 64.696,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.256.096 12 271.341,0 301.232,0 194.784 340.352 64.305,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.254.240 12 271.186,0 299.488,0 195.456 341.952 64.586,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.268.832 12 272.402,0 303.248,0 194.144 344.128 65.904,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.261.120 12 271.760,0 301.696,0 194.240 343.168 65.491,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.273.216 12 272.768,0 300.272,0 194.592 341.824 63.380,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.261.728 12 271.810,0 302.256,0 194.688 341.440 65.076,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.278.912 12 273.242,0 303.936,0 195.616 342.944 65.071,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.281.152 12 273.429,0 302.960,0 194.464 342.976 64.759,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.266.368 12 272.197,0 300.912,0 194.400 344.704 65.847,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.269.632 12 272.469,0 301.696,0 195.328 342.432 64.794,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.254.368 12 271.197,0 299.952,0 194.336 342.496 65.077,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.277.824 12 273.152,0 304.592,0 194.336 344.704 66.209,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.268.512 12 272.376,0 301.072,0 195.104 342.816 64.434,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.233.888 12 269.490,0 290.784,0 194.048 341.216 63.709,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.267.840 12 272.320,0 302.304,0 194.784 344.128 65.687,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.257.216 12 271.434,0 301.456,0 194.464 341.664 64.792,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.272.288 12 272.690,0 302.032,0 194.912 344.160 64.745,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.270.976 12 272.581,0 300.416,0 194.432 343.968 64.533,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.255.136 12 271.261,0 300.288,0 194.656 342.464 64.954,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 2.348.416 12 195.701,0 212.864,0 145.664 242.080 42.004,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.262.048 12 271.837,0 301.920,0 194.496 342.528 65.488,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.280.384 12 273.365,0 303.088,0 194.464 342.272 64.080,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.284.448 12 273.704,0 303.680,0 194.848 343.776 64.426,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.309.984 12 275.832,0 302.048,0 194.880 343.776 63.493,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.264.864 12 272.072,0 301.376,0 194.144 344.768 65.643,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.257.824 12 271.485,0 299.264,0 194.688 343.008 65.101,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.261.568 12 271.797,0 300.944,0 194.944 343.328 65.215,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.286.368 12 273.864,0 305.648,0 194.720 344.512 64.920,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.271.776 12 272.648,0 302.400,0 194.208 342.784 64.683,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.270.144 12 272.512,0 297.664,0 194.432 343.904 64.508,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
