21,0 21.467.680 12 1.788.973,0 575.792,0 210.400 8.917.856 2.600.520,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.466.496 12 1.788.874,0 569.648,0 210.432 8.923.872 2.602.393,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 15.837.760 12 1.319.813,0 409.440,0 154.592 6.690.624 1.952.659,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.465.088 12 1.788.757,0 571.232,0 214.112 8.923.008 2.601.601,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.529.376 12 1.794.114,0 571.360,0 209.184 8.924.832 2.602.598,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.396.416 12 1.783.034,0 569.232,0 209.664 8.930.176 2.602.394,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.425.888 12 1.785.490,0 562.000,0 212.480 8.933.440 2.604.044,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.453.760 12 1.787.813,0 571.664,0 212.320 8.926.144 2.603.395,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.365.888 12 1.780.490,0 560.896,0 208.480 8.927.488 2.601.740,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.446.144 12 1.787.178,0 572.480,0 212.096 8.920.448 2.602.405,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.431.136 12 1.785.928,0 565.024,0 208.448 8.930.656 2.604.785,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.411.584 12 1.784.298,0 575.680,0 210.848 8.938.144 2.602.286,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.479.296 12 1.789.941,0 568.528,0 211.200 8.927.200 2.603.726,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.482.528 12 1.790.210,0 565.040,0 213.600 8.919.712 2.601.783,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.457.824 12 1.788.152,0 575.648,0 213.440 8.921.664 2.599.914,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.439.040 12 1.786.586,0 568.944,0 211.424 8.924.448 2.601.922,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.379.008 12 1.781.584,0 570.768,0 209.056 8.915.072 2.597.826,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.401.312 12 1.783.442,0 568.224,0 209.312 8.923.232 2.599.641,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.375.840 12 1.781.320,0 566.176,0 211.456 8.931.744 2.602.617,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.547.840 12 1.795.653,0 605.664,0 212.928 8.919.104 2.594.863,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.417.728 12 1.784.810,0 563.936,0 210.272 8.917.504 2.601.380,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.403.936 12 1.783.661,0 569.472,0 210.336 8.915.104 2.598.148,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.419.744 12 1.784.978,0 568.112,0 208.992 8.921.120 2.600.902,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.447.616 12 1.787.301,0 573.136,0 209.344 8.924.864 2.602.422,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
