46,0 942.652.224 10 94.265.222,0 92.453.104,0 86.770.944 110.452.128 6.465.202,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 942.880.320 10 94.288.032,0 92.440.048,0 86.699.488 109.374.944 6.178.443,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 926.361.888 10 92.636.188,0 92.169.232,0 86.714.464 99.414.208 3.383.510,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 943.217.216 10 94.321.721,0 92.049.424,0 86.970.080 112.913.888 7.030.687,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 916.680.608 10 91.668.060,0 91.694.928,0 86.928.992 98.672.544 3.026.472,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 931.112.160 10 93.111.216,0 92.198.128,0 86.829.504 102.904.544 4.481.199,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 960.688.000 10 96.068.800,0 92.453.200,0 86.803.040 119.179.168 9.510.676,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.338.688 10 92.233.868,0 91.665.728,0 86.957.024 98.508.416 3.401.684,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 919.593.888 10 91.959.388,0 91.706.544,0 86.938.080 98.582.176 3.202.784,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.475.112.992 10 147.511.299,0 126.845.504,0 90.415.104 228.530.688 59.780.331,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.190.856.064 10 119.085.606,0 92.089.920,0 86.919.072 196.755.552 44.422.854,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 949.237.600 10 94.923.760,0 92.340.800,0 87.033.472 116.335.040 8.149.674,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 936.741.184 10 93.674.118,0 92.467.664,0 86.766.080 105.205.696 5.066.029,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 962.178.784 10 96.217.878,0 92.582.880,0 86.836.128 129.912.544 12.223.931,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 937.229.120 10 93.722.912,0 92.154.768,0 86.956.064 103.646.080 4.725.642,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 937.545.568 10 93.754.556,0 92.738.048,0 86.901.696 102.363.424 4.393.188,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 930.246.528 10 93.024.652,0 91.874.416,0 86.886.880 99.945.696 3.935.908,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.201.728 10 91.920.172,0 91.705.984,0 86.896.096 95.665.440 2.848.936,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.167.137.344 10 116.713.734,0 93.818.704,0 86.915.840 213.079.104 50.589.006,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.508.199.168 10 150.819.916,0 165.042.656,0 91.232.832 211.155.200 50.032.031,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.207.098.528 10 120.709.852,0 95.007.424,0 90.527.808 183.489.472 39.640.358,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.007.009.152 10 100.700.915,0 92.165.968,0 86.961.248 147.457.504 18.457.040,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 936.037.536 10 93.603.753,0 92.595.952,0 86.880.736 104.012.704 4.763.175,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 977.918.816 10 97.791.881,0 93.816.304,0 86.960.864 139.933.824 15.171.331,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 959.929.856 10 95.992.985,0 92.359.584,0 87.041.952 130.369.312 12.327.377,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 950.180.704 10 95.018.070,0 92.091.136,0 86.995.840 116.304.192 8.138.717,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 928.245.984 10 92.824.598,0 91.966.656,0 86.815.680 100.465.504 3.920.552,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 966.681.184 10 96.668.118,0 93.637.568,0 86.810.976 130.033.760 12.167.492,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.046.324.064 10 104.632.406,0 95.395.888,0 86.838.336 160.948.288 21.619.905,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 932.134.880 10 93.213.488,0 91.943.856,0 87.013.536 101.179.712 4.151.784,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 944.935.840 10 94.493.584,0 92.393.776,0 86.805.568 113.668.864 7.396.968,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 971.493.024 10 97.149.302,0 93.782.288,0 86.878.976 117.676.000 9.478.566,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 949.738.752 10 94.973.875,0 93.323.040,0 87.016.544 107.369.952 6.062.287,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 944.814.752 10 94.481.475,0 92.738.208,0 86.892.960 109.495.808 6.174.412,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 936.048.704 10 93.604.870,0 92.090.080,0 86.988.512 102.197.440 4.389.153,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 953.501.696 10 95.350.169,0 92.459.920,0 86.943.872 120.083.200 9.223.402,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 954.839.584 10 95.483.958,0 92.552.096,0 86.895.200 107.876.256 7.049.164,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 951.542.368 10 95.154.236,0 92.420.448,0 86.769.120 120.390.048 9.373.165,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 951.145.056 10 95.114.505,0 92.369.168,0 86.708.768 118.639.456 8.831.472,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.011.231.296 10 101.123.129,0 92.488.176,0 86.824.416 168.048.896 23.980.480,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.736.962.656 10 173.696.265,0 172.718.160,0 98.833.728 217.167.968 36.596.066,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 967.493.696 10 96.749.369,0 92.519.552,0 86.945.536 121.238.816 10.240.415,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 923.188.384 10 92.318.838,0 91.601.568,0 86.880.768 98.695.200 3.473.552,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 932.246.080 10 93.224.608,0 92.128.336,0 86.829.056 101.701.184 4.243.776,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 923.617.440 10 92.361.744,0 91.815.360,0 86.949.344 98.642.464 3.402.215,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 985.800.576 10 98.580.057,0 92.510.864,0 86.738.528 149.623.616 18.261.227,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 961.406.688 10 96.140.668,0 92.337.456,0 86.873.856 113.066.944 8.342.096,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 953.770.624 10 95.377.062,0 93.347.872,0 86.874.528 120.812.832 9.328.113,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 930.514.336 10 93.051.433,0 91.926.112,0 86.947.584 100.185.536 3.955.973,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 970.427.328 10 97.042.732,0 92.457.264,0 86.721.728 119.928.736 10.370.642,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 963.905.152 10 96.390.515,0 92.807.856,0 86.976.224 114.622.592 9.305.263,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 949.802.432 10 94.980.243,0 92.104.848,0 86.714.080 119.575.680 9.158.021,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 970.010.240 10 97.001.024,0 92.338.000,0 86.860.896 139.892.064 15.348.644,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 932.813.408 10 93.281.340,0 92.433.376,0 86.986.688 100.911.104 4.046.274,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 942.723.424 10 94.272.342,0 92.075.856,0 86.956.640 112.353.120 6.873.883,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 930.741.376 10 93.074.137,0 92.308.080,0 86.823.296 99.848.224 3.858.506,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 934.568.256 10 93.456.825,0 92.281.616,0 86.872.640 104.158.848 4.586.457,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.018.658.432 10 101.865.843,0 92.733.952,0 86.970.848 162.509.952 22.579.413,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 955.958.720 10 95.595.872,0 92.637.152,0 87.006.624 107.638.464 6.989.666,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 931.293.088 10 93.129.308,0 92.102.608,0 87.019.264 100.185.440 3.897.317,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.166.208 10 94.516.620,0 92.119.184,0 86.877.760 108.538.752 6.098.203,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.082.896.160 10 108.289.616,0 108.368.864,0 95.063.936 147.367.520 15.057.685,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 932.128.672 10 93.212.867,0 92.141.824,0 86.987.712 98.562.208 3.643.486,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 960.060.832 10 96.006.083,0 92.281.280,0 86.954.016 127.586.208 11.524.341,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 943.948.000 10 94.394.800,0 92.290.880,0 86.815.648 119.035.328 8.912.776,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.304.451.584 10 130.445.158,0 112.544.464,0 103.985.312 180.724.704 31.632.057,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 935.132.704 10 93.513.270,0 92.421.136,0 87.015.456 100.436.064 4.005.052,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 966.930.144 10 96.693.014,0 92.233.152,0 86.908.128 133.332.832 13.254.301,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 974.775.936 10 97.477.593,0 92.454.176,0 86.868.864 141.679.776 15.841.219,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.005.520.512 10 100.552.051,0 93.759.136,0 86.839.552 153.010.336 19.428.290,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 962.137.664 10 96.213.766,0 92.456.512,0 86.938.528 127.468.288 11.437.366,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 934.396.096 10 93.439.609,0 91.948.816,0 87.049.344 103.253.600 4.611.569,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 977.875.008 10 97.787.500,0 94.851.904,0 86.898.944 116.218.688 10.133.582,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 933.020.480 10 93.302.048,0 92.045.648,0 86.950.240 99.389.632 3.834.747,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 920.394.368 10 92.039.436,0 91.754.832,0 87.073.632 98.683.904 3.204.810,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 934.301.408 10 93.430.140,0 92.605.568,0 86.992.064 101.793.952 4.221.238,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 920.362.624 10 92.036.262,0 92.012.880,0 86.842.208 98.594.560 3.230.956,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.022.566.976 10 102.256.697,0 94.134.160,0 86.945.664 157.031.968 20.581.294,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 958.593.152 10 95.859.315,0 92.513.824,0 86.870.432 124.230.944 10.474.660,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 932.922.336 10 93.292.233,0 92.265.216,0 86.909.664 103.356.928 4.583.032,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 975.086.336 10 97.508.633,0 93.367.168,0 86.810.944 139.099.520 14.967.645,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 929.189.856 10 92.918.985,0 91.980.640,0 86.924.736 98.762.816 3.701.669,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 929.203.648 10 92.920.364,0 92.107.392,0 86.940.544 98.574.720 3.597.845,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.064.896.768 10 106.489.676,0 93.094.944,0 86.940.288 175.172.224 29.800.385,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 918.803.840 10 91.880.384,0 91.665.376,0 86.786.656 95.644.800 2.857.426,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 981.369.568 10 98.136.956,0 92.428.416,0 86.834.784 147.831.552 17.739.882,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 934.938.528 10 93.493.852,0 92.323.776,0 86.880.160 103.898.368 4.739.911,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 982.778.752 10 98.277.875,0 93.782.224,0 86.911.744 143.386.176 16.244.899,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 948.403.712 10 94.840.371,0 92.226.624,0 86.815.808 117.509.600 8.525.099,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 943.353.824 10 94.335.382,0 92.463.664,0 86.815.008 111.953.888 6.898.840,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 957.779.360 10 95.777.936,0 92.167.744,0 86.761.504 125.872.608 11.022.514,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
