46,0 995.486.688 1.023 973.105,0 819.328,0 790.208 1.824.000 302.715,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.706.692.704 1.023 1.668.321,0 1.635.520,0 1.181.952 1.985.440 83.487,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.007.403.968 1.023 984.754,0 823.008,0 791.936 1.882.624 296.889,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.206.208.832 1.023 1.179.089,0 957.312,0 785.472 1.837.152 434.459,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.061.408.192 1.023 1.037.544,0 963.168,0 788.576 1.836.192 314.650,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.019.835.008 1.023 996.906,0 821.312,0 788.736 1.927.872 300.137,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 990.229.504 1.023 967.966,0 819.840,0 788.960 1.915.808 298.990,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 980.925.216 1.023 958.871,0 819.360,0 790.368 1.876.128 295.387,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.070.012.896 1.023 1.045.955,0 818.528,0 791.712 1.860.480 360.826,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 928.088.832 1.023 907.222,0 821.856,0 791.232 1.926.656 247.976,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.013.199.776 1.023 990.420,0 891.136,0 788.576 1.644.288 246.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 991.685.024 1.023 969.389,0 819.968,0 789.728 1.770.688 294.745,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.003.858.368 1.023 981.288,0 819.968,0 789.248 1.784.736 295.447,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.531.537.248 1.023 1.497.103,0 1.634.336,0 948.736 1.912.160 321.293,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.038.144.960 1.023 1.014.804,0 819.328,0 794.528 1.821.088 357.012,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.515.722.496 1.023 1.481.644,0 1.612.320,0 860.032 1.806.112 294.839,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.002.510.880 1.023 979.971,0 822.560,0 788.128 1.813.408 289.414,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.022.474.592 1.023 999.486,0 819.424,0 790.240 1.843.936 317.932,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.110.966.368 1.023 1.085.988,0 975.584,0 788.480 1.911.584 315.435,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.006.852.096 1.023 984.215,0 819.648,0 784.672 1.872.032 335.480,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.712.785.728 1.023 1.674.277,0 1.635.008,0 1.572.832 2.053.088 81.625,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.071.804.672 1.023 1.047.707,0 905.056,0 786.976 1.767.552 339.126,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.157.987.776 1.023 1.131.952,0 964.960,0 788.352 1.803.744 388.110,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 993.809.024 1.023 971.465,0 852.032,0 784.800 1.849.344 287.035,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.014.804.192 1.023 991.988,0 822.592,0 798.176 1.799.520 320.819,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 988.926.016 1.023 966.692,0 819.264,0 790.176 1.914.560 313.042,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.467.208.288 1.023 1.434.221,0 1.623.424,0 936.768 1.831.616 335.255,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.086.568.064 1.023 1.062.138,0 861.184,0 785.632 1.841.120 359.882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.018.355.744 1.023 995.460,0 819.168,0 787.968 1.804.896 330.436,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.666.610.656 1.023 1.629.140,0 1.631.296,0 952.768 1.843.168 164.319,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.002.826.240 1.023 980.279,0 818.880,0 791.968 1.740.096 294.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.032.673.280 1.023 1.009.455,0 819.872,0 785.952 1.836.896 332.014,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 981.999.104 1.023 959.920,0 820.288,0 787.264 1.913.536 295.261,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 999.703.424 1.023 977.227,0 821.216,0 791.136 1.787.968 274.216,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.131.798.048 1.023 1.106.352,0 859.776,0 789.920 1.839.392 393.249,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.638.899.072 1.023 1.602.051,0 1.626.432,0 943.680 1.844.032 186.151,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.665.626.016 1.023 1.628.177,0 1.628.416,0 897.568 1.834.720 189.137,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.009.824.864 1.023 987.121,0 818.976,0 791.552 1.840.864 315.468,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.019.144.064 1.023 996.230,0 866.112,0 797.440 1.791.712 292.553,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
