0,0 109.312 3 36.437,0 35.968,0 35.040 38.304 1.681,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.888 3 36.629,0 35.744,0 34.528 39.616 2.657,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.504 3 36.501,0 35.840,0 35.424 38.240 1.520,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.344 3 36.448,0 35.904,0 34.592 38.848 2.179,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 117.504 3 39.168,0 37.984,0 37.408 42.112 2.565,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.536 3 36.512,0 35.808,0 34.976 38.752 1.984,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.920 3 36.640,0 36.256,0 34.944 38.720 1.917,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 121.664 3 40.554,0 39.008,0 38.816 43.840 2.846,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.368 3 38.122,0 37.184,0 36.928 40.256 1.851,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 117.056 3 39.018,0 38.624,0 37.184 41.248 2.060,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 119.616 3 39.872,0 39.456,0 37.504 42.656 2.601,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.176 3 36.725,0 35.840,0 34.592 39.744 2.687,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.728 3 36.576,0 35.872,0 34.432 39.424 2.569,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.584 3 38.528,0 37.472,0 37.344 40.768 1.941,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.464 3 36.821,0 36.192,0 35.328 38.944 1.888,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.968 3 38.656,0 37.440,0 36.832 41.696 2.650,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.120 3 36.373,0 36.000,0 34.752 38.368 1.836,0 CUDA_KERNEL lud_perimeter(float *, int, int)
