0,0 16.128 3 5.376,0 5.440,0 3.872 6.816 1.473,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.504 3 5.834,0 5.408,0 4.800 7.296 1.301,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.328 3 7.776,0 8.064,0 6.304 8.960 1.351,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.544 3 5.514,0 5.472,0 4.288 6.784 1.248,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.312,0 4.032 6.784 1.377,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.312,0 4.352 6.784 1.224,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.400 3 7.466,0 8.000,0 6.272 8.128 1.036,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.848 3 7.616,0 7.968,0 6.400 8.480 1.083,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.312,0 4.544 6.784 1.138,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.280,0 4.512 6.656 1.086,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.648 3 7.882,0 8.256,0 6.336 9.056 1.397,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.000 3 5.333,0 5.280,0 4.064 6.656 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.496 3 7.498,0 8.000,0 6.432 8.064 924,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.152 3 7.050,0 6.560,0 6.368 8.224 1.020,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.288 3 5.429,0 5.440,0 4.192 6.656 1.232,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.800 3 5.600,0 5.504,0 4.672 6.624 979,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.848 3 7.616,0 8.192,0 6.336 8.320 1.110,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.840 3 5.280,0 5.184,0 4.096 6.560 1.234,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.928 3 5.642,0 5.504,0 4.160 7.264 1.556,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.240 3 7.413,0 7.840,0 6.240 8.160 1.028,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.136 3 7.712,0 8.160,0 6.624 8.352 947,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.936 3 5.312,0 5.280,0 3.904 6.752 1.424,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.536,0 4.320 6.464 1.075,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.000 3 8.000,0 7.968,0 6.336 9.696 1.680,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.104 3 7.701,0 7.968,0 6.272 8.864 1.316,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.344 3 7.114,0 6.944,0 6.336 8.064 876,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.504,0 3.936 6.688 1.380,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.976 3 7.658,0 8.000,0 6.368 8.608 1.158,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.440 3 9.813,0 9.792,0 8.640 11.008 1.184,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.576 3 5.525,0 5.568,0 4.192 6.816 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.040 3 7.680,0 7.968,0 6.560 8.512 1.007,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.568 3 9.856,0 9.760,0 8.512 11.296 1.394,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.472,0 4.000 6.656 1.330,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.280,0 4.288 6.848 1.290,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.504,0 4.032 6.784 1.377,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.560 3 7.520,0 7.936,0 6.368 8.256 1.010,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.096 3 5.365,0 5.280,0 4.032 6.784 1.378,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.032 3 5.344,0 5.184,0 4.256 6.592 1.176,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.968 3 5.322,0 5.152,0 4.032 6.784 1.383,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.728 3 7.242,0 7.968,0 5.536 8.224 1.483,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.288 3 5.429,0 5.280,0 4.224 6.784 1.286,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.288 3 5.429,0 5.280,0 4.256 6.752 1.254,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.776 3 5.258,0 5.152,0 4.032 6.592 1.283,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.312 3 5.770,0 5.856,0 4.640 6.816 1.090,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.816 3 7.605,0 8.192,0 6.368 8.256 1.072,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.544 3 5.514,0 5.472,0 4.192 6.880 1.344,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.784 3 7.594,0 7.968,0 6.400 8.416 1.058,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.096 3 5.365,0 5.408,0 3.872 6.816 1.472,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.192 3 5.397,0 5.440,0 4.064 6.688 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.720 3 7.573,0 8.096,0 6.368 8.256 1.046,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.664 3 7.221,0 8.096,0 5.408 8.160 1.570,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.576 3 5.525,0 5.312,0 4.160 7.104 1.483,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.376,0 4.576 6.688 1.066,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.720 3 7.573,0 7.936,0 6.400 8.384 1.040,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.784 3 7.594,0 8.032,0 6.272 8.480 1.167,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.472,0 4.096 6.880 1.392,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.096 3 5.365,0 5.056,0 4.288 6.752 1.260,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.032 3 5.344,0 5.248,0 3.968 6.816 1.426,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.472,0 4.256 6.592 1.168,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.840 3 5.280,0 5.216,0 4.032 6.592 1.281,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.976 3 7.658,0 7.968,0 6.432 8.576 1.105,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.192 3 5.397,0 5.280,0 4.224 6.688 1.236,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.504,0 4.032 6.720 1.346,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.440,0 4.064 6.624 1.281,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.472,0 4.032 6.912 1.440,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.272 3 7.424,0 7.072,0 5.600 9.600 2.023,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.608 3 5.536,0 5.568,0 4.192 6.848 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.592 3 7.530,0 8.064,0 6.304 8.224 1.065,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.624 3 7.541,0 8.032,0 6.272 8.320 1.108,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.672 3 5.557,0 5.504,0 4.256 6.912 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.672 3 5.557,0 5.536,0 4.224 6.912 1.344,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.312,0 4.096 6.848 1.379,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.936 3 5.312,0 5.216,0 4.000 6.720 1.362,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.968 3 5.322,0 5.344,0 4.032 6.592 1.280,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.312,0 4.384 6.816 1.227,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.672 3 5.557,0 5.504,0 4.544 6.624 1.041,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.976 3 7.658,0 7.872,0 6.464 8.640 1.103,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.368 3 7.456,0 7.968,0 6.336 8.064 971,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.808 3 5.269,0 5.280,0 3.840 6.688 1.424,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.736 3 5.578,0 5.728,0 4.000 7.008 1.509,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.344 3 5.781,0 5.920,0 4.640 6.784 1.078,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.504,0 4.096 6.720 1.313,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.672 3 5.557,0 5.536,0 4.704 6.432 864,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.808 3 5.269,0 5.344,0 3.872 6.592 1.361,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.144 3 7.381,0 7.872,0 6.240 8.032 991,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.064 3 5.354,0 5.216,0 4.096 6.752 1.333,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.064 3 5.354,0 5.248,0 4.128 6.688 1.283,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.840 3 7.946,0 8.320,0 6.368 9.152 1.429,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.608 3 5.536,0 5.472,0 4.384 6.752 1.185,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.624 3 7.541,0 8.128,0 6.304 8.192 1.072,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.976 3 7.658,0 8.224,0 6.304 8.448 1.178,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.160 3 5.386,0 5.248,0 4.032 6.880 1.429,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.664,0 4.224 6.752 1.268,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.560 3 7.520,0 8.128,0 6.304 8.128 1.053,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.440,0 4.160 6.816 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.704 3 5.568,0 5.568,0 4.288 6.848 1.280,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.832 3 5.610,0 5.312,0 4.768 6.752 1.025,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.168 3 5.056,0 5.184,0 4.160 5.824 839,0 CUDA_KERNEL lud_internal(float *, int, int)
