0,0 129.632 4 32.408,0 31.648,0 31.168 35.168 1.858,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.560 4 32.640,0 31.888,0 31.200 35.584 2.001,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.856 4 32.464,0 31.648,0 31.200 35.360 1.971,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 132.768 4 33.192,0 32.240,0 31.552 36.736 2.384,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.120 4 32.280,0 31.328,0 31.168 35.296 2.012,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.272 4 32.568,0 32.096,0 31.136 34.944 1.647,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.400 4 32.600,0 31.744,0 31.200 35.712 2.098,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.040 4 32.760,0 32.048,0 31.168 35.776 2.053,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 138.144 4 34.536,0 33.120,0 33.088 38.816 2.853,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.760 4 32.440,0 31.552,0 31.104 35.552 2.101,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.632 4 32.408,0 31.520,0 31.168 35.424 2.025,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 144.608 4 36.152,0 35.440,0 34.592 39.136 2.029,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.480 4 34.120,0 32.816,0 32.736 38.112 2.661,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 139.200 4 34.800,0 33.552,0 33.152 38.944 2.785,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 142.016 4 35.504,0 34.560,0 33.760 39.136 2.451,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.656 4 32.664,0 32.000,0 31.200 35.456 1.900,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.784 4 32.696,0 32.064,0 31.200 35.456 1.885,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 139.808 4 34.952,0 33.904,0 33.184 38.816 2.602,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.592 4 32.648,0 31.952,0 31.168 35.520 1.950,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.600 4 34.400,0 33.232,0 32.704 38.432 2.729,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 128.864 4 32.216,0 31.232,0 31.168 35.232 2.011,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 138.432 4 34.608,0 33.200,0 33.120 38.912 2.869,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 135.712 4 33.928,0 32.752,0 32.704 37.504 2.384,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 139.872 4 34.968,0 33.792,0 33.280 39.008 2.736,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.304 4 32.576,0 31.728,0 31.168 35.680 2.125,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 135.776 4 33.944,0 32.832,0 32.768 37.344 2.266,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 135.264 4 33.816,0 32.800,0 32.672 36.992 2.118,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.280 4 32.320,0 31.552,0 31.168 35.008 1.801,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 135.520 4 33.880,0 32.864,0 32.736 37.056 2.118,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.056 4 34.264,0 32.960,0 32.704 38.432 2.784,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.664 4 32.416,0 31.616,0 31.168 35.264 1.940,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.352 4 34.088,0 33.216,0 32.768 37.152 2.085,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.488 4 32.872,0 32.016,0 31.200 36.256 2.289,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.784 4 32.696,0 31.936,0 31.136 35.776 2.090,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.168 4 32.792,0 32.000,0 31.136 36.032 2.198,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 143.424 4 35.856,0 34.832,0 34.560 39.200 2.234,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.200 4 32.800,0 32.000,0 31.200 36.000 2.168,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.040 4 32.760,0 32.064,0 31.104 35.808 2.081,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.040 4 32.760,0 32.128,0 31.168 35.616 1.957,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.208 4 32.552,0 31.600,0 31.168 35.840 2.225,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 140.800 4 35.200,0 34.256,0 33.952 38.336 2.095,0 CUDA_KERNEL lud_diagonal(float *, int, int)
