31,0 11.274.592 1 11.274.592,0 11.274.592,0 11.274.592 11.274.592 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.176 1 11.274.176,0 11.274.176,0 11.274.176 11.274.176 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.274.272 1 11.274.272,0 11.274.272,0 11.274.272 11.274.272 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
35,0 11.272.608 1 11.272.608,0 11.272.608,0 11.272.608 11.272.608 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.276.448 1 11.276.448,0 11.276.448,0 11.276.448 11.276.448 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.273.280 1 11.273.280,0 11.273.280,0 11.273.280 11.273.280 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.528 1 11.274.528,0 11.274.528,0 11.274.528 11.274.528 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.273.120 1 11.273.120,0 11.273.120,0 11.273.120 11.273.120 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.272.224 1 11.272.224,0 11.272.224,0 11.272.224 11.272.224 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 8.454.976 1 8.454.976,0 8.454.976,0 8.454.976 8.454.976 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.275.136 1 11.275.136,0 11.275.136,0 11.275.136 11.275.136 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 8.454.464 1 8.454.464,0 8.454.464,0 8.454.464 8.454.464 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.080 1 11.274.080,0 11.274.080,0 11.274.080 11.274.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 11.274.688 1 11.274.688,0 11.274.688,0 11.274.688 11.274.688 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.272.832 1 11.272.832,0 11.272.832,0 11.272.832 11.272.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.848 1 11.274.848,0 11.274.848,0 11.274.848 11.274.848 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.275.360 1 11.275.360,0 11.275.360,0 11.275.360 11.275.360 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.304 1 11.274.304,0 11.274.304,0 11.274.304 11.274.304 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.080 1 11.274.080,0 11.274.080,0 11.274.080 11.274.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.271.456 1 11.271.456,0 11.271.456,0 11.271.456 11.271.456 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.272.352 1 11.272.352,0 11.272.352,0 11.272.352 11.272.352 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.274.208 1 11.274.208,0 11.274.208,0 11.274.208 11.274.208 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 11.273.792 1 11.273.792,0 11.273.792,0 11.273.792 11.273.792 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.272.768 1 11.272.768,0 11.272.768,0 11.272.768 11.272.768 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.275.168 1 11.275.168,0 11.275.168,0 11.275.168 11.275.168 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.274.912 1 11.274.912,0 11.274.912,0 11.274.912 11.274.912 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.271.744 1 11.271.744,0 11.271.744,0 11.271.744 11.271.744 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.275.552 1 11.275.552,0 11.275.552,0 11.275.552 11.275.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.336 1 11.274.336,0 11.274.336,0 11.274.336 11.274.336 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.120 1 11.273.120,0 11.273.120,0 11.273.120 11.273.120 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.248 1 11.273.248,0 11.273.248,0 11.273.248 11.273.248 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.276.352 1 11.276.352,0 11.276.352,0 11.276.352 11.276.352 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.856 1 11.273.856,0 11.273.856,0 11.273.856 11.273.856 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.272.928 1 11.272.928,0 11.272.928,0 11.272.928 11.272.928 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.273.696 1 11.273.696,0 11.273.696,0 11.273.696 11.273.696 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 11.273.312 1 11.273.312,0 11.273.312,0 11.273.312 11.273.312 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.275.808 1 11.275.808,0 11.275.808,0 11.275.808 11.275.808 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 11.274.688 1 11.274.688,0 11.274.688,0 11.274.688 11.274.688 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.728 1 11.273.728,0 11.273.728,0 11.273.728 11.273.728 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.276.768 1 11.276.768,0 11.276.768,0 11.276.768 11.276.768 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.278.304 1 11.278.304,0 11.278.304,0 11.278.304 11.278.304 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.275.328 1 11.275.328,0 11.275.328,0 11.275.328 11.275.328 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.824 1 11.273.824,0 11.273.824,0 11.273.824 11.273.824 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.848 1 11.274.848,0 11.274.848,0 11.274.848 11.274.848 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.272.416 1 11.272.416,0 11.272.416,0 11.272.416 11.272.416 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.568 1 11.273.568,0 11.273.568,0 11.273.568 11.273.568 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.275.072 1 11.275.072,0 11.275.072,0 11.275.072 11.275.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.274.496 1 11.274.496,0 11.274.496,0 11.274.496 11.274.496 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.276.000 1 11.276.000,0 11.276.000,0 11.276.000 11.276.000 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.760 1 11.273.760,0 11.273.760,0 11.273.760 11.273.760 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.272.896 1 11.272.896,0 11.272.896,0 11.272.896 11.272.896 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.784 1 11.274.784,0 11.274.784,0 11.274.784 11.274.784 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.376 1 11.273.376,0 11.273.376,0 11.273.376 11.273.376 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.276.032 1 11.276.032,0 11.276.032,0 11.276.032 11.276.032 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.208 1 11.274.208,0 11.274.208,0 11.274.208 11.274.208 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.276.928 1 11.276.928,0 11.276.928,0 11.276.928 11.276.928 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.056 1 11.273.056,0 11.273.056,0 11.273.056 11.273.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.696 1 11.273.696,0 11.273.696,0 11.273.696 11.273.696 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.272.832 1 11.272.832,0 11.272.832,0 11.272.832 11.272.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.432 1 11.274.432,0 11.274.432,0 11.274.432 11.274.432 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.944 1 11.274.944,0 11.274.944,0 11.274.944 11.274.944 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.274.176 1 11.274.176,0 11.274.176,0 11.274.176 11.274.176 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.272.192 1 11.272.192,0 11.272.192,0 11.272.192 11.272.192 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.275.040 1 11.275.040,0 11.275.040,0 11.275.040 11.275.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.273.280 1 11.273.280,0 11.273.280,0 11.273.280 11.273.280 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
