      0,0          411.392          1     411.392,0    411.392,0    411.392      411.392           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        3.883.904          1   3.883.904,0  3.883.904,0  3.883.904    3.883.904            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          740.224          1     740.224,0    740.224,0    740.224      740.224            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.962.976          1   1.962.976,0  1.962.976,0  1.962.976    1.962.976           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          408.768          1     408.768,0    408.768,0    408.768      408.768           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.682.592          1   2.682.592,0  2.682.592,0  2.682.592    2.682.592           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          506.208          1     506.208,0    506.208,0    506.208      506.208           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.080.832          1   2.080.832,0  2.080.832,0  2.080.832    2.080.832           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          402.272          1     402.272,0    402.272,0    402.272      402.272           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.349.984          1   2.349.984,0  2.349.984,0  2.349.984    2.349.984            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          455.648          1     455.648,0    455.648,0    455.648      455.648            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.974.304          1   1.974.304,0  1.974.304,0  1.974.304    1.974.304           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          412.576          1     412.576,0    412.576,0    412.576      412.576           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.961.888          1   1.961.888,0  1.961.888,0  1.961.888    1.961.888           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          409.408          1     409.408,0    409.408,0    409.408      409.408           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.975.616          1   1.975.616,0  1.975.616,0  1.975.616    1.975.616           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          394.144          1     394.144,0    394.144,0    394.144      394.144           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.913.408          1   2.913.408,0  2.913.408,0  2.913.408    2.913.408           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          544.480          1     544.480,0    544.480,0    544.480      544.480           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        3.870.464          1   3.870.464,0  3.870.464,0  3.870.464    3.870.464            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          744.640          1     744.640,0    744.640,0    744.640      744.640            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.963.072          1   1.963.072,0  1.963.072,0  1.963.072    1.963.072           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          392.512          1     392.512,0    392.512,0    392.512      392.512           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
