     45,0       30.914.848        100     309.148,0     308.384,0     306.528     376.384      6.858,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     47,0      103.527.616        100    1.035.276,0      354.352,0      348.736    7.028.416  1.332.270,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       31.578.816        100     315.788,0     316.752,0     307.264     383.424      8.089,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       31.165.664        100     311.656,0     310.912,0     308.256     375.840      6.652,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       81.992.864        100     819.928,0     736.432,0     356.224   4.031.552    766.570,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       37.224.096        100     372.241,0     343.024,0     338.976   2.258.592    213.440,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       44.551.200        100     445.512,0     351.824,0     317.696   2.433.728    381.415,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       31.016.768        100     310.167,0     309.504,0     307.040     377.568      6.924,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       33.767.648        100     337.676,0     310.240,0     306.464   1.754.048    188.999,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.472.384        100     394.723,0     310.496,0     307.680   1.705.056    293.000,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       38.023.488        100     380.234,0     374.624,0     365.952     467.360     14.404,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       31.054.528        100     310.545,0     309.856,0     307.744     373.952      6.509,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     47,0       80.888.704        100     808.887,0     739.072,0     318.880   4.190.016    640.316,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     40,0       31.067.616        100     310.676,0     309.760,0     307.968     378.432      6.981,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       80.057.408        100     800.574,0     727.776,0     354.080   4.222.240    797.107,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       39.086.656        100     390.866,0     396.848,0     318.688     454.784     20.865,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     39,0       31.074.240        100     310.742,0     309.936,0     307.840     356.288      4.847,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       30.993.728        100     309.937,0     308.976,0     307.488     378.560      7.009,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       38.721.600        100     387.216,0     321.536,0     315.808   2.051.776    281.891,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       87.384.064        100     873.840,0     773.184,0     713.472   2.864.672    366.622,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       70.180.160        100     701.801,0     743.872,0     353.216     795.616    124.040,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       38.431.072        100     384.310,0     394.448,0     357.184     459.712     17.868,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       38.337.472        100     383.374,0     394.752,0     315.584     463.968     28.204,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.553.376        100     395.533,0     394.976,0     392.928     454.624      6.037,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       39.575.456        100     395.754,0     394.960,0     392.960     466.240      7.204,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       34.030.848        100     340.308,0     339.840,0     336.320     407.136      6.950,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.667.968        100     396.679,0     395.968,0     393.600     457.216      6.240,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       68.446.048        100     684.460,0     724.400,0     354.016     764.736    120.160,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       36.719.488        100     367.194,0     371.136,0     318.528     446.080     16.182,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       31.194.848        100     311.948,0     311.296,0     309.344     369.056      5.855,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       37.777.984        100     377.779,0     394.144,0     315.616     464.544     32.592,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       34.377.280        100     343.772,0     342.896,0     340.512     416.160      7.418,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       67.704.224        100     677.042,0     735.712,0     357.408     802.560    145.742,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       34.149.760        100     341.497,0     340.832,0     337.536     406.176      6.681,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     47,0       97.713.600        100      977.136,0      752.944,0      322.752    4.027.296    793.090,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       76.571.520        100     765.715,0     364.768,0     355.264   4.079.264    729.096,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.659.936        100     396.599,0     396.032,0     393.248     460.000      6.492,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       67.172.832        100     671.728,0     733.072,0     355.616   1.294.432    165.458,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       75.108.640        100     751.086,0     760.576,0     362.400     816.992     63.651,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       36.013.152        100     360.131,0     362.912,0     312.032     413.824     17.866,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       89.947.776        100     899.477,0     754.752,0     354.112   4.214.816    819.720,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       37.749.152        100     377.491,0     310.880,0     306.144   1.962.496    274.543,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       34.212.608        100     342.126,0     341.600,0     338.912     388.800      4.828,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       68.207.520        100     682.075,0     742.800,0     357.120     870.176    158.985,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     39,0       33.565.856        100     335.658,0     321.200,0     315.968     411.520     19.276,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       53.722.368        100     537.223,0     396.416,0     356.512   2.703.712    498.247,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       97.675.456        100     976.754,0     788.288,0     360.256   4.060.928    737.262,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       30.982.752        100     309.827,0     309.344,0     307.168     356.704      4.888,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       34.068.320        100     340.683,0     339.632,0     336.896     394.624      5.824,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     37,0       38.965.984        100     389.659,0     356.640,0     307.936   2.552.640    266.468,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     40,0       34.293.504        100     342.935,0     342.336,0     338.880     410.112      6.944,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     39,0       33.971.936        100     339.719,0     342.192,0     315.296     408.672     17.389,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
