     37,0      699.212.704      3.900  179.285,0  177.024,0   173.312    225.152      5.590,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     19,0      798.319.136      3.900  204.697,0  207.648,0   176.448    236.928     12.164,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     19,0      710.480.032      3.900  182.174,0  180.096,0   172.640    227.872      6.307,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      931.781.568      3.900  238.918,0  225.792,0   173.056    419.136     64.126,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      714.232.768      3.900  183.136,0  180.192,0   175.936    272.992      8.202,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      956.988.608      3.900  245.381,0  260.192,0   172.576    412.128     48.478,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      806.184.096      3.900  206.713,0  210.272,0   178.208    239.904     12.926,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      736.369.024      3.900  188.812,0  177.504,0   173.440    307.936     22.768,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      916.079.072      3.900  234.892,0  222.816,0   173.184    417.568     57.407,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      711.059.296      3.900  182.322,0  180.096,0   176.640    229.888      5.704,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     37,0      830.372.320      3.900  212.916,0  181.024,0   173.152    421.536     54.505,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      921.104.384      3.900  236.180,0  215.184,0   172.832    418.816     53.888,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      807.593.088      3.900  207.075,0  210.560,0   177.696    241.888     13.001,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     20,0      858.342.496      3.900  220.087,0  210.368,0   175.968    421.088     49.953,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      712.112.864      3.900  182.593,0  180.384,0   176.640    222.688      5.707,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      922.006.752      3.900  236.412,0  215.648,0   173.504     417.664     51.872,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0    1.012.036.768      3.900  259.496,0  260.288,0   204.864    416.256     54.268,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      952.064.000      3.900  244.119,0  225.664,0   173.120    415.584     56.832,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      921.307.360      3.900  236.232,0  215.776,0   173.408    406.048     53.389,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     38,0      884.606.752      3.900  226.822,0  211.216,0   173.344    416.832     58.112,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      941.396.896      3.900  241.383,0  219.792,0   172.768    420.800     60.077,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      807.546.048      3.900  207.063,0  210.624,0   177.440    240.736     13.235,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      913.148.800      3.900  234.140,0  188.048,0   172.800    421.120     66.920,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
