3,0 9.360.416 2 4.680.208,0 4.680.208,0 1.857.696 7.502.720 3.991.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.389.120 2 3.694.560,0 3.694.560,0 1.860.704 5.528.416 2.593.464,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.304.896 2 4.652.448,0 4.652.448,0 1.865.472 7.439.424 3.941.379,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.362.560 2 3.681.280,0 3.681.280,0 1.857.984 5.504.576 2.578.529,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.371.456 2 3.685.728,0 3.685.728,0 1.852.352 5.519.104 2.592.785,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.287.936 2 4.643.968,0 4.643.968,0 1.859.360 7.428.576 3.938.030,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.314.240 2 4.657.120,0 4.657.120,0 1.860.064 7.454.176 3.955.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.400.448 2 3.700.224,0 3.700.224,0 1.860.480 5.539.968 2.601.790,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.342.944 2 4.671.472,0 4.671.472,0 1.861.760 7.481.184 3.973.532,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.334.752 2 4.667.376,0 4.667.376,0 1.869.824 7.464.928 3.956.336,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.369.472 2 3.684.736,0 3.684.736,0 1.865.664 5.503.808 2.572.556,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.315.456 2 4.657.728,0 4.657.728,0 1.853.056 7.462.400 3.966.405,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.379.680 2 3.689.840,0 3.689.840,0 1.864.864 5.514.816 2.580.905,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.372.704 2 3.686.352,0 3.686.352,0 1.860.704 5.512.000 2.581.856,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.354.176 2 4.677.088,0 4.677.088,0 1.867.168 7.487.008 3.973.827,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.320.640 2 4.660.320,0 4.660.320,0 1.868.576 7.452.064 3.948.122,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.334.912 2 4.667.456,0 4.667.456,0 1.863.232 7.471.680 3.965.771,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.321.280 2 4.660.640,0 4.660.640,0 1.862.816 7.458.464 3.956.720,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.362.880 2 3.681.440,0 3.681.440,0 1.857.408 5.505.472 2.579.570,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.330.208 2 4.665.104,0 4.665.104,0 1.864.160 7.466.048 3.961.133,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
