2,0 8.132.288 100 81.322,0 60.912,0 53.696 117.344 26.316,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.216.704 100 102.167,0 110.816,0 60.576 118.528 18.942,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.389.024 100 83.890,0 61.648,0 53.440 117.152 26.801,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.740.768 100 77.407,0 61.120,0 53.056 118.240 25.610,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.801.440 100 98.014,0 110.608,0 59.488 116.480 22.909,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.166.144 100 81.661,0 61.120,0 56.000 115.040 25.442,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.057.248 100 80.572,0 61.264,0 53.152 117.728 26.923,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.466.944 100 74.669,0 60.608,0 52.960 116.736 24.390,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.739.808 100 57.398,0 58.432,0 52.960 64.832 2.406,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.503.808 100 55.038,0 54.144,0 52.928 65.568 2.052,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.262.144 100 52.621,0 52.560,0 51.392 59.616 863,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.098.400 100 80.984,0 61.184,0 57.856 117.184 25.368,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.411.328 100 84.113,0 61.504,0 58.016 117.152 25.810,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.420.160 100 64.201,0 65.632,0 60.128 73.536 2.927,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.883.648 100 88.836,0 108.368,0 56.032 116.704 25.145,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.369.216 100 53.692,0 53.936,0 51.616 59.552 1.007,0 CUDA_KERNEL prepare(long, float *, float *, float *)
