31,0 1.108.810.400 1.023 1.083.881,0 876.544,0 786.624 2.067.744 403.397,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.447.471.552 1.023 1.414.928,0 1.069.344,0 943.776 2.116.160 452.624,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.392.809.632 1.023 1.361.495,0 1.230.496,0 815.840 2.063.648 355.809,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.257.736.064 1.023 1.229.458,0 1.051.392,0 950.304 2.093.600 363.963,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.121.997.440 1.023 1.096.771,0 843.616,0 784.864 2.066.752 399.175,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.455.475.200 1.023 1.422.751,0 1.660.768,0 782.560 2.149.824 505.458,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.730.097.568 1.023 1.691.200,0 1.653.408,0 1.112.128 2.072.128 191.131,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
34,0 1.422.350.432 1.023 1.390.371,0 1.651.552,0 784.832 2.131.904 517.977,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.541.841.632 1.023 1.507.176,0 1.669.376,0 783.296 2.135.136 447.321,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.452.350.944 1.023 1.419.697,0 1.247.136,0 953.120 2.122.272 335.347,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.093.047.968 1.023 1.068.473,0 846.048,0 784.224 2.130.592 382.567,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.679.611.584 1.023 1.641.849,0 1.645.312,0 1.089.184 2.076.832 220.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.085.526.112 1.023 1.061.120,0 846.432,0 784.768 2.078.592 402.572,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.101.034.016 1.023 1.076.279,0 845.632,0 786.208 2.070.592 388.101,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.312.969.920 1.023 1.283.450,0 1.082.944,0 785.728 2.089.952 495.636,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
28,0 1.051.846.048 1.023 1.028.197,0 845.024,0 785.312 2.029.184 376.293,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.107.466.016 1.023 1.082.567,0 844.096,0 783.360 2.071.424 408.460,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.074.534.688 1.023 1.050.376,0 846.912,0 786.912 2.147.808 419.982,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.064.570.272 1.023 1.040.635,0 844.032,0 784.608 2.076.320 348.384,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.192.295.136 1.023 1.165.488,0 843.456,0 783.232 2.050.848 485.572,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.520.791.904 1.023 1.486.600,0 1.234.880,0 1.092.544 2.067.680 320.445,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.035.817.280 1.023 1.012.529,0 846.432,0 785.216 2.073.824 316.500,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.010.718.176 1.023 987.994,0 846.784,0 787.168 2.072.544 302.070,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.092.269.472 1.023 1.067.712,0 846.560,0 786.496 2.031.520 414.061,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 989.657.568 1.023 967.407,0 846.080,0 787.520 2.128.896 308.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
34,0 1.688.977.920 1.023 1.651.004,0 1.659.008,0 955.744 2.083.680 285.550,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.521.105.856 1.023 1.486.907,0 1.646.592,0 951.904 1.965.888 349.655,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.002.318.080 1.023 979.783,0 843.904,0 784.672 2.146.432 307.406,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.224.122.944 1.023 1.196.601,0 844.320,0 785.920 2.118.720 489.083,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.720.971.648 1.023 1.682.279,0 1.655.648,0 1.129.664 2.128.480 204.169,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
27,0 1.011.839.040 1.023 989.090,0 846.400,0 781.408 2.095.712 313.616,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.028.815.840 1.023 1.005.685,0 847.232,0 786.688 2.077.600 329.701,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.409.943.296 1.023 1.378.243,0 1.240.608,0 958.432 2.045.728 333.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.766.386.816 1.023 1.726.673,0 1.662.016,0 1.169.312 2.096.416 168.220,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.417.280.832 1.023 1.385.416,0 1.591.200,0 956.768 1.771.712 286.654,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 999.162.528 1.023 976.698,0 846.848,0 782.784 2.092.992 300.839,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
28,0 1.007.684.928 1.023 985.029,0 845.184,0 785.728 2.142.112 340.933,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.222.350.080 1.023 1.194.868,0 1.018.208,0 782.240 2.140.512 421.723,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.479.002.848 1.023 1.445.750,0 1.637.792,0 783.264 2.076.032 383.595,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
