3,0 672.929.504 6.000 112.154,0 108.928,0 105.056 357.120 24.724,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 678.616.352 6.000 113.102,0 109.632,0 105.440 358.336 25.143,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 673.810.752 6.000 112.301,0 109.376,0 104.576 355.776 24.328,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 680.021.152 6.000 113.336,0 110.464,0 104.416 355.616 21.138,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 686.013.312 6.000 114.335,0 111.936,0 106.496 356.800 22.821,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 671.988.000 6.000 111.998,0 109.216,0 103.840 350.368 22.602,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 672.538.592 6.000 112.089,0 108.704,0 104.672 362.496 25.821,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 691.984.576 6.000 115.330,0 108.736,0 104.928 355.520 35.664,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 680.050.848 6.000 113.341,0 110.528,0 105.952 359.392 23.838,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 680.684.960 6.000 113.447,0 109.952,0 105.344 1.876.544 33.559,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 686.162.496 6.000 114.360,0 112.096,0 106.624 357.984 22.211,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 691.131.008 6.000 115.188,0 110.816,0 106.464 360.768 29.042,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.030.560 6.000 113.505,0 111.904,0 104.928 359.808 20.695,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 709.445.216 6.000 118.240,0 113.904,0 105.280 352.192 32.503,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.901.216 6.000 113.650,0 109.888,0 104.608 366.048 25.495,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 676.797.312 6.000 112.799,0 110.496,0 104.640 354.016 22.828,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 731.070.688 6.000 121.845,0 112.768,0 105.024 356.320 40.019,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 682.821.056 6.000 113.803,0 109.120,0 104.448 359.488 29.064,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 711.178.624 6.000 118.529,0 111.616,0 106.752 356.640 35.263,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 701.696.128 6.000 116.949,0 112.320,0 106.560 366.880 28.591,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.808.192 6.000 113.634,0 111.264,0 105.120 354.560 21.125,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.329.856 6.000 113.555,0 110.336,0 105.856 363.232 26.287,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 683.106.752 6.000 113.851,0 109.472,0 104.512 360.544 27.640,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 677.112.256 6.000 112.852,0 109.728,0 105.056 352.544 24.224,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 686.001.344 6.000 114.333,0 109.344,0 104.448 362.880 31.710,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 737.410.816 6.000 122.901,0 114.688,0 105.664 357.952 37.972,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 684.627.648 6.000 114.104,0 110.080,0 104.928 354.272 29.079,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 685.512.480 6.000 114.252,0 110.976,0 105.792 1.878.432 34.003,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 689.263.872 6.000 114.877,0 110.688,0 104.576 353.088 29.529,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 678.213.280 6.000 113.035,0 109.888,0 104.288 358.240 25.178,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 683.571.456 6.000 113.928,0 112.096,0 105.664 355.456 21.102,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 682.699.840 6.000 113.783,0 110.128,0 104.768 359.776 26.139,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 682.633.088 6.000 113.772,0 110.752,0 107.168 2.460.064 37.824,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 675.985.536 6.000 112.664,0 109.920,0 105.504 358.240 20.626,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 684.277.024 6.000 114.046,0 110.048,0 104.960 353.248 27.515,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 676.477.088 6.000 112.746,0 109.504,0 105.376 352.608 24.137,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 688.557.888 6.000 114.759,0 111.008,0 107.200 364.064 26.924,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 690.661.728 6.000 115.110,0 110.368,0 104.352 357.856 31.078,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 683.430.848 6.000 113.905,0 110.816,0 106.144 361.984 24.951,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 678.804.256 6.000 113.134,0 109.136,0 105.152 355.008 27.166,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.201.248 6.000 113.533,0 109.376,0 104.192 1.883.392 36.474,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 677.806.176 6.000 112.967,0 109.920,0 104.256 1.448.992 27.463,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 685.534.304 6.000 114.255,0 112.288,0 104.672 363.552 20.960,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 680.550.400 6.000 113.425,0 108.608,0 104.384 3.282.208 48.960,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 688.643.904 6.000 114.774,0 110.016,0 105.376 362.240 31.598,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 687.795.712 6.000 114.632,0 112.288,0 105.984 354.240 21.151,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 690.402.976 6.000 115.067,0 109.504,0 104.960 360.320 32.037,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 734.622.432 6.000 122.437,0 110.720,0 105.632 358.208 46.054,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 711.266.624 6.000 118.544,0 112.128,0 106.912 355.360 32.230,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 677.369.888 6.000 112.895,0 110.144,0 104.736 356.896 23.353,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 702.111.744 6.000 117.018,0 109.344,0 104.640 358.400 38.127,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 701.922.048 6.000 116.987,0 109.920,0 105.184 358.560 36.668,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 682.549.856 6.000 113.758,0 109.312,0 104.832 354.304 28.662,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 678.185.920 6.000 113.031,0 109.696,0 104.736 357.312 25.252,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 692.772.288 6.000 115.462,0 113.280,0 104.896 353.792 22.638,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 687.059.936 6.000 114.510,0 111.520,0 104.544 352.736 25.280,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 682.921.152 6.000 113.820,0 111.232,0 105.952 356.160 23.447,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 692.750.208 6.000 115.458,0 111.360,0 105.184 352.544 29.048,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 691.496.768 6.000 115.249,0 110.880,0 104.608 358.592 29.870,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 684.387.168 6.000 114.064,0 109.088,0 103.840 356.896 28.623,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 688.709.024 6.000 114.784,0 111.456,0 105.280 354.336 25.116,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.046.816 6.000 113.507,0 111.232,0 104.128 352.032 21.740,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 727.822.016 6.000 121.303,0 114.176,0 105.920 361.088 35.642,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 674.257.984 6.000 112.376,0 108.960,0 104.960 363.904 23.119,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 671.426.848 6.000 111.904,0 108.832,0 104.320 364.416 25.234,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 692.027.936 6.000 115.338,0 109.632,0 105.216 356.704 32.765,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 693.225.568 6.000 115.537,0 109.696,0 104.896 357.856 24.411,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
