37,0 6.829.170.496 6.000 1.138.195,0 1.121.536,0 1.110.720 2.456.768 117.774,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.913.960.928 6.000 1.152.326,0 1.124.416,0 1.109.312 2.451.456 114.417,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.942.009.248 6.000 1.157.001,0 1.135.328,0 1.123.968 2.457.056 110.170,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.900.119.200 6.000 1.150.019,0 1.122.176,0 1.113.024 2.449.376 123.593,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
38,0 6.846.292.640 6.000 1.141.048,0 1.122.144,0 1.112.928 3.088.672 130.761,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.956.805.536 6.000 1.159.467,0 1.120.480,0 1.110.112 2.466.144 197.554,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.914.172.288 6.000 1.152.362,0 1.135.520,0 1.127.168 5.236.160 130.669,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.854.235.584 6.000 1.142.372,0 1.121.984,0 1.110.880 3.137.216 125.122,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.981.524.928 6.000 1.163.587,0 1.136.608,0 1.126.592 2.456.768 117.793,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
38,0 6.977.363.744 6.000 1.162.894,0 1.136.416,0 1.126.272 2.454.048 147.116,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.976.776.768 6.000 1.162.796,0 1.157.984,0 1.112.864 2.449.440 122.401,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.129.473.568 6.000 1.188.245,0 1.161.776,0 1.110.592 4.372.512 202.819,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.908.980.928 6.000 1.151.496,0 1.122.144,0 1.108.544 5.198.976 148.702,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.911.470.624 6.000 1.151.911,0 1.122.336,0 1.112.832 4.352.672 129.991,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.372.676.512 6.000 1.228.779,0 1.164.512,0 1.113.344 4.027.104 251.697,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.982.017.536 6.000 1.163.669,0 1.122.976,0 1.113.728 4.040.096 172.387,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.115.747.808 6.000 1.185.958,0 1.135.232,0 1.125.696 2.455.072 207.298,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.071.153.376 6.000 1.178.525,0 1.136.704,0 1.125.312 4.040.032 172.952,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.938.560.736 6.000 1.156.426,0 1.124.128,0 1.112.352 2.451.808 123.359,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.844.865.440 6.000 1.140.810,0 1.120.576,0 1.111.712 5.220.736 151.297,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.927.646.240 6.000 1.154.607,0 1.121.184,0 1.111.936 5.186.144 173.807,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.926.440.608 6.000 1.154.406,0 1.135.136,0 1.125.248 2.593.184 121.245,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.911.135.488 6.000 1.151.855,0 1.120.896,0 1.109.792 4.046.688 163.428,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.363.202.720 6.000 1.227.200,0 1.165.440,0 1.116.864 4.366.688 237.162,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.904.702.528 6.000 1.150.783,0 1.121.600,0 1.109.440 3.486.816 152.901,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.914.700.128 6.000 1.152.450,0 1.134.592,0 1.126.400 2.450.112 122.722,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.924.641.792 6.000 1.154.107,0 1.122.656,0 1.111.904 2.454.592 150.731,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.866.184.352 6.000 1.144.364,0 1.121.984,0 1.110.176 5.203.616 139.684,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.945.769.920 6.000 1.157.628,0 1.126.208,0 1.112.352 2.457.920 119.723,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.965.287.040 6.000 1.160.881,0 1.125.760,0 1.111.776 4.369.696 152.061,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.899.527.680 6.000 1.149.921,0 1.134.304,0 1.125.056 5.200.192 120.713,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.891.392.128 6.000 1.148.565,0 1.122.368,0 1.112.800 2.458.816 113.355,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.902.205.248 6.000 1.150.367,0 1.122.560,0 1.110.688 3.106.496 138.258,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.858.687.328 6.000 1.143.114,0 1.121.056,0 1.109.472 3.118.944 122.398,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.979.787.136 6.000 1.163.297,0 1.135.264,0 1.124.960 4.375.232 158.345,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.931.869.376 6.000 1.155.311,0 1.122.688,0 1.110.880 2.442.976 160.167,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.921.903.456 6.000 1.153.650,0 1.135.072,0 1.125.280 4.385.248 127.390,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.875.215.264 6.000 1.145.869,0 1.121.376,0 1.109.600 2.450.176 133.022,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
