0,0 171.383.840 2.000 85.691,0 80.704,0 79.776 186.976 19.596,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 189.201.888 2.000 94.600,0 89.648,0 88.064 205.760 19.060,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 172.343.872 2.000 86.171,0 81.792,0 80.192 206.048 12.625,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.838.272 2.000 84.919,0 81.584,0 80.352 205.024 10.296,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 175.653.856 2.000 87.826,0 88.800,0 79.744 204.096 10.876,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 188.991.648 2.000 94.495,0 87.712,0 86.304 3.102.080 74.511,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.313.632 2.000 83.156,0 81.344,0 80.352 201.600 11.487,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.098.784 2.000 83.049,0 80.640,0 79.456 203.296 11.271,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.739.168 2.000 85.369,0 81.120,0 79.648 204.640 10.400,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 172.096.704 2.000 86.048,0 81.376,0 80.064 207.488 14.230,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.996.320 2.000 83.998,0 81.312,0 79.808 206.592 11.407,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 164.808.832 2.000 82.404,0 80.576,0 79.584 206.208 11.736,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.901.216 2.000 82.950,0 81.120,0 80.192 205.344 11.091,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.096.768 2.000 83.548,0 81.536,0 80.448 205.824 12.277,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 175.573.728 2.000 87.786,0 81.248,0 79.936 205.312 16.253,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 164.955.488 2.000 82.477,0 80.608,0 79.456 204.192 10.974,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.421.024 2.000 83.210,0 81.344,0 80.320 206.688 12.951,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.089.568 2.000 83.544,0 80.832,0 79.648 205.792 11.584,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 177.784.800 2.000 88.892,0 88.032,0 79.776 202.912 10.922,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.251.072 2.000 83.625,0 81.504,0 80.384 206.528 12.336,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.420.192 2.000 82.710,0 80.800,0 79.680 204.736 10.685,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 171.467.840 2.000 85.733,0 81.408,0 79.904 203.776 10.726,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.042.560 2.000 84.521,0 81.984,0 81.024 207.712 10.680,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 171.163.808 2.000 85.581,0 81.024,0 80.000 205.600 12.952,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.558.560 2.000 82.779,0 80.896,0 80.064 204.384 11.970,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.066.784 2.000 84.533,0 80.768,0 79.616 205.056 15.245,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.947.648 2.000 83.973,0 81.504,0 79.872 206.240 12.220,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.939.904 2.000 83.970,0 80.736,0 79.584 202.592 10.258,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 182.098.880 2.000 91.049,0 81.024,0 79.872 205.408 23.309,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 177.705.632 2.000 88.852,0 83.680,0 80.032 205.632 17.499,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.673.952 2.000 83.837,0 80.544,0 79.424 204.032 16.741,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.218.720 2.000 84.109,0 80.768,0 79.552 202.048 9.996,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.654.016 2.000 82.827,0 81.088,0 80.096 202.688 11.520,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 171.876.224 2.000 85.938,0 80.544,0 79.104 202.720 13.964,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.253.856 2.000 85.126,0 80.416,0 79.520 202.208 19.128,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.937.536 2.000 84.968,0 81.632,0 80.480 208.896 10.454,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.166.048 2.000 83.083,0 80.768,0 79.776 205.248 10.748,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.649.824 2.000 82.824,0 81.056,0 80.192 207.232 11.368,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 173.547.968 2.000 86.774,0 81.216,0 80.128 206.240 13.646,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.958.560 2.000 84.479,0 81.056,0 79.904 205.856 12.858,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.160.160 2.000 82.580,0 80.192,0 79.200 201.920 9.867,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 176.416.064 2.000 88.208,0 88.576,0 79.744 204.928 11.114,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.320.192 2.000 84.160,0 81.504,0 80.448 207.680 10.830,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.445.600 2.000 83.722,0 81.984,0 80.768 205.952 11.280,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.280.032 2.000 82.640,0 80.640,0 79.552 203.904 12.172,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.753.024 2.000 83.876,0 80.736,0 79.680 202.208 9.892,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.766.880 2.000 84.383,0 81.184,0 80.256 203.232 13.443,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 164.579.584 2.000 82.289,0 80.128,0 79.136 202.592 10.889,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.344.288 2.000 84.172,0 81.760,0 80.640 207.712 11.661,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.938.208 2.000 82.969,0 81.216,0 80.160 205.696 11.301,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.835.360 2.000 83.917,0 80.672,0 79.168 203.072 10.014,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.658.080 2.000 83.829,0 81.248,0 80.128 204.000 10.266,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.355.552 2.000 84.177,0 80.736,0 79.648 202.880 10.977,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.202.272 2.000 82.601,0 80.768,0 79.776 204.864 11.581,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.647.936 2.000 84.324,0 81.024,0 80.000 205.984 16.778,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.686.176 2.000 83.843,0 82.272,0 81.312 204.256 10.500,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.704.928 2.000 82.852,0 80.992,0 79.840 205.664 11.276,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.773.024 2.000 84.386,0 81.216,0 80.000 202.592 10.355,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.046.464 2.000 85.023,0 82.272,0 81.216 204.160 12.871,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 171.032.800 2.000 85.516,0 82.688,0 79.296 201.728 10.412,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 177.932.768 2.000 88.966,0 88.704,0 80.160 206.688 16.117,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.927.712 2.000 83.463,0 80.800,0 79.584 205.664 11.790,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.074.912 2.000 84.537,0 80.960,0 80.000 204.992 11.162,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 185.325.536 2.000 92.662,0 88.128,0 79.712 203.424 18.782,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.141.504 2.000 85.070,0 80.640,0 79.456 206.048 14.473,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
