0,0 43.392 2 21.696,0 21.696,0 18.848 24.544 4.027,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.784 2 21.392,0 21.392,0 17.824 24.960 5.045,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.432 2 21.216,0 21.216,0 18.464 23.968 3.891,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.240 2 21.120,0 21.120,0 18.112 24.128 4.254,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.720 2 21.360,0 21.360,0 18.208 24.512 4.457,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 78.624 2 39.312,0 39.312,0 35.584 43.040 5.272,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.680 2 21.840,0 21.840,0 18.464 25.216 4.774,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.920 2 20.960,0 20.960,0 18.080 23.840 4.072,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.336 2 21.168,0 21.168,0 18.464 23.872 3.824,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 80.480 2 40.240,0 40.240,0 36.512 43.968 5.272,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.168 2 21.584,0 21.584,0 18.080 25.088 4.955,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.432 2 21.216,0 21.216,0 17.792 24.640 4.842,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.848 2 21.424,0 21.424,0 17.888 24.960 5.000,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.208 2 21.104,0 21.104,0 18.368 23.840 3.869,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.696 2 20.848,0 20.848,0 17.760 23.936 4.367,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.240 2 21.120,0 21.120,0 18.208 24.032 4.118,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.976 2 21.488,0 21.488,0 18.944 24.032 3.597,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 80.608 2 40.304,0 40.304,0 36.704 43.904 5.091,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.688 2 21.344,0 21.344,0 18.592 24.096 3.891,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.328 2 39.664,0 39.664,0 35.840 43.488 5.408,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.528 2 21.264,0 21.264,0 18.624 23.904 3.733,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.080 2 21.040,0 21.040,0 18.080 24.000 4.186,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 73.600 2 36.800,0 36.800,0 33.440 40.160 4.751,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 45.984 2 22.992,0 22.992,0 21.408 24.576 2.240,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.784 2 21.392,0 21.392,0 17.952 24.832 4.864,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.944 2 21.472,0 21.472,0 18.496 24.448 4.208,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 81.056 2 40.528,0 40.528,0 37.248 43.808 4.638,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.008 2 21.504,0 21.504,0 18.848 24.160 3.756,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.752 2 21.376,0 21.376,0 18.432 24.320 4.163,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.848 2 21.424,0 21.424,0 18.784 24.064 3.733,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.368 2 21.184,0 21.184,0 18.240 24.128 4.163,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.272 2 21.136,0 21.136,0 17.792 24.480 4.729,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.072 2 21.536,0 21.536,0 18.464 24.608 4.344,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.784 2 21.392,0 21.392,0 18.496 24.288 4.095,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.264 2 21.632,0 21.632,0 18.336 24.928 4.661,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.520 2 21.760,0 21.760,0 19.168 24.352 3.665,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.784 2 21.392,0 21.392,0 18.464 24.320 4.140,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.792 2 20.896,0 20.896,0 17.696 24.096 4.525,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.336 2 21.168,0 21.168,0 18.176 24.160 4.231,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.560 2 21.280,0 21.280,0 18.208 24.352 4.344,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.880 2 21.440,0 21.440,0 18.240 24.640 4.525,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 73.792 2 36.896,0 36.896,0 33.312 40.480 5.068,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.232 2 39.616,0 39.616,0 35.424 43.808 5.928,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 44.608 2 22.304,0 22.304,0 20.800 23.808 2.127,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 80.224 2 40.112,0 40.112,0 36.416 43.808 5.226,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.472 2 20.736,0 20.736,0 17.760 23.712 4.208,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 73.568 2 36.784,0 36.784,0 33.376 40.192 4.819,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.720 2 21.360,0 21.360,0 17.952 24.768 4.819,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 78.848 2 39.424,0 39.424,0 35.712 43.136 5.249,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.472 2 20.736,0 20.736,0 17.792 23.680 4.163,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.952 2 20.976,0 20.976,0 17.856 24.096 4.412,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 44.192 2 22.096,0 22.096,0 18.752 25.440 4.729,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.104 2 39.552,0 39.552,0 36.064 43.040 4.932,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.560 2 21.280,0 21.280,0 18.048 24.512 4.570,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.368 2 21.184,0 21.184,0 18.496 23.872 3.801,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.240 2 21.120,0 21.120,0 17.824 24.416 4.661,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.168 2 39.584,0 39.584,0 35.744 43.424 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.424 2 21.712,0 21.712,0 18.848 24.576 4.050,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.464 2 21.232,0 21.232,0 18.496 23.968 3.869,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.728 2 20.864,0 20.864,0 17.856 23.872 4.254,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 75.200 2 37.600,0 37.600,0 33.696 41.504 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.720 2 21.360,0 21.360,0 17.728 24.992 5.136,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 52.032 2 26.016,0 26.016,0 22.016 30.016 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.168 2 39.584,0 39.584,0 35.904 43.264 5.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 52.768 2 26.384,0 26.384,0 22.656 30.112 5.272,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.688 2 21.344,0 21.344,0 18.016 24.672 4.706,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.656 2 21.328,0 21.328,0 18.208 24.448 4.412,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.112 2 21.056,0 21.056,0 18.144 23.968 4.118,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 51.072 2 25.536,0 25.536,0 22.048 29.024 4.932,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.592 2 21.296,0 21.296,0 18.656 23.936 3.733,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.752 2 21.376,0 21.376,0 18.208 24.544 4.480,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.272 2 21.136,0 21.136,0 18.432 23.840 3.824,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.536 2 20.768,0 20.768,0 17.728 23.808 4.299,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.176 2 21.088,0 21.088,0 18.080 24.096 4.254,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.944 2 21.472,0 21.472,0 18.752 24.192 3.846,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.536 2 20.768,0 20.768,0 17.792 23.744 4.208,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.104 2 21.552,0 21.552,0 18.880 24.224 3.778,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.808 2 39.904,0 39.904,0 36.064 43.744 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.048 2 21.024,0 21.024,0 18.304 23.744 3.846,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.944 2 21.472,0 21.472,0 18.656 24.288 3.982,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 73.344 2 36.672,0 36.672,0 33.312 40.032 4.751,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.368 2 21.184,0 21.184,0 18.176 24.192 4.254,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.720 2 21.360,0 21.360,0 18.560 24.160 3.959,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.816 2 21.408,0 21.408,0 18.656 24.160 3.891,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.072 2 21.536,0 21.536,0 17.952 25.120 5.068,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.496 2 21.248,0 21.248,0 18.432 24.064 3.982,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 44.160 2 22.080,0 22.080,0 18.944 25.216 4.435,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.424 2 21.712,0 21.712,0 18.656 24.768 4.321,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.176 2 21.088,0 21.088,0 18.080 24.096 4.254,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 73.760 2 36.880,0 36.880,0 33.568 40.192 4.683,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.624 2 21.312,0 21.312,0 18.144 24.480 4.480,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.656 2 21.328,0 21.328,0 18.048 24.608 4.638,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.552 2 21.776,0 21.776,0 19.072 24.480 3.824,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.984 2 20.992,0 20.992,0 18.048 23.936 4.163,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
