5,0 140.672 4 35.168,0 33.296,0 33.088 40.992 3.885,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.440 4 34.360,0 32.752,0 32.224 39.712 3.594,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.904 4 36.976,0 34.912,0 34.272 43.808 4.572,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.912 4 34.728,0 33.184,0 32.448 40.096 3.595,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 145.888 4 36.472,0 34.464,0 34.240 42.720 4.168,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.184 4 64.296,0 62.160,0 62.080 70.784 4.325,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.624 4 34.656,0 33.104,0 32.256 40.160 3.692,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.232 4 34.808,0 33.216,0 32.576 40.224 3.623,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 144.320 4 36.080,0 34.224,0 33.920 41.952 3.922,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 148.416 4 37.104,0 35.296,0 34.624 43.200 4.076,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.560 4 34.640,0 33.056,0 32.736 39.712 3.388,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 152.256 4 38.064,0 35.936,0 35.744 44.640 4.385,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.360 4 36.840,0 34.960,0 34.304 43.136 4.221,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.192 4 64.048,0 62.224,0 61.984 69.760 3.809,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.544 4 64.136,0 62.272,0 62.112 69.888 3.837,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.120 4 64.280,0 62.352,0 62.144 70.272 3.998,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 148.032 4 37.008,0 35.216,0 34.336 43.264 4.193,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.696 4 34.424,0 32.784,0 32.416 39.712 3.530,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.848 4 34.712,0 33.040,0 32.512 40.256 3.704,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.456 4 34.864,0 33.104,0 32.768 40.480 3.750,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.120 4 64.280,0 62.304,0 62.016 70.496 4.147,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.952 4 34.488,0 32.864,0 32.224 40.000 3.690,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.824 4 34.456,0 32.800,0 32.224 40.000 3.715,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 264.736 4 66.184,0 64.016,0 63.584 73.120 4.641,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 136.800 4 34.200,0 32.288,0 32.224 40.000 3.866,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.632 4 64.408,0 62.464,0 62.016 70.688 4.194,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.544 4 37.136,0 35.360,0 34.656 43.168 4.035,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 136.736 4 34.184,0 32.400,0 32.352 39.584 3.600,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 150.400 4 37.600,0 35.744,0 34.528 44.384 4.567,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.656 4 34.664,0 33.248,0 32.448 39.712 3.386,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.216 4 64.304,0 62.272,0 61.984 70.688 4.258,0 CUDA_KERNEL lud_diagonal(float *, int, int)
