      7,0          264.864          4     66.216,0     64.272,0     63.488     72.832      4.429,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          223.104          3     74.368,0     72.992,0     71.648     78.464      3.610,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           36.544          3     12.181,0     11.136,0     11.072     14.336      1.866,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          138.560          4     34.640,0     33.280,0     32.640     39.360      3.162,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.504          3     39.168,0     38.304,0     37.088     42.112      2.621,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.192          3      8.064,0      8.128,0      6.720      9.344      1.313,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          257.792          4     64.448,0     62.496,0     62.304     70.496      4.036,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.584          3     71.861,0     71.200,0     69.568     74.816      2.685,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           31.040          3     10.346,0     10.240,0      9.024     11.776      1.379,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          147.648          4     36.912,0     34.704,0     34.304     43.936      4.693,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          125.888          3     41.962,0     40.832,0     39.488     45.568      3.193,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.312          3      9.770,0      9.504,0      8.064     11.744      1.854,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          136.896          4     34.224,0     32.752,0     32.384     39.008      3.205,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.664          3     39.221,0     38.368,0     37.056     42.240      2.695,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.360          3      7.786,0      7.936,0      6.720      8.704      1.000,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          258.880          4     64.720,0     63.056,0     62.432     70.336      3.755,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.256          3     72.085,0     70.240,0     70.240     75.776      3.196,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           31.808          3     10.602,0     10.464,0      9.152     12.192      1.524,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          152.096          4     38.024,0     35.920,0     35.744     44.512      4.326,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          130.272          3     43.424,0     41.952,0     41.792     46.528      2.689,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.344          3      9.781,0      9.696,0      8.032     11.616      1.793,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          137.152          4     34.288,0     32.720,0     32.192     39.520      3.497,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.504          3     39.168,0     38.336,0     37.088     42.080      2.597,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.224          3      8.074,0      8.032,0      6.400      9.792      1.696,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          257.312          4     64.328,0     62.320,0     62.048     70.624      4.200,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.552          3     71.850,0     71.168,0     69.600     74.784      2.658,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.144          3     10.048,0      9.184,0      8.896     12.064      1.751,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          265.120          4     66.280,0     63.952,0     63.552     73.664      4.937,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          222.176          3     74.058,0     73.152,0     71.136     77.888      3.466,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           35.424          3     11.808,0     11.136,0      9.856     14.432      2.360,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          145.280          4     36.320,0     34.544,0     34.144     42.048      3.823,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          123.904          3     41.301,0     40.672,0     39.008     44.224      2.664,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.408          3      9.802,0      9.920,0      7.936     11.552      1.810,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          257.184          4     64.296,0     62.304,0     62.080     70.496      4.135,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.288          3     72.096,0     71.008,0     69.600     75.680      3.182,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.368          3     10.122,0     10.432,0      8.064     11.872      1.922,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          148.448          4     37.112,0     35.136,0     34.592     43.584      4.342,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          125.536          3     41.845,0     40.896,0     39.136     45.504      3.288,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.056          3      9.685,0      9.504,0      8.064     11.488      1.719,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          265.120          4     66.280,0     64.240,0     64.032     72.608      4.219,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          220.672          3     73.557,0     72.320,0     71.168     77.184      3.193,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           35.968          3     11.989,0     12.480,0      9.952     13.536      1.841,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          138.720          4     34.680,0     33.072,0     32.672     39.904      3.488,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          118.240          3     39.413,0     38.944,0     37.120     42.176      2.560,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.160          3      8.053,0      7.872,0      6.720      9.568      1.432,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          138.912          4     34.728,0     32.928,0     32.320     40.736      4.032,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.504          3     39.168,0     38.368,0     37.088     42.048      2.575,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.032          3      8.010,0      8.000,0      6.752      9.280      1.264,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          146.592          4     36.648,0     34.848,0     34.240     42.656      4.027,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          123.712          3     41.237,0     40.320,0     38.848     44.544      2.956,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
