0,0 24.032 3 8.010,0 7.968,0 6.752 9.312 1.280,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.616 3 7.872,0 7.552,0 6.752 9.312 1.309,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.960 3 9.653,0 9.344,0 8.032 11.584 1.796,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 9.696,0 8.032 11.456 1.712,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.832 3 9.610,0 9.504,0 7.936 11.392 1.730,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.944 3 7.648,0 7.744,0 5.856 9.344 1.746,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.408 3 9.802,0 9.632,0 8.256 11.520 1.638,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.736 3 9.578,0 9.376,0 8.160 11.200 1.530,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.488 3 7.829,0 7.648,0 6.496 9.344 1.432,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.040 3 10.346,0 10.528,0 8.480 12.032 1.782,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.960 3 9.653,0 9.696,0 8.160 11.104 1.472,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.184 3 9.728,0 9.536,0 8.224 11.424 1.608,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.160 3 8.053,0 8.000,0 6.656 9.504 1.424,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.840 3 10.613,0 10.464,0 9.152 12.224 1.541,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.072 3 7.690,0 7.808,0 6.816 8.448 822,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.728 3 9.909,0 9.760,0 8.224 11.744 1.764,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.328 3 10.442,0 10.304,0 9.056 11.968 1.460,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.464 3 10.154,0 9.952,0 8.896 11.616 1.371,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.264 3 7.754,0 7.648,0 6.560 9.056 1.251,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.280 3 9.760,0 9.632,0 8.192 11.456 1.635,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.736 3 9.578,0 9.472,0 7.936 11.328 1.698,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 36.960 3 12.320,0 11.328,0 11.008 14.624 2.001,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.424 3 10.474,0 10.432,0 9.024 11.968 1.472,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.728 3 9.909,0 10.432,0 8.096 11.200 1.616,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.248 3 9.749,0 9.728,0 8.160 11.360 1.600,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.160 3 8.053,0 8.096,0 6.816 9.248 1.216,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.744 3 10.581,0 10.464,0 9.280 12.000 1.363,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.256 3 8.085,0 8.032,0 6.528 9.696 1.584,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 8.000,0 6.688 9.408 1.360,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.624 3 10.208,0 10.112,0 8.768 11.744 1.490,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.296 3 10.432,0 10.464,0 8.928 11.904 1.488,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.896 3 9.632,0 9.408,0 7.968 11.520 1.786,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.832 3 9.610,0 9.408,0 8.096 11.328 1.625,0 CUDA_KERNEL lud_internal(float *, int, int)
