37,0 503.136.320 5 100.627.264,0 92.532.288,0 90.458.304 133.927.872 18.652.489,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 497.498.592 5 99.499.718,0 93.733.920,0 90.404.288 126.319.296 15.079.430,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 479.817.248 5 95.963.449,0 92.193.632,0 90.475.904 112.524.320 9.327.893,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 492.268.224 5 98.453.644,0 93.613.696,0 90.490.880 119.212.992 11.938.853,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 480.831.648 5 96.166.329,0 91.758.208,0 90.488.032 112.156.320 9.121.488,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 484.388.608 5 96.877.721,0 91.795.200,0 90.500.928 113.229.536 9.591.990,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 512.425.216 5 102.485.043,0 92.472.576,0 91.109.280 144.639.488 23.574.815,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 516.103.072 5 103.220.614,0 92.451.424,0 90.470.176 147.675.616 24.873.654,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 487.389.024 5 97.477.804,0 92.214.848,0 90.996.416 120.319.392 12.781.473,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 484.234.720 5 96.846.944,0 92.639.840,0 90.444.096 114.855.200 10.223.264,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 545.364.288 5 109.072.857,0 95.077.344,0 91.370.336 161.457.440 29.775.010,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 497.913.536 5 99.582.707,0 92.451.936,0 90.500.192 127.137.184 15.603.997,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 494.137.920 5 98.827.584,0 94.482.944,0 90.504.800 110.479.392 8.910.435,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 505.524.192 5 101.104.838,0 95.754.912,0 90.493.824 121.605.728 12.768.902,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 506.944.416 5 101.388.883,0 92.465.408,0 91.145.024 121.026.304 13.738.447,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 483.230.272 5 96.646.054,0 92.168.032,0 90.418.976 116.130.976 10.957.287,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 500.022.496 5 100.004.499,0 92.877.504,0 90.550.944 120.196.384 12.794.659,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 493.207.648 5 98.641.529,0 92.441.248,0 90.411.008 126.250.400 15.471.927,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 510.816.512 5 102.163.302,0 94.493.440,0 92.490.464 122.581.056 13.144.047,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 504.584.256 5 100.916.851,0 93.351.168,0 90.531.456 132.281.952 17.643.037,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 527.154.208 5 105.430.841,0 95.411.776,0 91.055.296 138.444.384 19.894.323,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 508.239.136 5 101.647.827,0 101.740.032,0 92.469.408 109.717.184 7.256.731,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 477.408.256 5 95.481.651,0 95.183.360,0 90.491.136 105.307.584 5.917.192,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 495.303.008 5 99.060.601,0 92.575.712,0 90.514.048 124.961.856 14.645.250,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 484.930.912 5 96.986.182,0 92.364.544,0 90.487.008 118.157.760 11.871.969,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 507.478.592 5 101.495.718,0 92.528.000,0 90.480.704 139.135.936 21.087.265,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 496.154.560 5 99.230.912,0 92.158.560,0 90.544.832 116.438.816 11.476.237,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 507.952.960 5 101.590.592,0 92.436.832,0 90.428.832 140.218.208 21.631.288,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 515.066.080 5 103.013.216,0 97.944.224,0 91.126.976 123.790.240 13.747.022,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 506.109.760 5 101.221.952,0 92.417.152,0 90.492.896 135.760.096 19.390.082,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 483.811.232 5 96.762.246,0 92.938.016,0 90.394.208 113.638.976 9.546.825,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 517.152.096 5 103.430.419,0 95.819.456,0 92.374.528 126.210.592 14.353.963,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 505.506.720 5 101.101.344,0 104.608.928,0 91.354.080 109.948.288 8.652.604,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 486.765.024 5 97.353.004,0 92.551.840,0 91.247.648 116.794.144 10.904.228,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 491.749.312 5 98.349.862,0 93.966.912,0 90.473.472 118.199.392 11.322.151,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
