      2,0        4.303.520          9     478.168,0  540.224,0   218.528      576.800     128.761,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.130.720          9     236.746,0  241.856,0   154.784      285.088      42.758,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.959.200          9     217.688,0  244.000,0    54.048      284.384      91.084,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.962.208          9     218.023,0  247.712,0    68.192      294.656      79.676,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.943.200          9     215.911,0  229.888,0    36.736      314.880      89.655,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.050.720          9     227.857,0  236.448,0   150.336      275.552      39.341,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.983.232          9     220.359,0  227.744,0    30.720      288.864      78.604,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.124.320          9     236.035,0  248.256,0   140.192      284.672      43.338,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.286.272          9     254.030,0  268.320,0   177.248      281.504      33.432,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.250.688          9     250.076,0  258.944,0    14.016      335.040      99.266,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.313.664          9     257.073,0  267.264,0   205.408      289.632      33.521,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      2,0        4.331.040          9     481.226,0  509.920,0    92.128      575.328     149.186,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.504.640          9     167.182,0  186.208,0    44.160      287.840      85.588,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.176.320          9     241.813,0  264.864,0   103.424      296.608      64.688,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.655.744          9     406.193,0  463.808,0   173.120      570.208     130.999,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.944.032          9     216.003,0  205.952,0    51.584      297.120      79.745,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.019.200          9     446.577,0  496.128,0   160.384      574.912     145.068,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.900.416          9     211.157,0  238.112,0     9.472      289.696      90.031,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.350.144          9     261.127,0  283.232,0   165.696      299.584      47.168,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.279.520          9     253.280,0  257.984,0   183.744      301.056      34.921,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.420.736          9     268.970,0  275.456,0   215.296      301.312      25.266,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.077.856          9     230.872,0  265.760,0    51.616      276.512      72.838,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.067.072          9     229.674,0  245.024,0    86.176      293.216      70.439,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.971.424          9     219.047,0  256.896,0    69.120      289.792      72.445,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.302.048          9     255.783,0  258.208,0   212.384      289.472      26.711,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.104.960          9     233.884,0  227.168,0   153.504      288.704      47.839,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.811.616          9     201.290,0  217.792,0    46.336      295.232      95.427,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.905.344          9     433.927,0  430.592,0   324.160      578.624      87.205,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.288.000          9     254.222,0  266.016,0   155.456      297.856      41.909,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.769.376          9     196.597,0  212.480,0    82.432      296.096      86.681,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.788.704          9     420.967,0  433.440,0   158.400      555.936     139.863,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.054.656          9     228.295,0  257.888,0   111.328      292.160      63.906,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.781.472          9     197.941,0  192.224,0   106.080      273.024      55.010,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.605.216          9     289.468,0  305.248,0   175.680      340.256      53.345,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.016.384          9     224.042,0  237.568,0   124.544      292.896      62.631,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.310.176          9     256.686,0  252.000,0   208.384      291.040      30.733,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.008.928          9     445.436,0  430.400,0   322.944      540.960      82.174,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.956.576          9     217.397,0  239.744,0    82.656      300.416      79.087,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.038.176          9     226.464,0  235.488,0    89.216      295.296      68.902,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.164.160          9     462.684,0  491.808,0   169.024      578.496     123.771,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      2,0        4.353.760          9     483.751,0  531.648,0   322.656      578.976     100.824,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.213.984          9     245.998,0  259.776,0   198.624      293.120      30.161,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.720.768          9     191.196,0  225.056,0     7.392      280.512      90.278,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.920.896          9     213.432,0  216.288,0   153.824      294.048      43.732,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.328.928          9     258.769,0  266.624,0   183.712      293.792      37.122,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.976.416          9     219.601,0  244.736,0   100.864      275.136      64.594,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.140.800          9     460.088,0  457.536,0   248.192      578.752     104.856,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.161.888          9     240.209,0  236.256,0   203.136      282.208      30.110,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      2,0        4.980.576          9     553.397,0  554.976,0   526.016      585.280      22.167,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.202.656          9     244.739,0  262.720,0   158.240      282.976      44.591,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.906.528          9     211.836,0  255.456,0    88.864      293.344      78.713,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.464.192          9     273.799,0  284.480,0   193.728      344.160      58.617,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.097.344          9     455.260,0  493.056,0   313.888      568.096      97.264,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.868.160          9     207.573,0  214.912,0   102.592      279.008      55.562,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.234.816          9     359.424,0  376.544,0    78.144      578.016     151.072,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.249.920          9     249.991,0  255.360,0   212.288      292.352      28.834,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.324.960          9     258.328,0  269.632,0   163.104      293.888      40.504,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.013.344          9     223.704,0  228.960,0   106.208      265.248      50.645,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.171.968          9     241.329,0  260.128,0   139.648      287.808      50.576,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.078.368          9     230.929,0  268.256,0    87.904      284.704      75.453,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.393.024          9     265.891,0  272.352,0   208.288      297.792      27.924,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.403.424          9     267.047,0  281.728,0   189.472      292.768      33.256,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.401.312          9     155.701,0  153.120,0    18.752      295.008     118.440,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.049.408          9     227.712,0  231.040,0   170.432      265.056      33.859,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.123.200          9     235.911,0  243.264,0   128.288      288.512      53.395,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.940.736          9     437.859,0  466.464,0   283.040      553.472      93.379,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.254.112          9     250.456,0  240.320,0   225.344      284.768      20.475,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.964.224          9     218.247,0  246.208,0    82.400      291.712      78.684,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.026.208          9     225.134,0  239.008,0   123.680      293.216      56.369,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.810.208          9     201.134,0  244.512,0    50.336      286.752      96.630,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.036.736          9     226.304,0  238.080,0    93.504      291.264      56.854,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.159.968          9     239.996,0  242.784,0   116.064      293.376      52.322,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.059.808          9     228.867,0  252.320,0    20.224      292.352      84.370,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.361.248          9     484.583,0  475.456,0   344.704      578.784      84.540,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.068.096          9     229.788,0  239.904,0    78.400      290.400      60.849,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.313.568          9     257.063,0  262.912,0   207.200      280.736      22.083,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.892.192          9     210.243,0  221.376,0   110.816      285.344      65.079,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.176.160          9     241.795,0  275.776,0    42.880      294.176      84.074,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.942.912          9     215.879,0  230.400,0   115.712      290.368      62.358,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.517.536          9     501.948,0  509.824,0   345.792      583.488      71.678,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.114.816          9     234.979,0  259.488,0    59.200      294.176      75.022,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.947.328          9     216.369,0  254.336,0    72.800      299.712      77.095,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.415.456          9     268.384,0  276.736,0   225.280      298.144      27.204,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.977.120          9     219.680,0  235.808,0   123.680      289.696      64.014,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.079.552          9     231.061,0  261.824,0    55.008      294.112      82.773,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.187.200          9     243.022,0  247.648,0   189.664      292.096      41.666,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.196.096          9     244.010,0  244.896,0   172.352      288.128      42.008,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.900.608          9     211.178,0  222.528,0    31.232      283.136      73.834,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.914.464          9     212.718,0  239.008,0   113.952      282.080      59.432,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.145.888          9     238.432,0  250.464,0   103.328      287.968      64.590,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.224.448          9     247.160,0  271.136,0   147.488      296.960      54.732,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      2,0        4.445.728          9     493.969,0  546.656,0   361.984      563.200      82.209,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.005.184          9     222.798,0  212.448,0   125.152      283.872      52.929,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.145.024          9     238.336,0  253.984,0   170.368      283.392      42.000,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.008.928          9     223.214,0  230.272,0   152.416      290.784      41.940,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.634.624          9     292.736,0  312.576,0   133.344      335.328      63.362,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.263.744          9     251.527,0  271.712,0   174.688      290.208      43.085,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.036.608          9     226.289,0  254.720,0    90.016      288.640      68.622,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.503.520          9     278.168,0  282.208,0   256.768      291.808      12.271,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.350.720          9     261.191,0  257.312,0   223.360      292.928      22.520,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.957.344          9     217.482,0  246.400,0   112.128      294.624      68.146,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.481.312          9     275.701,0  278.752,0   193.440      321.248      40.487,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.380.800          9     264.533,0  293.088,0    61.984      341.312      89.689,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.086.560          9     231.840,0  238.176,0   175.392      287.648      42.030,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.335.936          9     481.770,0  480.960,0   354.144      559.232      68.949,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.183.424          9     242.602,0  237.984,0   197.344      291.712      29.503,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.162.080          9     240.231,0  254.368,0   131.360      278.464      48.028,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.179.200          9     242.133,0  258.144,0   171.456      291.872      41.497,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.894.912          9     210.545,0  211.168,0   126.528      271.904      52.629,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.185.216          9     242.801,0  241.504,0   208.736      293.408      32.530,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.265.568          9     251.729,0  284.224,0   132.992      320.896      62.796,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.109.408          9     234.378,0  262.752,0    29.664      286.688      78.187,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
