5,0 330.272 8 41.284,0 43.280,0 20.128 55.488 11.751,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 339.360 8 42.420,0 44.144,0 20.096 56.192 12.266,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.744 8 41.968,0 43.264,0 21.152 56.064 11.958,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.800 8 42.600,0 44.272,0 22.368 56.960 11.819,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.552 8 41.944,0 42.848,0 20.384 57.472 12.176,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 337.984 8 42.248,0 43.760,0 20.384 55.680 12.108,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 334.560 8 41.820,0 43.072,0 20.736 56.128 11.729,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.504 8 42.188,0 43.008,0 20.832 54.880 11.986,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 239.232 8 29.904,0 30.688,0 14.304 42.432 9.763,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.552 8 41.944,0 43.456,0 20.864 57.888 11.930,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.784 8 42.348,0 43.584,0 21.632 59.520 12.020,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.136 8 41.892,0 43.440,0 20.928 56.640 11.799,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 333.184 8 41.648,0 43.408,0 20.960 56.224 11.625,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 334.848 8 41.856,0 44.512,0 20.960 54.880 11.293,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.240 8 42.280,0 44.048,0 20.672 55.488 12.007,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.688 8 42.336,0 43.680,0 20.512 54.816 11.905,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.704 8 42.588,0 43.568,0 21.024 56.096 12.163,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.728 8 42.216,0 43.744,0 21.760 56.064 11.909,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.920 8 42.240,0 43.856,0 20.640 55.872 12.138,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 339.072 8 42.384,0 43.744,0 21.984 57.344 12.234,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 340.192 8 42.524,0 44.112,0 21.664 56.960 12.045,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.264 8 41.908,0 42.592,0 21.024 55.744 11.439,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 336.256 8 42.032,0 43.360,0 21.152 56.992 11.584,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.360 8 41.920,0 42.704,0 21.664 56.736 11.991,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 346.336 8 43.292,0 43.488,0 22.080 59.872 13.035,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.688 8 42.336,0 44.112,0 21.824 55.936 11.455,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 339.008 8 42.376,0 44.480,0 21.088 55.840 11.714,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.632 8 42.204,0 43.664,0 20.544 55.488 12.022,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 332.640 8 41.580,0 42.512,0 20.384 55.616 11.569,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 341.024 8 42.628,0 43.920,0 21.376 55.840 12.119,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 341.120 8 42.640,0 43.648,0 21.728 55.200 11.744,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 338.720 8 42.340,0 42.640,0 21.312 58.880 12.275,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.816 8 42.352,0 43.680,0 20.736 57.280 12.117,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 345.120 8 43.140,0 43.344,0 23.392 59.712 12.283,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.552 8 41.944,0 43.104,0 21.088 56.864 11.836,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
