      3,0          411.424          1    411.424,0    411.424,0    411.424    411.424          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        1.977.184          1  1.977.184,0  1.977.184,0  1.977.184  1.977.184          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          414.432          1    414.432,0    414.432,0    414.432    414.432          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        2.367.424          1  2.367.424,0  2.367.424,0  2.367.424  2.367.424          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          482.816          1    482.816,0    482.816,0    482.816    482.816          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     12,0        1.942.848          1  1.942.848,0  1.942.848,0  1.942.848  1.942.848          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          505.216          1    505.216,0    505.216,0    505.216    505.216          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        2.369.504          1  2.369.504,0  2.369.504,0  2.369.504  2.369.504          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          469.376          1    469.376,0    469.376,0    469.376    469.376          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     28,0        2.908.544          1  2.908.544,0  2.908.544,0  2.908.544  2.908.544          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          560.896          1    560.896,0    560.896,0    560.896    560.896          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      8,0        2.332.832          1  2.332.832,0  2.332.832,0  2.332.832   2.332.832           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      1,0          470.048          1    470.048,0    470.048,0    470.048     470.048           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     17,0        2.883.296          1  2.883.296,0  2.883.296,0  2.883.296  2.883.296          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          507.776          1    507.776,0    507.776,0    507.776    507.776          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        3.887.392          1  3.887.392,0  3.887.392,0  3.887.392  3.887.392          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          770.752          1    770.752,0    770.752,0    770.752    770.752          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     14,0        1.969.312          1  1.969.312,0  1.969.312,0  1.969.312  1.969.312          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          412.224          1    412.224,0    412.224,0    412.224    412.224          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     16,0        1.972.160          1  1.972.160,0  1.972.160,0  1.972.160  1.972.160          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          416.704          1    416.704,0    416.704,0    416.704    416.704          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        1.971.904          1  1.971.904,0  1.971.904,0  1.971.904  1.971.904          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          415.552          1    415.552,0    415.552,0    415.552    415.552          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        2.525.792          1  2.525.792,0  2.525.792,0  2.525.792  2.525.792          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          501.632          1    501.632,0    501.632,0    501.632    501.632          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        6.741.536          1  6.741.536,0  6.741.536,0  6.741.536  6.741.536          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          774.336          1    774.336,0    774.336,0    774.336    774.336          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        2.460.064          1  2.460.064,0  2.460.064,0  2.460.064  2.460.064          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          482.144          1    482.144,0    482.144,0    482.144    482.144          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        2.099.520          1  2.099.520,0  2.099.520,0  2.099.520  2.099.520          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          438.944          1    438.944,0    438.944,0    438.944    438.944          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        2.897.376          1  2.897.376,0  2.897.376,0  2.897.376  2.897.376          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          551.904          1    551.904,0    551.904,0    551.904    551.904          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        5.436.512          1  5.436.512,0  5.436.512,0  5.436.512  5.436.512          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          778.496          1    778.496,0    778.496,0    778.496    778.496          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     15,0        3.850.848          1  3.850.848,0  3.850.848,0  3.850.848  3.850.848          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          769.024          1    769.024,0    769.024,0    769.024    769.024          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     14,0        1.977.440          1  1.977.440,0  1.977.440,0  1.977.440  1.977.440          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          413.824          1    413.824,0    413.824,0    413.824    413.824          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        1.962.304          1  1.962.304,0  1.962.304,0  1.962.304  1.962.304          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          414.688          1    414.688,0    414.688,0    414.688    414.688          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     16,0        1.968.768          1  1.968.768,0  1.968.768,0  1.968.768  1.968.768          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          415.968          1    415.968,0    415.968,0    415.968    415.968          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        1.977.088          1  1.977.088,0  1.977.088,0  1.977.088  1.977.088          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          416.000          1    416.000,0    416.000,0    416.000    416.000          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.966.496          1  1.966.496,0  1.966.496,0  1.966.496  1.966.496          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          416.544          1    416.544,0    416.544,0    416.544    416.544          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     21,0        2.909.824          1  2.909.824,0  2.909.824,0  2.909.824  2.909.824          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          549.120          1    549.120,0    549.120,0    549.120    549.120          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        4.528.128          1  4.528.128,0  4.528.128,0  4.528.128  4.528.128          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      2,0          548.416          1    548.416,0    548.416,0    548.416    548.416          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        3.859.264          1  3.859.264,0  3.859.264,0  3.859.264  3.859.264          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          777.856          1    777.856,0    777.856,0    777.856    777.856          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        1.976.800          1  1.976.800,0  1.976.800,0  1.976.800  1.976.800          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          419.520          1    419.520,0    419.520,0    419.520    419.520          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
