0,0 29.600 3 9.866,0 9.728,0 8.192 11.680 1.748,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.352 3 9.450,0 9.696,0 7.648 11.008 1.693,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.984,0 7.872 11.456 1.801,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.696 3 9.898,0 9.472,0 8.672 11.552 1.486,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.472 3 9.824,0 10.176,0 7.680 11.616 1.991,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.688 3 10.229,0 10.208,0 7.904 12.576 2.336,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.248 3 9.749,0 9.504,0 8.512 11.232 1.376,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.472 3 9.824,0 9.600,0 8.064 11.808 1.882,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.792 3 9.930,0 9.728,0 8.608 11.456 1.434,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.016 3 10.005,0 10.112,0 8.192 11.712 1.762,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.504,0 8.608 11.200 1.316,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.704 3 9.568,0 9.664,0 7.936 11.104 1.586,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.800 3 9.600,0 9.600,0 7.904 11.296 1.696,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 9.600,0 8.064 11.520 1.731,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.888 3 9.962,0 10.112,0 8.128 11.648 1.764,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.408 3 9.802,0 9.600,0 8.480 11.328 1.434,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.048 3 10.016,0 10.080,0 8.096 11.872 1.888,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.088 3 9.696,0 9.632,0 8.032 11.424 1.696,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.160 3 9.386,0 9.344,0 7.712 11.104 1.696,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.376 3 9.792,0 10.176,0 8.096 11.104 1.540,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.600 3 9.866,0 9.600,0 8.576 11.424 1.442,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.088 3 9.696,0 9.440,0 7.872 11.776 1.964,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.696 3 9.898,0 10.048,0 7.872 11.776 1.956,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.016 3 10.005,0 10.240,0 8.640 11.136 1.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.320 3 9.440,0 8.800,0 8.160 11.360 1.693,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.608 3 9.536,0 9.504,0 7.968 11.136 1.584,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.600 3 9.866,0 9.600,0 8.672 11.328 1.347,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.688 3 10.229,0 10.016,0 8.704 11.968 1.642,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.440 3 9.813,0 10.048,0 7.776 11.616 1.930,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.256 3 9.418,0 8.672,0 8.000 11.584 1.905,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 22.208 3 7.402,0 7.232,0 6.144 8.832 1.352,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.888 3 9.962,0 9.440,0 8.608 11.840 1.678,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.152 3 9.717,0 9.632,0 7.904 11.616 1.857,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.688 3 10.229,0 10.432,0 7.872 12.384 2.262,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.832 3 9.610,0 9.632,0 7.872 11.328 1.728,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.408 3 9.802,0 9.760,0 8.000 11.648 1.824,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 9.600,0 8.192 11.392 1.603,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.888 3 9.962,0 10.016,0 8.512 11.360 1.424,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.856 3 9.952,0 10.048,0 8.160 11.648 1.746,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.504 3 9.834,0 10.176,0 7.680 11.648 2.005,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.536 3 9.845,0 10.144,0 7.584 11.808 2.127,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.376 3 9.792,0 9.696,0 7.968 11.712 1.873,0 CUDA_KERNEL lud_internal(float *, int, int)
