3,0 348.469.792 6.000 58.078,0 58.720,0 52.928 76.352 2.450,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 399.844.544 6.000 66.640,0 61.248,0 52.800 3.989.184 136.716,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 406.932.928 6.000 67.822,0 60.416,0 53.408 6.293.184 164.726,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 356.002.240 6.000 59.333,0 60.416,0 54.080 88.064 3.382,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 354.359.648 6.000 59.059,0 60.032,0 53.952 1.986.880 25.010,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 354.411.712 6.000 59.068,0 59.680,0 52.864 1.657.984 20.852,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 356.606.880 6.000 59.434,0 60.352,0 54.752 88.544 3.039,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 352.537.888 6.000 58.756,0 59.584,0 54.144 72.896 2.465,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 352.381.952 6.000 58.730,0 60.064,0 53.664 65.536 2.607,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 438.355.168 6.000 73.059,0 59.488,0 52.512 5.934.528 227.221,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 351.094.816 6.000 58.515,0 59.840,0 53.056 89.120 3.409,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 358.364.544 6.000 59.727,0 60.608,0 53.184 2.037.824 32.617,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.818.496 6.000 60.969,0 60.160,0 53.824 4.466.528 71.380,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 350.820.448 6.000 58.470,0 58.432,0 53.952 1.137.696 14.218,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.074.752 6.000 61.345,0 61.536,0 54.880 1.124.320 21.023,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 360.754.240 6.000 60.125,0 59.840,0 53.376 881.792 15.596,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.959.232 6.000 60.993,0 60.608,0 53.600 171.136 12.829,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.663.328 6.000 60.777,0 60.736,0 53.088 1.092.576 21.281,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 360.422.880 6.000 60.070,0 59.504,0 52.896 1.417.952 20.857,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 362.914.304 6.000 60.485,0 60.480,0 54.144 1.081.568 16.492,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 358.438.432 6.000 59.739,0 60.608,0 54.368 1.127.008 14.260,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.006.816 6.000 61.001,0 59.520,0 54.784 1.078.176 18.936,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.755.840 6.000 61.459,0 61.216,0 53.152 2.018.784 27.990,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 357.982.240 6.000 59.663,0 59.424,0 55.040 1.079.168 15.356,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 367.534.848 6.000 61.255,0 59.264,0 52.736 173.472 15.035,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 352.511.296 6.000 58.751,0 58.976,0 53.504 174.560 8.168,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
