36,0 3.349.892.064 6.000 558.315,0 555.904,0 548.160 1.736.544 25.678,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.332.017.600 6.000 555.336,0 555.168,0 548.352 1.270.016 9.484,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
36,0 3.324.473.728 6.000 554.079,0 554.784,0 527.936 2.493.056 34.910,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.343.851.680 6.000 557.308,0 554.816,0 546.144 2.505.568 40.963,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
36,0 3.344.159.168 6.000 557.359,0 555.264,0 547.168 2.567.456 28.545,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.336.780.224 6.000 556.130,0 555.328,0 547.776 2.503.168 35.590,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 4.584.620.096 6.000 764.103,0 555.712,0 526.464 6.601.472 797.379,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.378.945.792 6.000 563.157,0 554.880,0 546.464 4.938.976 131.828,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.399.906.848 6.000 566.651,0 555.776,0 548.352 5.321.088 171.283,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.425.324.256 6.000 570.887,0 555.520,0 548.288 4.936.800 149.990,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.349.434.496 6.000 558.239,0 554.368,0 526.272 4.485.632 104.828,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.383.330.144 6.000 563.888,0 555.712,0 546.208 2.470.432 72.646,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.369.710.624 6.000 561.618,0 554.688,0 524.928 2.753.376 85.504,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.403.827.840 6.000 567.304,0 555.232,0 527.808 2.458.016 84.475,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.364.509.536 6.000 560.751,0 555.328,0 527.072 2.511.616 74.161,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.368.011.840 6.000 561.335,0 554.336,0 527.008 2.953.280 85.949,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.377.708.864 6.000 562.951,0 555.296,0 546.688 2.718.336 73.038,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.369.655.936 6.000 561.609,0 555.904,0 549.152 2.462.336 60.193,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.426.627.904 6.000 571.104,0 555.552,0 528.288 4.233.376 108.510,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.370.539.584 6.000 561.756,0 554.784,0 528.096 2.004.384 70.018,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
