1,0 87.597.824 2.000 43.798,0 42.720,0 40.256 97.216 6.097,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.878.368 2.000 43.439,0 42.752,0 40.000 98.496 7.066,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.366.208 2.000 45.183,0 44.704,0 41.632 100.672 7.115,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.525.792 2.000 45.262,0 44.896,0 41.728 102.176 4.485,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.237.376 2.000 42.118,0 41.408,0 39.136 96.064 5.817,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.196.032 2.000 44.098,0 43.456,0 40.672 100.000 5.615,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.115.456 2.000 42.057,0 40.320,0 39.456 96.448 6.633,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 94.148.384 2.000 47.074,0 45.184,0 44.320 1.321.600 29.185,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.826.176 2.000 42.413,0 41.920,0 39.360 99.040 3.952,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.246.848 2.000 45.623,0 45.216,0 44.320 102.752 3.344,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 95.192.000 2.000 47.596,0 46.496,0 42.592 1.054.880 23.141,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.020.704 2.000 44.010,0 42.560,0 39.808 2.036.832 44.820,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 93.682.912 2.000 46.841,0 45.888,0 42.208 1.345.536 29.708,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.816.192 2.000 46.408,0 44.736,0 41.696 2.477.408 54.863,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.037.056 2.000 43.518,0 43.040,0 41.920 98.464 3.643,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 83.709.728 2.000 41.854,0 41.280,0 39.232 94.912 3.978,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.520.448 2.000 43.760,0 43.072,0 40.224 100.192 5.614,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 94.538.432 2.000 47.269,0 45.984,0 44.992 102.464 6.479,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.076.096 2.000 44.038,0 43.360,0 40.704 99.648 5.690,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 83.642.016 2.000 41.821,0 40.992,0 38.912 95.840 4.692,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.906.112 2.000 42.953,0 42.560,0 39.904 97.312 3.654,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.179.584 2.000 46.089,0 45.760,0 42.240 102.688 6.298,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.487.904 2.000 43.244,0 42.656,0 41.856 70.688 3.002,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.035.680 2.000 44.517,0 44.096,0 43.232 100.192 3.423,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 86.371.936 2.000 43.186,0 42.496,0 39.776 98.336 4.549,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.046.048 2.000 44.523,0 44.096,0 42.816 99.584 3.662,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 93.541.184 2.000 46.770,0 45.568,0 44.864 1.459.072 31.809,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.529.888 2.000 44.264,0 42.912,0 40.224 98.240 7.908,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.675.424 2.000 44.837,0 44.160,0 41.024 100.960 4.633,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.493.888 2.000 44.246,0 43.904,0 41.248 102.080 4.040,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 94.598.176 2.000 47.299,0 43.680,0 40.832 121.888 11.002,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.234.880 2.000 45.117,0 44.704,0 43.840 101.888 3.568,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.253.600 2.000 45.126,0 44.736,0 43.808 101.376 3.285,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.582.752 2.000 44.791,0 42.976,0 40.160 98.272 8.566,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.313.504 2.000 44.656,0 44.352,0 43.392 100.384 2.903,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.221.984 2.000 45.111,0 44.608,0 41.568 101.120 4.386,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.887.296 2.000 46.443,0 46.112,0 42.400 103.072 5.660,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.208.896 2.000 43.604,0 42.752,0 39.712 1.017.248 22.188,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.615.904 2.000 45.808,0 44.992,0 43.936 1.059.840 22.900,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.632.096 2.000 46.316,0 45.152,0 42.016 102.048 8.190,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.910.880 2.000 46.455,0 45.760,0 42.272 104.160 6.931,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.368.832 2.000 44.684,0 44.320,0 43.520 98.368 3.021,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.585.760 2.000 43.792,0 43.296,0 42.624 98.816 3.858,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.057.504 2.000 45.028,0 43.776,0 41.024 121.504 8.194,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.886.624 2.000 44.443,0 43.776,0 41.088 98.176 4.179,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 93.916.448 2.000 46.958,0 46.592,0 42.848 104.928 7.621,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.405.280 2.000 44.202,0 44.064,0 42.720 71.872 1.590,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 82.707.936 2.000 41.354,0 41.088,0 39.072 94.944 3.557,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.018.208 2.000 44.509,0 43.040,0 40.416 100.128 7.798,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.045.280 2.000 44.022,0 43.680,0 42.848 98.912 2.865,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.450.912 2.000 44.225,0 43.904,0 42.944 100.736 3.316,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.357.088 2.000 45.178,0 44.896,0 41.600 102.496 4.361,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.267.008 2.000 46.133,0 44.640,0 41.472 101.184 8.422,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.847.904 2.000 45.424,0 44.768,0 41.632 101.152 5.947,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
