5,0 470.394.784 6.000 78.399,0 77.088,0 75.936 1.096.832 21.855,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.031.072 6.000 78.005,0 77.184,0 75.840 171.104 7.817,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.970.528 6.000 78.161,0 76.992,0 66.816 175.744 17.415,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 475.326.016 6.000 79.221,0 77.664,0 66.784 2.017.376 27.180,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.848.000 6.000 77.474,0 77.696,0 67.168 1.097.376 20.590,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 500.989.696 6.000 83.498,0 76.448,0 66.368 1.919.648 33.301,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.762.016 6.000 78.293,0 76.736,0 75.680 1.706.688 34.403,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 465.873.440 6.000 77.645,0 76.896,0 75.648 176.896 7.066,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 470.783.904 6.000 78.464,0 76.928,0 66.208 183.744 17.694,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.602.368 6.000 78.100,0 77.152,0 75.776 1.156.416 20.064,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 471.907.392 6.000 78.651,0 77.136,0 66.848 2.059.648 33.365,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 462.860.704 6.000 77.143,0 77.024,0 66.784 1.961.408 27.000,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.195.808 6.000 77.366,0 76.832,0 66.464 1.054.816 20.102,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 471.351.296 6.000 78.558,0 77.440,0 76.288 1.958.016 28.416,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.398.560 6.000 78.733,0 77.856,0 67.008 1.145.472 22.188,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
