0,0 41.824 8 5.228,0 5.280,0 3.968 6.464 881,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.936 8 8.992,0 8.880,0 8.224 11.040 907,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.816 8 8.852,0 8.512,0 7.936 11.040 1.000,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.912 8 8.864,0 8.400,0 7.872 11.072 1.043,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.120 8 8.640,0 8.288,0 7.840 11.008 1.013,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.456 8 8.932,0 8.448,0 7.872 11.136 1.112,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.064 8 9.008,0 8.592,0 7.968 11.168 1.055,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.136 8 8.892,0 8.256,0 7.904 11.072 1.127,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.816 8 8.852,0 8.320,0 7.872 11.296 1.103,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.016 8 8.752,0 8.368,0 7.936 11.072 1.026,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.264 8 8.908,0 8.608,0 8.096 11.040 929,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.344 8 9.168,0 9.008,0 8.256 11.136 1.001,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.144 8 8.768,0 8.320,0 7.872 11.104 1.134,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.992 8 9.124,0 8.816,0 8.032 12.224 1.341,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.496 8 8.812,0 8.592,0 7.968 11.008 983,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.480 8 9.060,0 9.024,0 7.904 11.072 969,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.296 8 8.912,0 8.352,0 7.968 11.040 1.045,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.848 8 8.856,0 8.368,0 7.968 11.072 1.067,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.808 8 8.976,0 8.784,0 7.872 11.104 1.015,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.152 8 9.144,0 8.992,0 7.936 11.072 1.048,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.592 8 8.824,0 8.320,0 7.904 11.040 1.051,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.424 8 8.928,0 8.672,0 8.000 11.104 1.011,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.408 8 9.176,0 8.944,0 7.904 11.040 1.125,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.472 8 9.184,0 9.024,0 8.224 10.944 903,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.576 8 9.072,0 8.928,0 8.160 11.232 1.021,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.960 8 9.120,0 8.928,0 8.224 11.072 973,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.384 8 9.048,0 8.832,0 7.936 11.072 1.104,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.688 8 8.836,0 8.512,0 7.808 11.072 1.001,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.480 8 9.060,0 8.944,0 8.000 11.136 964,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.744 8 8.968,0 8.896,0 7.904 11.040 967,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.096 8 9.012,0 9.152,0 7.904 11.104 1.040,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.096 8 9.012,0 8.720,0 8.096 11.008 1.014,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.936 8 8.992,0 8.544,0 7.936 11.104 1.088,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.488 8 8.936,0 8.480,0 7.872 11.328 1.111,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.616 8 8.952,0 8.496,0 8.160 11.040 1.019,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.336 8 8.792,0 8.352,0 7.968 11.200 1.037,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 43.456 8 5.432,0 5.424,0 4.000 6.496 915,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.632 8 9.204,0 9.120,0 8.192 11.008 1.021,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.928 8 9.116,0 8.992,0 8.192 11.136 977,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.512 8 9.064,0 8.720,0 8.064 11.136 1.064,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.800 8 9.100,0 8.944,0 7.904 11.552 1.156,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.464 8 8.808,0 8.416,0 7.936 11.200 1.031,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.944 8 8.868,0 8.320,0 7.904 11.072 1.137,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.944 8 8.868,0 8.672,0 7.968 11.072 975,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.848 8 8.856,0 8.512,0 7.840 11.296 1.158,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.904 8 8.988,0 8.320,0 7.872 11.072 1.141,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.304 8 8.788,0 8.448,0 7.936 11.008 969,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.648 8 8.956,0 8.528,0 7.872 11.040 1.170,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.064 8 9.008,0 8.592,0 7.936 10.976 1.122,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.984 8 9.248,0 9.424,0 7.968 11.232 1.055,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.696 8 9.212,0 9.136,0 8.192 11.040 946,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.712 8 8.964,0 8.768,0 7.808 11.072 1.005,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.760 8 8.720,0 8.272,0 7.840 11.040 1.077,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.144 8 8.768,0 8.272,0 7.936 11.104 1.065,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.336 8 8.792,0 8.400,0 7.936 11.008 1.004,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
