0,0 191.488 8 23.936,0 25.872,0 13.344 29.088 5.219,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.296 8 23.912,0 25.408,0 12.160 29.472 5.709,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.104 8 23.888,0 25.632,0 12.640 29.728 5.429,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.128 8 24.016,0 25.456,0 12.192 30.816 5.630,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.888 8 24.236,0 25.648,0 12.448 30.432 5.842,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 104.320 8 13.040,0 13.664,0 6.816 16.000 2.891,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.680 8 23.960,0 24.944,0 12.832 30.464 5.663,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.776 8 23.972,0 25.344,0 11.680 30.208 5.866,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.216 8 24.152,0 25.376,0 12.736 30.528 5.633,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.888 8 23.736,0 25.472,0 12.320 28.928 5.530,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.320 8 24.040,0 25.888,0 11.712 30.496 5.964,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.256 8 24.032,0 25.712,0 11.456 29.824 5.908,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.304 8 23.788,0 25.536,0 11.808 29.728 5.670,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.232 8 23.904,0 25.536,0 11.872 29.440 5.786,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.888 8 24.236,0 25.664,0 12.288 29.824 5.652,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.800 8 24.100,0 25.600,0 12.864 29.312 5.469,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.392 8 23.924,0 25.728,0 11.648 29.440 5.901,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.744 8 23.968,0 25.648,0 12.256 29.632 5.629,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.952 8 23.744,0 25.408,0 11.456 29.792 5.857,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.856 8 23.732,0 25.344,0 12.000 29.312 5.632,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.560 8 24.320,0 25.696,0 12.384 30.912 5.784,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.736 8 24.092,0 25.680,0 11.520 29.472 5.777,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.136 8 23.892,0 25.104,0 11.552 29.792 5.898,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.112 8 24.264,0 25.680,0 13.536 30.208 5.485,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.312 8 24.164,0 25.616,0 12.032 29.856 5.751,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 188.896 8 23.612,0 25.104,0 11.904 28.928 5.624,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.656 8 23.832,0 25.264,0 12.384 29.312 5.638,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.096 8 24.012,0 25.824,0 12.416 29.536 5.523,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.888 8 23.736,0 25.264,0 12.064 30.016 5.646,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.296 8 23.912,0 24.912,0 12.736 29.184 5.284,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.736 8 24.092,0 25.328,0 12.768 30.144 5.517,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.600 8 24.200,0 25.568,0 12.704 29.120 5.542,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.224 8 24.028,0 25.312,0 12.032 30.240 5.759,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.088 8 24.136,0 25.344,0 12.672 30.208 5.467,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.960 8 24.120,0 25.008,0 12.192 32.128 6.242,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.920 8 24.240,0 25.408,0 12.608 30.432 5.620,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.688 8 23.836,0 25.376,0 12.416 29.728 5.634,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.984 8 24.248,0 25.552,0 12.544 30.496 6.028,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.032 8 24.004,0 25.488,0 11.424 29.600 5.826,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.944 8 23.868,0 25.008,0 11.520 29.856 5.740,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.096 8 24.012,0 25.328,0 12.736 30.208 5.629,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.120 8 24.140,0 25.696,0 11.616 29.824 5.836,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.752 8 24.344,0 24.960,0 12.544 31.904 6.073,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 195.360 8 24.420,0 26.000,0 12.640 31.200 5.804,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 195.872 8 24.484,0 25.824,0 12.992 31.328 5.850,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 103.616 8 12.952,0 14.032,0 6.880 15.328 2.804,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.576 8 24.072,0 24.688,0 12.704 32.000 5.956,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.424 8 23.928,0 25.408,0 12.256 30.240 5.719,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
