0,0 11.296 2 5.648,0 5.648,0 4.096 7.200 2.194,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.632 2 6.816,0 6.816,0 4.864 8.768 2.760,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.232 2 5.616,0 5.616,0 4.128 7.104 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.232 2 5.616,0 5.616,0 4.064 7.168 2.194,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.160 2 8.080,0 8.080,0 6.688 9.472 1.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.304 2 7.152,0 7.152,0 5.216 9.088 2.737,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.808 2 7.904,0 7.904,0 6.080 9.728 2.579,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.488 2 9.744,0 9.744,0 7.200 12.288 3.597,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.504 2 10.752,0 10.752,0 8.192 13.312 3.620,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.840 2 7.920,0 7.920,0 6.304 9.536 2.285,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.712 2 7.856,0 7.856,0 6.112 9.600 2.466,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.192 2 8.096,0 8.096,0 6.560 9.632 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.536 2 6.768,0 6.768,0 5.024 8.512 2.466,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.960 2 6.480,0 6.480,0 4.864 8.096 2.285,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.104 2 5.552,0 5.552,0 4.032 7.072 2.149,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.416 2 10.208,0 10.208,0 7.232 13.184 4.208,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.424 2 9.712,0 9.712,0 7.264 12.160 3.462,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.992 2 6.496,0 6.496,0 4.288 8.704 3.122,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.200 2 5.600,0 5.600,0 4.096 7.104 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.840 2 5.920,0 5.920,0 4.032 7.808 2.670,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.664 2 6.832,0 6.832,0 5.056 8.608 2.511,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.648 2 9.824,0 9.824,0 7.360 12.288 3.484,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.136 2 5.568,0 5.568,0 4.064 7.072 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.712 2 7.856,0 7.856,0 6.208 9.504 2.330,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.072 2 7.536,0 7.536,0 6.080 8.992 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
