      5,0          435.872          1    435.872,0    435.872,0    435.872    435.872          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        1.979.488          1  1.979.488,0  1.979.488,0  1.979.488  1.979.488          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          433.760          1    433.760,0    433.760,0    433.760    433.760          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        2.355.712          1  2.355.712,0  2.355.712,0  2.355.712  2.355.712          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          487.136          1    487.136,0    487.136,0    487.136    487.136          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        3.897.152          1  3.897.152,0  3.897.152,0  3.897.152  3.897.152          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          803.808          1    803.808,0    803.808,0    803.808    803.808          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        1.953.088          1  1.953.088,0  1.953.088,0  1.953.088  1.953.088          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          434.176          1    434.176,0    434.176,0    434.176    434.176          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        1.980.032          1  1.980.032,0  1.980.032,0  1.980.032  1.980.032          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          553.664          1    553.664,0    553.664,0    553.664    553.664          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        1.968.992          1  1.968.992,0  1.968.992,0  1.968.992  1.968.992          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          435.712          1    435.712,0    435.712,0    435.712    435.712          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.927.776          1  3.927.776,0  3.927.776,0  3.927.776  3.927.776          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          801.472          1    801.472,0    801.472,0    801.472    801.472          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        1.968.768          1  1.968.768,0  1.968.768,0  1.968.768  1.968.768          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      6,0          428.704          1    428.704,0    428.704,0    428.704    428.704          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        2.884.864          1  2.884.864,0  2.884.864,0  2.884.864  2.884.864          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          566.080          1    566.080,0    566.080,0    566.080    566.080          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.954.432          1  1.954.432,0  1.954.432,0  1.954.432  1.954.432          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          434.912          1    434.912,0    434.912,0    434.912    434.912          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
