1,0 8.158.400 128 63.737,0 63.296,0 51.136 69.152 4.524,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.248.992 128 64.445,0 65.248,0 51.200 69.344 3.970,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.226.880 128 64.272,0 64.864,0 51.136 68.576 4.166,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.163.552 128 63.777,0 63.488,0 50.272 69.152 4.855,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.108.192 128 63.345,0 63.248,0 49.984 68.704 5.130,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.207.456 128 64.120,0 63.744,0 44.320 68.864 5.606,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.211.648 128 64.153,0 65.424,0 51.328 68.736 4.348,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.203.936 128 64.093,0 62.192,0 51.104 68.672 4.078,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.142.624 128 63.614,0 63.328,0 50.112 68.800 5.001,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.289.184 128 64.759,0 65.232,0 51.168 68.864 3.979,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.255.264 128 48.869,0 50.032,0 46.688 52.416 1.643,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.117.568 128 63.418,0 64.704,0 50.272 69.056 5.190,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.264.128 128 64.563,0 63.536,0 51.168 68.608 4.040,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.140.384 128 63.596,0 62.496,0 47.168 68.896 4.285,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.766.816 128 60.678,0 63.072,0 50.016 68.576 6.400,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.259.296 128 64.525,0 64.112,0 51.168 68.576 3.807,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.075.168 128 63.087,0 63.168,0 50.048 68.608 5.383,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.295.936 128 49.187,0 50.016,0 47.488 52.192 1.352,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.183.456 128 63.933,0 62.912,0 51.072 68.928 4.166,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.253.056 128 64.477,0 66.432,0 51.168 68.864 4.172,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.238.080 128 48.735,0 48.320,0 46.784 52.864 1.651,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.889.600 128 61.637,0 63.184,0 50.080 68.896 6.137,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.299.680 128 64.841,0 66.032,0 51.424 69.088 3.666,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.997.056 128 62.477,0 63.072,0 49.920 69.024 5.882,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.261.888 128 64.546,0 62.496,0 51.648 68.960 3.599,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.054.432 128 62.925,0 63.232,0 50.016 69.344 5.562,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.235.584 128 64.340,0 64.288,0 51.104 68.960 4.163,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.929.888 128 61.952,0 62.160,0 49.984 68.768 5.955,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.764.992 128 60.664,0 63.184,0 38.848 68.576 9.743,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.290.848 128 64.772,0 64.144,0 51.488 68.832 3.384,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.247.488 128 64.433,0 63.328,0 51.072 68.736 3.883,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.213.952 128 64.171,0 63.248,0 51.200 68.640 4.183,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.057.024 128 62.945,0 62.464,0 50.016 68.384 5.336,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.211.008 128 48.523,0 49.952,0 46.688 52.096 1.644,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.266.176 128 64.579,0 65.664,0 51.104 68.768 3.879,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.394.080 128 57.766,0 62.064,0 39.680 68.672 10.542,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.925.632 128 54.106,0 51.648,0 39.488 68.704 12.180,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.281.760 128 64.701,0 64.128,0 51.264 69.664 3.828,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.085.440 128 63.167,0 63.264,0 49.952 68.864 5.266,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.155.456 128 63.714,0 63.264,0 50.528 69.216 4.832,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.259.008 128 64.523,0 63.728,0 50.112 68.800 3.794,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.078.304 128 63.111,0 62.416,0 50.016 68.992 5.322,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.255.168 128 64.493,0 63.392,0 51.296 69.248 4.006,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.191.040 128 63.992,0 63.504,0 51.296 68.928 4.255,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.181.120 128 63.915,0 63.248,0 51.168 68.992 4.625,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.110.016 128 63.359,0 62.656,0 50.016 68.800 5.296,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.069.248 128 63.041,0 62.704,0 49.984 68.864 5.443,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.538.112 128 58.891,0 62.400,0 50.016 68.544 6.580,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.228.320 128 64.283,0 65.408,0 51.168 68.832 4.315,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.197.568 128 64.043,0 65.072,0 51.136 69.056 4.501,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.128.000 128 63.500,0 63.168,0 50.176 68.704 5.076,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.191.904 128 63.999,0 63.424,0 51.136 69.216 4.627,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.075.424 128 55.276,0 51.280,0 47.584 63.328 6.115,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.310.240 128 64.923,0 64.784,0 51.168 69.184 3.840,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.254.400 128 48.862,0 49.888,0 46.752 52.032 1.418,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.352.864 128 65.256,0 66.128,0 51.136 68.544 3.211,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.226.080 128 48.641,0 49.248,0 46.720 52.704 1.629,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.914.848 128 61.834,0 62.208,0 40.096 69.024 6.958,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.172.352 128 63.846,0 63.328,0 50.336 69.056 4.787,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.118.656 128 63.427,0 63.296,0 49.952 68.960 5.422,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.312.224 128 64.939,0 65.440,0 51.168 69.568 3.656,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.214.016 128 64.172,0 62.736,0 51.168 69.152 4.101,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.093.408 128 63.229,0 63.168,0 50.048 69.344 5.377,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.194.560 128 64.020,0 63.616,0 51.104 69.024 4.501,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.103.392 128 63.307,0 63.232,0 50.048 68.928 5.212,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.110.688 128 63.364,0 63.072,0 50.112 68.992 5.158,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.143.808 128 63.623,0 63.040,0 49.888 69.184 4.907,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.205.536 128 64.105,0 65.760,0 51.232 68.928 4.288,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.582.144 128 59.235,0 62.256,0 39.936 69.536 9.862,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.940.928 128 62.038,0 62.272,0 50.144 69.056 5.666,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.106.208 128 63.329,0 63.216,0 50.080 69.408 5.354,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.146.976 128 63.648,0 64.160,0 40.192 68.896 5.811,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.146.560 128 63.645,0 63.504,0 50.112 68.992 4.955,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.284.544 128 64.723,0 64.832,0 51.040 68.416 3.872,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.715.232 128 52.462,0 50.080,0 47.520 63.040 5.419,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.988.064 128 62.406,0 63.024,0 40.224 69.120 8.060,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.258.368 128 48.893,0 49.280,0 46.720 52.864 1.372,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.501.952 128 58.609,0 62.208,0 34.240 68.416 11.642,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.888.480 128 61.628,0 61.984,0 49.984 68.704 5.645,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.230.464 128 64.300,0 64.160,0 51.136 69.952 4.094,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.252.736 128 64.474,0 64.240,0 51.232 69.088 4.180,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.128.896 128 63.507,0 62.992,0 49.920 69.120 4.873,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.143.840 128 63.623,0 63.008,0 50.080 69.536 4.932,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.286.336 128 64.737,0 63.328,0 51.168 68.800 3.774,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.296.064 128 64.813,0 65.792,0 51.168 68.896 4.267,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.335.648 128 65.122,0 65.984,0 51.168 68.864 3.511,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.212.768 128 64.162,0 63.344,0 51.232 69.056 4.412,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.260.672 128 64.536,0 65.216,0 51.040 68.864 3.783,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.259.680 128 64.528,0 63.856,0 51.232 68.800 3.737,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.492.352 128 58.534,0 62.128,0 39.904 68.384 10.574,0 CUDA_KERNEL lud_diagonal(float *, int, int)
