      3,0       14.641.312        127      115.285,0      107.552,0       67.680      206.048      39.186,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.355.968        128       65.281,0       66.768,0       61.184       71.456       2.979,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      110.872.192        127      873.009,0      624.992,0        7.840    2.441.664     788.151,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.529.696        127      114.407,0      107.584,0       68.800      183.328      37.189,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.334.464        128       65.113,0       64.912,0       51.200       68.960       3.217,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      112.129.024        127      882.905,0      640.896,0        8.256    2.475.712     795.386,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.584.384        127      114.837,0      107.104,0       69.504      181.824      37.605,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.369.248        128       65.384,0       66.384,0       51.264       68.736       3.042,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20,0       80.363.936        127      632.786,0      437.312,0        6.368    1.892.384     579.066,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2,0       10.959.680        127       86.296,0       79.424,0       51.648      150.752      28.824,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        6.261.856        128       48.920,0       49.248,0       46.752       52.032       1.615,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      105.689.504        127      832.200,0      643.808,0        6.752    2.071.616     714.908,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.130.976        127      111.267,0      108.480,0       68.160      171.744      33.845,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.181.120        128       63.915,0       63.328,0       50.048       69.184       5.025,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.266.784        127      852.494,0      620.672,0        7.264    2.329.696     758.982,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.318.912        127      112.747,0      106.560,0       67.680      180.160      36.434,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.237.440        128       64.355,0       64.144,0       51.200       68.768       4.030,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.686.464        127      855.798,0      608.992,0        5.408    2.311.680     765.230,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.788.160        127      108.568,0      104.000,0       44.800      180.160      41.783,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.714.592        128       60.270,0       62.304,0       39.584       68.800       9.848,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      110.114.400        127      867.042,0      586.720,0        4.704    2.426.272     791.950,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.115.552        127      111.146,0      106.784,0       41.728      181.408      41.354,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.934.112        128       61.985,0       62.672,0       37.888       68.736       8.828,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      103.849.792        127      817.714,0      614.912,0        8.096    1.966.528     697.946,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.010.784        127      110.321,0      107.264,0       68.768      165.920      32.152,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.122.432        128       63.456,0       63.296,0       49.984       68.768       5.114,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.470.560        127      854.098,0      632.672,0        8.256    2.247.872     751.988,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.363.392        127      113.097,0      108.000,0       69.472      174.528      35.420,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.249.472        128       64.449,0       63.552,0       51.168       69.248       4.198,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.733.504        127      856.169,0      626.368,0        6.912    2.340.736     763.646,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.325.696        127      112.800,0      106.144,0       67.904      180.096      36.388,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.220.576        128       64.223,0       62.736,0       51.232       69.088       4.119,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22,0      102.897.024        127      810.212,0      637.632,0        8.000    1.895.456     686.130,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.923.296        127      109.632,0      108.288,0       69.312      164.960      31.408,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.086.528        128       63.176,0       63.104,0       50.016       68.768       5.330,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22,0      103.279.968        127      813.228,0      595.008,0        6.880    1.976.896     696.745,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.968.000        127      109.984,0      106.208,0       67.872      165.440      32.404,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.103.040        128       63.305,0       63.120,0       50.240       69.024       5.109,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.966.816        127      865.880,0      653.472,0        8.256    2.336.960     765.505,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.423.168        127      113.568,0      107.264,0       68.768      179.744      35.850,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.292.000        128       64.781,0       64.896,0       51.168       68.928       3.864,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20,0       80.373.344        127      632.861,0      450.560,0        6.240    1.895.360     579.337,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2,0       10.970.528        127       86.382,0       80.480,0       51.552      150.368      28.807,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        6.236.160        128       48.720,0       49.824,0       46.720       52.448       1.583,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.700.256        127      855.907,0      632.640,0        6.784    2.273.696     758.009,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.301.952        127      112.613,0      107.744,0       68.384      174.336      35.870,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.221.280        128       64.228,0       63.024,0       51.200       69.600       4.282,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22,0       99.604.704        127      784.289,0      620.256,0        6.816    1.900.640     658.012,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.711.648        127      107.965,0      108.032,0       67.680      163.040      30.767,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.964.576        128       62.223,0       62.048,0       50.048       68.640       5.751,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      107.601.120        127      847.252,0      583.456,0        5.536    2.669.728     840.755,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2,0       12.943.296        127      101.915,0      104.576,0       44.160      205.056      50.945,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        6.933.664        128       54.169,0       63.056,0       39.456       70.624      13.452,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      105.977.760        127      834.470,0      651.840,0        7.904    2.104.192     723.894,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.197.472        127      111.791,0      108.704,0       68.640      171.712      33.744,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.206.720        128       64.115,0       63.616,0       51.136       68.800       4.713,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      107.869.888        127      849.369,0      626.336,0        8.480    2.220.576     750.592,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.363.328        127      113.097,0      108.960,0       69.376      174.432      35.454,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.279.104        128       64.680,0       63.376,0       51.072       68.928       4.084,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22,0      102.551.520        127      807.492,0      620.224,0        7.968    1.930.112     682.261,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.992.256        127      110.175,0      106.720,0       69.600      165.472      31.534,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.122.880        128       63.460,0       63.584,0       49.984       68.768       5.234,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     24,0      113.784.736        127      895.942,0      638.528,0        7.872    2.621.472     822.371,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.681.632        127      115.603,0      107.040,0       68.704      197.760      38.764,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.389.952        128       65.546,0       65.488,0       62.336       68.736       2.522,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20,0       85.371.360        127      672.215,0      554.144,0        8.512    1.904.928     570.042,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       12.265.312        127       96.577,0       94.784,0       69.600      151.456      21.049,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.263.072        128       56.742,0       57.296,0       49.248       66.528       6.216,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.719.136        127      863.930,0      610.592,0        6.784    2.369.568     775.252,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.419.520        127      113.539,0      107.392,0       67.552      179.904      37.415,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.272.576        128       64.629,0       63.808,0       51.264       69.344       3.817,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20,0       84.745.440        127      667.286,0      539.040,0        8.640    1.905.984     565.884,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       12.301.312        127       96.860,0       95.264,0       68.672      150.848      21.126,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.290.688        128       56.958,0       62.304,0       50.016       66.336       6.264,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20,0       80.482.848        127      633.723,0      452.000,0        6.048    1.900.352     579.523,0  CUDA_KERNEL  lud_internal(float *, int, int) 
