3,0 14.382.080 127 113.244,0 108.768,0 69.152 174.400 35.411,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.361.344 127 113.081,0 107.040,0 69.248 174.848 35.407,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.959.360 127 109.916,0 109.184,0 68.320 165.952 32.110,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.350.752 127 112.998,0 108.896,0 68.064 173.696 35.594,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.339.328 127 112.908,0 107.840,0 67.680 173.792 35.563,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.933.504 127 109.712,0 108.704,0 68.672 165.056 31.361,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 13.610.336 127 107.168,0 97.280,0 68.736 174.464 32.227,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.280.384 127 112.444,0 107.584,0 67.968 175.328 36.005,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.659.968 127 107.558,0 107.488,0 68.384 163.296 29.850,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.280.384 127 112.444,0 108.096,0 68.160 174.240 36.040,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.288.992 127 112.511,0 107.648,0 68.320 174.368 35.996,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.054.560 127 110.665,0 106.688,0 44.928 183.360 42.174,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 12.157.504 127 95.728,0 94.368,0 68.832 151.200 21.226,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.360.640 127 113.075,0 106.496,0 67.616 179.840 36.373,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.781.856 127 108.518,0 105.632,0 68.256 163.968 31.214,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.336.352 127 112.884,0 106.656,0 68.416 179.680 36.395,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.098.976 127 111.015,0 108.288,0 68.768 171.392 32.931,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 10.963.264 127 86.324,0 80.064,0 51.552 151.392 28.786,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.384.352 127 105.388,0 107.680,0 68.256 155.744 26.676,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.759.776 127 108.344,0 105.888,0 67.552 163.616 31.212,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 13.977.952 127 110.062,0 103.168,0 67.488 174.240 35.003,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.807.744 127 108.722,0 106.272,0 68.544 164.064 31.485,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.478.368 127 114.002,0 108.512,0 69.472 180.032 36.222,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.946.240 127 109.812,0 107.168,0 68.800 165.216 31.869,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 12.597.088 127 99.189,0 104.512,0 44.448 165.824 43.192,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.889.952 127 109.369,0 105.952,0 43.424 182.784 43.561,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.312.928 127 112.700,0 108.576,0 68.096 174.880 35.953,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.934.144 127 109.717,0 108.448,0 68.672 166.016 31.409,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.335.648 127 112.879,0 106.496,0 68.736 175.456 35.057,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.065.280 127 110.750,0 107.680,0 69.632 172.320 32.611,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 12.173.088 127 95.851,0 94.304,0 69.440 150.848 21.194,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.339.328 127 112.908,0 107.488,0 67.904 174.272 35.731,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.104.032 127 111.055,0 107.392,0 68.768 172.064 33.020,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.421.280 127 113.553,0 107.936,0 68.928 179.776 35.858,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.642.880 127 107.424,0 107.264,0 67.936 156.896 29.490,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.161.152 127 103.631,0 107.904,0 68.960 150.976 24.599,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.260.544 127 112.287,0 106.816,0 67.744 174.624 35.661,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.381.568 127 105.366,0 107.584,0 69.248 151.296 26.229,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.344.864 127 112.951,0 104.160,0 67.552 179.968 36.956,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.427.264 127 113.600,0 108.352,0 68.800 179.680 35.864,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.986.592 127 110.130,0 107.520,0 69.312 165.632 31.569,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.726.848 127 115.959,0 108.096,0 69.472 205.536 38.822,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.149.408 127 111.412,0 107.936,0 68.800 171.680 33.405,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.359.488 127 113.066,0 106.688,0 69.344 174.080 35.456,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.754.624 127 108.304,0 106.656,0 43.264 174.912 41.792,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 10.940.800 127 86.148,0 78.688,0 52.000 151.008 28.884,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.310.496 127 112.681,0 107.872,0 67.744 174.304 35.880,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.143.680 127 111.367,0 107.904,0 68.192 171.968 34.154,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.004.320 127 110.270,0 106.976,0 69.312 167.968 32.046,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.358.624 127 105.186,0 107.584,0 68.256 155.456 27.052,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.246.560 127 112.177,0 107.488,0 68.032 174.272 35.547,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.245.792 127 112.171,0 107.744,0 69.056 172.960 34.328,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 11.031.616 127 86.863,0 80.640,0 52.704 151.168 28.335,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.285.248 127 104.608,0 105.408,0 44.416 165.280 36.831,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.879.360 127 109.286,0 107.360,0 69.376 164.256 30.985,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.053.376 127 110.656,0 108.256,0 68.096 171.584 32.662,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.157.856 127 111.479,0 106.336,0 68.672 172.160 33.708,0 CUDA_KERNEL lud_perimeter(float *, int, int)
