23,0 108.144.128 127 851.528,0 646.944,0 6.944 2.256.544 753.270,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 104.375.360 127 821.853,0 621.216,0 6.816 2.014.144 707.255,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 104.749.664 127 824.800,0 611.872,0 6.912 2.014.432 708.417,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.895.840 127 857.447,0 628.448,0 7.168 2.304.864 765.805,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 103.319.040 127 813.535,0 631.040,0 6.816 1.960.704 694.355,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.497.984 127 862.188,0 647.904,0 7.360 2.314.592 766.990,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.438.880 127 853.849,0 655.424,0 8.320 2.294.240 755.375,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.857.376 127 849.270,0 611.936,0 8.416 2.259.488 750.979,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 102.588.704 127 807.785,0 599.776,0 6.848 1.905.856 688.323,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.959.648 127 857.950,0 636.192,0 6.528 2.307.712 759.978,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.698.688 127 848.021,0 622.656,0 7.072 2.217.600 749.223,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.948.480 127 810.618,0 679.264,0 8.448 1.900.544 684.494,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 105.175.648 127 828.154,0 632.224,0 8.096 2.184.160 719.191,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.803.264 127 856.718,0 654.624,0 6.784 2.283.744 757.615,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 100.113.536 127 788.295,0 649.344,0 7.264 1.896.928 654.283,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.093.280 127 859.002,0 652.800,0 6.880 2.296.288 760.860,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.250.272 127 852.364,0 615.776,0 6.752 2.286.848 756.527,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.161.600 127 867.414,0 632.032,0 5.504 2.411.104 792.102,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 84.006.272 127 661.466,0 487.840,0 7.936 1.901.920 567.571,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.303.648 127 860.658,0 643.712,0 6.976 2.311.584 764.721,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 101.286.816 127 797.534,0 608.896,0 7.008 1.900.736 669.582,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.429.696 127 861.651,0 648.992,0 6.944 2.337.824 766.908,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 104.530.208 127 823.072,0 624.256,0 7.936 2.055.840 709.679,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.344.672 127 632.635,0 449.376,0 6.240 1.895.584 579.292,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 95.158.368 127 749.278,0 651.040,0 6.816 1.884.640 611.922,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 100.828.960 127 793.928,0 575.648,0 7.232 1.892.928 671.961,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 108.473.216 127 854.119,0 588.224,0 6.688 2.343.488 762.382,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 101.775.648 127 801.383,0 624.992,0 6.784 1.899.296 676.174,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.023.840 127 858.455,0 618.144,0 7.936 2.312.672 765.940,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 103.381.696 127 814.029,0 643.872,0 8.224 1.960.352 687.633,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 100.343.392 127 790.105,0 603.776,0 4.896 1.930.144 703.122,0 CUDA_KERNEL lud_internal(float *, int, int)
24,0 110.756.416 127 872.097,0 607.200,0 5.824 2.439.520 797.507,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.896.832 127 857.455,0 634.208,0 6.912 2.304.000 760.527,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.730.720 127 808.903,0 634.208,0 7.936 1.909.344 684.132,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.644.672 127 847.595,0 587.296,0 7.872 2.243.072 746.427,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 103.522.112 127 815.134,0 617.600,0 8.608 1.971.360 698.441,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 84.541.472 127 665.680,0 489.920,0 8.000 1.903.360 569.334,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.170.176 127 859.607,0 654.944,0 6.880 2.345.120 761.274,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 104.270.848 127 821.030,0 620.544,0 8.608 1.999.200 706.465,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.405.888 127 853.589,0 629.344,0 7.968 2.280.736 757.943,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 99.639.328 127 784.561,0 641.056,0 7.232 1.891.040 648.089,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 91.829.472 127 723.066,0 602.656,0 8.000 1.875.136 590.178,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.481.088 127 854.181,0 663.488,0 7.456 2.256.288 750.750,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 95.778.496 127 754.161,0 677.600,0 7.872 1.898.688 612.500,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.218.496 127 859.988,0 592.256,0 6.720 2.341.056 771.321,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.459.680 127 861.887,0 642.880,0 7.808 2.329.248 765.889,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.364.960 127 806.023,0 625.248,0 7.904 1.920.672 682.128,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 114.391.744 127 900.722,0 652.416,0 7.616 2.700.736 825.184,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.152.768 127 827.974,0 612.448,0 8.128 2.059.136 715.184,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.051.296 127 850.797,0 645.536,0 8.224 2.254.272 751.121,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.162.464 127 851.672,0 613.024,0 5.440 2.259.200 757.526,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.401.120 127 633.079,0 446.304,0 5.920 1.894.208 579.037,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.623.456 127 855.302,0 631.296,0 7.072 2.259.232 755.630,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.606.432 127 831.546,0 668.928,0 7.008 2.067.616 720.280,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 103.720.608 127 816.697,0 661.152,0 7.904 1.940.832 695.125,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 95.121.248 127 748.986,0 623.264,0 6.816 1.904.544 613.262,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.236.352 127 852.254,0 648.000,0 6.560 2.268.864 749.868,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 106.951.456 127 842.137,0 627.648,0 8.160 2.142.432 732.420,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.806.784 127 636.273,0 474.272,0 7.200 1.902.528 578.026,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 100.692.960 127 792.858,0 599.008,0 5.408 1.885.024 677.310,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 101.922.880 127 802.542,0 647.872,0 7.904 1.914.560 674.984,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 103.331.584 127 813.634,0 632.224,0 7.072 2.003.808 695.200,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.984.384 127 834.522,0 606.784,0 7.904 2.083.104 724.303,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.118.080 127 859.197,0 613.792,0 6.944 2.276.192 764.123,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.949.344 127 857.868,0 645.920,0 6.784 2.301.472 758.672,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.193.696 127 828.296,0 648.992,0 7.936 2.036.832 708.243,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 103.415.552 127 814.295,0 664.128,0 6.816 1.936.064 693.724,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 106.431.872 127 838.046,0 649.568,0 7.712 2.199.456 732.802,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.183.872 127 851.841,0 628.384,0 6.592 2.241.952 751.013,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.482.016 127 854.189,0 580.704,0 6.784 2.320.128 764.337,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.066.176 127 827.292,0 658.656,0 7.968 2.038.976 705.940,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.022.624 127 866.319,0 662.912,0 7.072 2.348.192 770.681,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 81.053.984 127 638.220,0 482.656,0 6.304 1.891.712 581.940,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 103.971.456 127 818.672,0 622.784,0 6.880 2.000.896 699.759,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.625.792 127 847.447,0 617.088,0 8.064 2.245.056 749.034,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.345.984 127 853.118,0 629.344,0 6.944 2.250.656 753.125,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 93.201.152 127 733.867,0 659.872,0 7.968 1.906.016 595.819,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.229.280 127 860.073,0 630.176,0 7.360 2.339.456 767.499,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 101.666.528 127 800.523,0 618.016,0 7.872 1.890.784 676.128,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.831.424 127 636.467,0 487.136,0 7.168 1.887.776 578.430,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.951.296 127 850.010,0 625.856,0 6.784 2.280.000 754.634,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.618.784 127 855.266,0 624.992,0 6.592 2.260.800 758.245,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.790.880 127 636.148,0 454.912,0 6.272 1.912.608 581.729,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 96.521.120 127 760.008,0 666.048,0 7.904 1.904.384 621.405,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.057.440 127 866.594,0 682.304,0 6.976 2.335.712 766.991,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 98.770.656 127 777.721,0 624.992,0 8.064 1.895.712 645.663,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 111.312.640 127 876.477,0 617.120,0 6.816 2.443.808 793.039,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 100.524.480 127 791.531,0 613.728,0 8.160 1.900.640 665.310,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.085.344 127 858.939,0 640.928,0 6.912 2.293.152 759.691,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 98.930.304 127 778.978,0 649.376,0 7.104 1.896.480 645.862,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.151.936 127 851.590,0 629.984,0 5.376 2.299.168 761.493,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 111.881.504 127 880.956,0 606.784,0 6.752 2.488.608 802.497,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.983.872 127 866.014,0 625.568,0 6.912 2.362.592 774.351,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.097.024 127 851.157,0 614.016,0 6.880 2.284.256 756.695,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.704.544 127 808.697,0 665.344,0 6.912 1.885.120 681.160,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.829.920 127 636.456,0 466.240,0 6.176 1.899.584 581.685,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.031.328 127 858.514,0 577.696,0 6.912 2.387.328 771.108,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 101.040.992 127 795.598,0 595.200,0 5.408 1.900.128 685.673,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 99.168.512 127 780.854,0 596.352,0 5.504 1.885.056 689.587,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.665.088 127 863.504,0 642.624,0 8.352 2.348.192 767.555,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.518.912 127 807.235,0 622.016,0 8.608 1.907.872 684.145,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 104.669.056 127 824.165,0 650.528,0 7.872 2.032.128 709.252,0 CUDA_KERNEL lud_internal(float *, int, int)
25,0 123.782.336 127 974.664,0 645.984,0 8.224 4.814.656 1.049.998,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.281.568 127 805.366,0 609.248,0 6.720 1.908.896 684.694,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.981.952 127 858.125,0 649.664,0 7.904 2.278.848 757.063,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.575.520 127 847.051,0 624.128,0 6.944 2.234.464 748.405,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.240.160 127 828.662,0 597.408,0 7.968 2.077.504 720.461,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.800.160 127 809.450,0 648.448,0 8.064 1.924.512 688.728,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.591.840 127 807.809,0 640.736,0 6.688 1.889.760 683.098,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 87.944.320 127 692.475,0 610.208,0 8.512 1.903.744 572.025,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.085.344 127 851.065,0 649.696,0 6.976 2.272.800 752.537,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.245.696 127 844.454,0 635.648,0 6.880 2.158.880 738.144,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.887.328 127 810.136,0 626.912,0 8.352 1.947.552 691.439,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.207.936 127 844.157,0 635.712,0 6.912 2.187.072 737.765,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 82.847.648 127 652.343,0 494.208,0 7.936 1.890.080 569.547,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.481.376 127 854.184,0 636.032,0 8.128 2.293.632 759.219,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.613.856 127 634.754,0 465.184,0 7.104 1.896.928 579.243,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 111.999.232 127 881.883,0 645.888,0 6.944 2.491.776 798.636,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.426.208 127 633.277,0 453.280,0 6.208 1.876.960 579.369,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 101.302.752 127 797.659,0 589.920,0 5.824 1.896.960 677.250,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.134.272 127 827.828,0 646.112,0 8.064 2.088.320 711.423,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 101.962.528 127 802.854,0 635.968,0 7.936 1.891.808 679.866,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.110.144 127 867.009,0 640.288,0 7.968 2.396.128 773.597,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.072.736 127 858.840,0 618.784,0 6.688 2.315.456 765.053,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.174.688 127 804.525,0 655.968,0 8.544 1.894.080 679.412,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 106.901.664 127 841.745,0 646.080,0 6.976 2.140.000 728.725,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 102.793.664 127 809.398,0 645.952,0 7.936 1.907.200 685.193,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 103.260.992 127 813.078,0 609.792,0 8.032 1.996.608 696.448,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 104.452.320 127 822.459,0 620.256,0 8.480 2.017.792 705.757,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.318.464 127 852.901,0 684.512,0 6.784 2.242.240 749.002,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 102.091.552 127 803.870,0 624.032,0 5.568 1.907.584 680.924,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 99.376.864 127 782.495,0 623.616,0 7.040 1.887.008 652.998,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.138.720 127 804.241,0 644.640,0 8.480 1.901.728 679.985,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.743.936 127 864.125,0 671.232,0 5.760 2.330.368 770.852,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.544.192 127 831.056,0 637.664,0 7.264 2.094.400 713.105,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.799.264 127 864.561,0 668.608,0 8.096 2.358.496 769.651,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 81.703.520 127 643.334,0 484.640,0 8.352 1.899.168 577.197,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 104.912.768 127 826.084,0 604.192,0 7.968 2.106.144 715.668,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.865.216 127 636.734,0 465.056,0 7.008 1.890.912 581.113,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 89.271.552 127 702.925,0 631.008,0 6.912 1.545.056 550.896,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 99.341.216 127 782.214,0 644.480,0 7.136 1.898.688 648.304,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.862.304 127 857.183,0 614.752,0 6.688 2.332.896 762.364,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.369.952 127 853.306,0 643.552,0 7.808 2.205.856 748.107,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 104.984.864 127 826.652,0 639.136,0 6.784 2.053.536 711.036,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.235.584 127 828.626,0 647.872,0 6.752 2.073.760 717.729,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.371.808 127 853.321,0 617.184,0 8.160 2.289.024 758.531,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.512.320 127 854.427,0 643.648,0 8.608 2.254.560 752.549,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 111.239.072 127 875.898,0 671.584,0 7.936 2.404.000 784.527,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 106.233.664 127 836.485,0 581.664,0 8.544 2.146.944 731.666,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.570.432 127 870.633,0 614.752,0 7.392 2.397.408 786.477,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.851.712 127 864.974,0 592.832,0 6.848 2.359.296 779.009,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 102.234.752 127 804.998,0 614.848,0 5.536 1.907.520 688.474,0 CUDA_KERNEL lud_internal(float *, int, int)
