0,0 3.076.160 9 341.795,0 406.208,0 210.688 438.304 96.159,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.330.432 9 370.048,0 374.208,0 288.416 442.912 57.302,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.219.264 9 357.696,0 393.696,0 20.736 510.304 148.440,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.344.672 9 371.630,0 386.432,0 241.408 491.392 98.720,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 6.469.568 9 718.840,0 726.368,0 433.056 936.288 171.768,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.993.664 9 443.740,0 446.272,0 193.408 539.680 104.599,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 4.750.208 9 527.800,0 497.344,0 224.160 887.360 198.308,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.008.672 9 334.296,0 337.920,0 107.904 460.672 112.783,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.441.152 9 382.350,0 383.808,0 266.752 446.656 52.837,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.874.752 9 319.416,0 368.672,0 97.952 462.912 116.002,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.593.888 9 288.209,0 254.112,0 74.432 483.424 145.159,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.200.192 9 355.576,0 375.552,0 175.552 500.512 97.335,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.631.328 9 625.703,0 632.928,0 306.368 884.704 231.313,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.064.992 9 340.554,0 408.672,0 97.856 437.280 138.417,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.545.760 9 393.973,0 392.256,0 220.544 497.824 86.294,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.978.176 9 330.908,0 329.440,0 107.872 478.400 128.163,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.304.384 9 367.153,0 427.808,0 128.288 466.976 114.042,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.192.736 9 354.748,0 370.848,0 238.752 434.016 72.867,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.051.520 9 339.057,0 383.392,0 92.192 457.024 114.381,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.436.544 9 604.060,0 749.568,0 157.504 861.824 253.000,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.358.592 9 373.176,0 368.160,0 209.152 461.856 85.025,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.503.520 9 389.280,0 424.192,0 202.720 479.840 89.253,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 6.211.648 9 690.183,0 761.280,0 431.264 897.952 179.687,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.727.424 9 303.047,0 294.016,0 16.960 475.680 130.107,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.218.464 9 357.607,0 389.920,0 173.568 467.136 99.841,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.640.800 9 404.533,0 399.648,0 350.528 470.944 35.685,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.640.768 9 404.529,0 447.424,0 172.320 464.576 98.551,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.280.928 9 364.547,0 371.616,0 75.296 512.288 136.349,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.826.208 9 647.356,0 669.056,0 377.312 916.896 193.942,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.394.656 9 377.184,0 403.616,0 95.168 497.760 112.471,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.774.400 9 419.377,0 449.280,0 276.224 472.160 66.578,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.366.912 9 374.101,0 367.456,0 340.448 446.784 34.368,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.515.232 9 390.581,0 380.800,0 319.104 492.288 60.846,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.334.816 9 370.535,0 371.936,0 216.640 470.752 74.922,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.361.280 9 373.475,0 407.744,0 221.920 497.440 90.849,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.678.176 9 408.686,0 426.880,0 268.480 522.752 83.195,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
