17,0 58.238.432 9 6.470.936,0 6.469.280,0 6.454.176 6.490.720 9.606,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.325.504 9 6.591.722,0 6.540.352,0 6.455.232 6.887.584 176.455,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.131.936 9 6.459.104,0 6.457.760,0 6.454.400 6.470.272 4.808,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.224.128 9 6.580.458,0 6.485.600,0 6.465.728 6.720.608 126.129,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.561.856 9 6.729.095,0 6.858.368,0 6.453.632 6.935.072 224.633,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 103.732.480 9 11.525.831,0 12.910.848,0 6.672.768 12.936.128 2.750.014,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 61.013.312 9 6.779.256,0 6.925.152,0 6.453.728 6.960.000 241.175,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 97.032.928 9 10.781.436,0 12.900.096,0 6.538.656 12.928.416 3.149.664,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.119.936 9 6.457.770,0 6.457.824,0 6.451.680 6.467.648 4.583,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.120.384 9 6.457.820,0 6.457.856,0 6.440.352 6.471.424 8.086,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.113.536 9 6.457.059,0 6.457.920,0 6.442.080 6.471.648 7.787,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.644.032 9 6.738.225,0 6.898.976,0 6.451.456 6.961.024 234.017,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.111.328 9 6.456.814,0 6.455.008,0 6.449.856 6.467.712 5.178,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 101.622.560 9 11.291.395,0 12.902.720,0 6.883.936 12.935.040 2.629.930,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.123.616 9 6.458.179,0 6.459.072,0 6.444.128 6.465.056 6.149,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.107.744 9 6.456.416,0 6.455.360,0 6.420.704 6.518.336 26.477,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.321.824 9 6.480.202,0 6.459.296,0 6.454.080 6.562.176 43.978,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
