23.2 113588672 127 894399.0 627584.0 6944 2679840 822828.7 CUDA_KERNEL lud_internal(float *, int, int)
23.5 115860832 127 912290.0 665600.0 5504 3299680 870461.1 CUDA_KERNEL lud_internal(float *, int, int)
22.7 103793248 127 817269.7 393888.0 4896 2671360 853456.2 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113730720 127 895517.5 628928.0 8480 2666912 826832.2 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113491808 127 893636.3 639040.0 8672 2677024 825589.8 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113128928 127 890779.0 622688.0 7936 2666752 820829.8 CUDA_KERNEL lud_internal(float *, int, int)
21.7 94088992 127 740858.2 399360.0 5088 2689984 820396.7 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112978784 127 889596.7 620544.0 7840 2667552 820889.8 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113390656 127 892839.8 622816.0 8608 2678688 823916.5 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113236736 127 891627.8 615328.0 8064 2666560 824274.3 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113178880 127 891172.3 641024.0 7648 2655520 823268.9 CUDA_KERNEL lud_internal(float *, int, int)
21.2 92067776 127 724943.1 399584.0 4864 2685760 807773.2 CUDA_KERNEL lud_internal(float *, int, int)
22.4 102110048 127 804016.1 416096.0 5248 2665920 848445.1 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113484608 127 893579.6 635136.0 8032 2659040 824260.5 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113068992 127 890307.0 616352.0 8512 2675456 821369.5 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113518336 127 893845.2 641408.0 7968 2659904 825119.6 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113247328 127 891711.2 614752.0 7936 2683296 824579.0 CUDA_KERNEL lud_internal(float *, int, int)
18.4 59561376 127 468987.2 335008.0 3840 1411296 435326.5 CUDA_KERNEL lud_internal(float *, int, int)
22.8 113041376 127 890089.6 610304.0 8608 2662112 822180.5 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113463488 127 893413.3 623264.0 8672 2664672 825010.3 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113089408 127 890467.8 619456.0 8032 2676320 821190.1 CUDA_KERNEL lud_internal(float *, int, int)
18.9 61614144 127 485150.7 325952.0 3936 2505312 470456.8 CUDA_KERNEL lud_internal(float *, int, int)
20.8 80374304 127 632868.5 449856.0 6368 1880416 578254.3 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113688160 127 895182.4 626976.0 6848 2714464 826465.4 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113704512 127 895311.1 636160.0 8064 2674944 825964.3 CUDA_KERNEL lud_internal(float *, int, int)
23.3 109109408 127 859129.2 587552.0 4928 2668288 844595.9 CUDA_KERNEL lud_internal(float *, int, int)
23.7 118423008 127 932464.6 710528.0 7712 2946464 858908.2 CUDA_KERNEL lud_internal(float *, int, int)
22.9 112627552 127 886831.1 623104.0 8512 2665760 818441.8 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113593664 127 894438.3 659040.0 8512 2683104 824141.7 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113476512 127 893515.8 652352.0 7680 2678368 825653.8 CUDA_KERNEL lud_internal(float *, int, int)
22.6 101279648 127 797477.5 392480.0 5056 2678720 849521.3 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113064864 127 890274.5 615936.0 7936 2676384 822752.0 CUDA_KERNEL lud_internal(float *, int, int)
23.2 109715680 127 863903.0 529792.0 5760 2662016 841516.6 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113093696 127 890501.5 651552.0 7776 2661440 819328.7 CUDA_KERNEL lud_internal(float *, int, int)
