48,0 1.133.399.744 10 113.339.974,0 91.621.552,0 86.704.704 191.900.832 39.930.689,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.281.016.000 10 128.101.600,0 91.612.560,0 86.733.056 218.529.120 60.725.353,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.421.438.560 10 142.143.856,0 128.033.984,0 90.379.680 211.518.368 52.273.023,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.598.709.472 10 159.870.947,0 193.657.568,0 88.758.336 225.411.648 59.515.921,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.658.653.376 10 165.865.337,0 165.903.520,0 87.679.520 218.072.704 46.415.757,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.378.552.256 10 137.855.225,0 106.293.536,0 90.411.072 216.749.952 54.158.554,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.396.903.936 10 139.690.393,0 92.062.336,0 88.758.240 231.858.752 63.474.342,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.319.144.448 10 131.914.444,0 92.012.272,0 90.229.408 220.061.600 54.028.844,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.132.794.336 10 113.279.433,0 91.661.760,0 86.835.488 194.444.224 40.648.046,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.224.397.792 10 122.439.779,0 91.620.368,0 86.897.952 213.419.360 52.097.606,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.281.757.920 10 128.175.792,0 95.354.624,0 90.414.816 197.636.832 46.489.425,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.177.803.008 10 117.780.300,0 91.519.328,0 86.759.424 198.683.168 44.758.323,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.250.360.576 10 125.036.057,0 92.057.552,0 88.815.776 189.181.920 44.903.699,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 944.193.888 10 94.419.388,0 92.190.432,0 86.902.976 116.412.928 8.232.439,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.720.869.600 10 172.086.960,0 167.482.560,0 118.732.576 215.670.336 28.499.585,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 969.484.160 10 96.948.416,0 93.747.696,0 86.912.160 116.234.944 9.349.467,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 948.722.112 10 94.872.211,0 92.157.728,0 86.814.176 118.138.432 8.737.943,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 946.296.640 10 94.629.664,0 92.094.144,0 86.789.888 113.048.480 7.224.670,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 969.287.168 10 96.928.716,0 92.649.568,0 86.986.528 117.490.304 9.615.887,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.685.984.128 10 168.598.412,0 185.475.104,0 93.727.616 217.451.424 41.917.188,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 922.734.400 10 92.273.440,0 91.715.472,0 86.856.608 98.515.712 3.416.519,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.994.157.024 10 199.415.702,0 208.784.336,0 95.579.680 221.842.624 37.495.233,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
