0.2 394016 1 394016.0 394016.0 394016 394016 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 683616 1 683616.0 683616.0 683616 683616 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 686720 1 686720.0 686720.0 686720 686720 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 693472 1 693472.0 693472.0 693472 693472 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 534848 1 534848.0 534848.0 534848 534848 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699328 1 699328.0 699328.0 699328 699328 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.2 406976 1 406976.0 406976.0 406976 406976 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698080 1 698080.0 698080.0 698080 698080 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 702080 1 702080.0 702080.0 702080 702080 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699968 1 699968.0 699968.0 699968 699968 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 694208 1 694208.0 694208.0 694208 694208 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 696032 1 696032.0 696032.0 696032 696032 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698304 1 698304.0 698304.0 698304 698304 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699648 1 699648.0 699648.0 699648 699648 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701504 1 701504.0 701504.0 701504 701504 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 696928 1 696928.0 696928.0 696928 696928 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 677632 1 677632.0 677632.0 677632 677632 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698720 1 698720.0 698720.0 698720 698720 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699488 1 699488.0 699488.0 699488 699488 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703488 1 703488.0 703488.0 703488 703488 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703808 1 703808.0 703808.0 703808 703808 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703104 1 703104.0 703104.0 703104 703104 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 679936 1 679936.0 679936.0 679936 679936 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 702080 1 702080.0 702080.0 702080 702080 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 692096 1 692096.0 692096.0 692096 692096 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 537760 1 537760.0 537760.0 537760 537760 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 682880 1 682880.0 682880.0 682880 682880 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 695872 1 695872.0 695872.0 695872 695872 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 697408 1 697408.0 697408.0 697408 697408 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 531328 1 531328.0 531328.0 531328 531328 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 677888 1 677888.0 677888.0 677888 677888 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 704704 1 704704.0 704704.0 704704 704704 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 695136 1 695136.0 695136.0 695136 695136 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703456 1 703456.0 703456.0 703456 703456 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 702240 1 702240.0 702240.0 702240 702240 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
