0.1 212640 3 70880.0 69792.0 68704 74144 2878.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 215360 3 71786.7 70880.0 69184 75296 3155.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212704 3 70901.3 69856.0 68640 74208 2927.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213120 3 71040.0 70304.0 68704 74112 2778.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214368 3 71456.0 70848.0 68704 74816 3101.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213600 3 71200.0 70240.0 68768 74592 3028.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214848 3 71616.0 70400.0 69056 75392 3338.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213664 3 71221.3 70432.0 68608 74624 3084.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213216 3 71072.0 70016.0 68736 74464 3006.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213504 3 71168.0 69888.0 68768 74848 3235.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 215360 3 71786.7 70784.0 69504 75072 2916.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212992 3 70997.3 69312.0 68672 75008 3488.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212032 3 70677.3 69568.0 68736 73728 2674.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212288 3 70762.7 69792.0 68896 73600 2497.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213632 3 71210.7 70240.0 69216 74176 2618.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212768 3 70922.7 70400.0 68672 73696 2552.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213856 3 71285.3 70112.0 68672 75072 3357.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213792 3 71264.0 70528.0 68800 74464 2902.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212992 3 70997.3 70176.0 68704 74112 2796.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213760 3 71253.3 70432.0 68640 74688 3106.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214272 3 71424.0 70656.0 68672 74944 3205.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212512 3 70837.3 69824.0 68704 73984 2782.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213408 3 71136.0 70016.0 69312 74080 2573.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 111104 3 37034.7 35872.0 35808 39424 2069.5 CUDA_KERNEL lud_perimeter(float *, int, int)
