      0.1           256864          4      64216.0      62880.0      62432      68672       2978.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213472          3      71157.3      70560.0      69248      73664       2267.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29152          3       9717.3       9376.0       8224      11552       1690.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255712          4      63928.0      62304.0      62304      68800       3248.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213696          3      71232.0      70016.0      69472      74208       2591.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29472          3       9824.0       9440.0       8640      11392       1415.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257408          4      64352.0      63056.0      62400      68896       3047.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212640          3      70880.0      69376.0      68768      74496       3146.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29632          3       9877.3       9536.0       8512      11584       1564.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255936          4      63984.0      62752.0      62368      68064       2741.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213728          3      71242.7      70688.0      68768      74272       2793.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28704          3       9568.0       9568.0       8064      11072       1504.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255488          4      63872.0      62720.0      62304      67744       2601.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213280          3      71093.3      70272.0      69312      73696       2304.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28576          3       9525.3       9504.0       8000      11072       1536.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256640          4      64160.0      62704.0      62304      68928       3198.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           211904          3      70634.7      69376.0      68704      73824       2782.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29632          3       9877.3      10016.0       8032      11584       1780.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256032          4      64008.0      62848.0      62336      68000       2700.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212864          3      70954.7      69440.0      68704      74720       3281.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28384          3       9461.3       9312.0       7904      11168       1637.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           131456          4      32864.0      31824.0      31616      36192       2227.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           111040          3      37013.3      35840.0      35712      39488       2144.1  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            17504          3       5834.7       5984.0       4704       6816       1063.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254944          4      63736.0      62400.0      62368      67776       2693.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213536          3      71178.7      70048.0      68640      74848       3254.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29952          3       9984.0       9536.0       8544      11872       1708.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255744          4      63936.0      62848.0      62368      67680       2517.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213344          3      71114.7      70368.0      69408      73568       2178.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28224          3       9408.0       9504.0       7680      11040       1682.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257344          4      64336.0      63216.0      62368      68544       2833.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213184          3      71061.3      70336.0      68736      74112       2760.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29056          3       9685.3       9600.0       7936      11520       1793.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255264          4      63816.0      62736.0      62400      67392       2392.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           211968          3      70656.0      69568.0      68704      73696       2667.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29216          3       9738.7       9632.0       8384      11200       1411.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257056          4      64264.0      63008.0      62400      68640       2933.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212864          3      70954.7      69376.0      69280      74208       2817.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29408          3       9802.7       9568.0       8576      11264       1359.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256288          4      64072.0      62720.0      62304      68544       3001.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213056          3      71018.7      69920.0      68704      74432       3017.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29152          3       9717.3       9440.0       7840      11872       2030.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255712          4      63928.0      62800.0      62304      67808       2624.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213248          3      71082.7      70368.0      68704      74176       2805.1  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            30144          3      10048.0       9536.0       8736      11872       1629.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256480          4      64120.0      63104.0      62304      67968       2592.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214080          3      71360.0      69856.0      68896      75328       3469.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28896          3       9632.0       9568.0       8032      11296       1632.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256384          4      64096.0      63184.0      62304      67712       2447.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212640          3      70880.0      69600.0      68864      74176       2878.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29248          3       9749.3       9632.0       8608      11008       1204.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255936          4      63984.0      62576.0      62272      68512       3025.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213824          3      71274.7      70784.0      68800      74240       2753.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28640          3       9546.7       9920.0       8128      10592       1273.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256416          4      64104.0      62768.0      62304      68576       3010.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           211872          3      70624.0      69600.0      68672      73600       2618.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29376          3       9792.0       9824.0       8096      11456       1680.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255872          4      63968.0      62576.0      62336      68384       2951.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213376          3      71125.3      70880.0      68864      73632       2393.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29088          3       9696.0       9696.0       7616      11776       2080.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256928          4      64232.0      62928.0      62528      68544       2883.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213536          3      71178.7      70400.0      68640      74496       3004.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29984          3       9994.7       9792.0       8544      11648       1561.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255520          4      63880.0      62736.0      62336      67712       2576.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212928          3      70976.0      69984.0      68640      74304       2959.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29696          3       9898.7      10048.0       8576      11072       1254.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255200          4      63800.0      62624.0      62336      67616       2554.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212832          3      70944.0      69920.0      68704      74208       2891.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28928          3       9642.7       9344.0       7904      11680       1905.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256672          4      64168.0      62896.0      62368      68512       2908.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213760          3      71253.3      69920.0      69344      74496       2823.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29152          3       9717.3       9344.0       8704      11104       1242.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254912          4      63728.0      62368.0      62272      67904       2784.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214368          3      71456.0      71232.0      69120      74016       2455.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29152          3       9717.3       9536.0       7840      11776       1974.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           191840          4      47960.0      47104.0      46784      50848       1932.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           159712          3      53237.3      52416.0      51584      55712       2183.1  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            21280          3       7093.3       7424.0       6336       7520        657.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256320          4      64080.0      62768.0      62304      68480       2962.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213152          3      71050.7      69824.0      68736      74592       3114.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
