     16,0      836.047.136      3.900     214.371,0  210.112,0   174.528      303.232      30.190,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      7,0      703.563.168      3.900     180.400,0  178.496,0   171.776      221.504       5.987,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      8,0      762.239.008      3.900     195.445,0  205.840,0   171.424    2.191.648      36.531,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     22,0    1.096.368.576      3.900     281.120,0  260.400,0   174.720      414.816      58.703,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.248.019.520      3.900     320.005,0  346.048,0   254.240      413.216      44.138,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.150.878.240      3.900     295.097,0  264.576,0   222.912      413.600      44.554,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      693.207.008      3.900     177.745,0  175.520,0   171.808      218.080       5.524,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      7,0      703.381.696      3.900     180.354,0  178.720,0   171.776      218.848       5.943,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     15,0      724.524.544      3.900     185.775,0  176.064,0   171.808      235.776      15.349,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0    1.062.028.224      3.900     272.314,0  260.192,0   174.880      415.584      73.741,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     21,0      710.050.656      3.900     182.064,0  176.064,0   171.840      285.472      13.012,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.179.796.544      3.900     302.511,0  268.352,0   254.400      413.216      45.682,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      8,0      760.314.752      3.900     194.952,0  206.352,0   171.616      239.328      17.657,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0    1.149.736.128      3.900     294.804,0  264.544,0   254.208      410.400       44.318,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.174.505.088      3.900     301.155,0  266.304,0   254.144      410.368       45.459,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.155.821.920      3.900     296.364,0  264.752,0   254.240      405.920      44.625,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     11,0      726.613.344      3.900     186.311,0  176.544,0   171.744      239.072      16.020,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      752.582.592      3.900     192.969,0  178.816,0   171.328      404.448      30.881,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      732.101.536      3.900     187.718,0  179.008,0   171.328    3.087.456      48.556,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      693.254.720      3.900     177.757,0  175.680,0   171.648      219.136       5.484,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      797.122.336      3.900     204.390,0  210.048,0   171.424      263.040      17.231,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      8,0      701.459.744      3.900     179.861,0  178.496,0   174.432      236.352       5.881,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      711.117.120      3.900     182.337,0  176.288,0   171.552      257.408      13.844,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.162.738.560      3.900     298.138,0  265.312,0   254.400      410.048      45.040,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     13,0      711.057.248      3.900     182.322,0  178.272,0   171.648      303.328      16.608,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      735.403.296      3.900     188.564,0  179.296,0   175.680      875.104      17.805,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     29,0      809.003.392      3.900     207.436,0  184.224,0   171.872      414.880      48.920,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      802.255.104      3.900     205.706,0  209.440,0   171.840      239.232      14.160,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.209.138.368      3.900     310.035,0  345.760,0   254.272      406.880      45.766,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      819.315.040      3.900     210.080,0  208.800,0   175.360      240.192       6.262,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      4,0      706.883.904      3.900     181.252,0  178.784,0   174.816      252.800       6.502,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.106.849.856      3.900     283.807,0  259.936,0   205.856      414.784      45.049,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      703.869.152      3.900     180.479,0  178.848,0   172.000      222.624       6.098,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.962.016      3.900     177.939,0  175.712,0   171.648      216.064       5.526,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      4,0      704.742.208      3.900     180.703,0  178.848,0   171.456      220.672       5.957,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      861.963.296      3.900     221.016,0  210.880,0   184.896      304.320      18.978,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.684.864      3.900     177.867,0  175.680,0   171.968      230.656       5.568,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      764.603.072      3.900     196.052,0  206.496,0   171.904      240.992      18.121,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      693.860.000      3.900     177.912,0  175.712,0   171.872      220.864       5.553,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      4,0      831.209.824      3.900     213.130,0    210.528,0   203.584    1.756.128      25.993,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      919.258.656      3.900     235.707,0  210.240,0   171.776      416.544      70.526,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      826.631.392      3.900     211.956,0  210.720,0   202.688      242.848       6.336,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.155.345.728      3.900     296.242,0  264.624,0   254.016      410.656       44.642,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     30,0      693.844.704      3.900     177.908,0  175.680,0   171.936      219.936       5.554,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      705.590.176      3.900     180.920,0  178.880,0   171.712      232.064       5.990,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0    1.141.663.840      3.900     292.734,0  264.160,0   253.920      407.744      43.741,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.164.100.544      3.900     298.487,0  265.344,0   253.984      414.016      45.058,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0    1.136.493.056      3.900     291.408,0  262.112,0   254.176      407.904      43.355,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      693.623.968      3.900     177.852,0  175.680,0   171.872      215.264       5.502,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      888.027.584      3.900     227.699,0  210.048,0   171.968      415.264      68.199,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     23,0      695.016.352      3.900     178.209,0  175.872,0   172.000      210.400       5.712,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      944.989.824      3.900     242.305,0  217.504,0   171.968      410.176      71.647,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.219.442.784      3.900     312.677,0  345.888,0   254.208      404.224       45.479,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.150.062.016      3.900     294.887,0  264.576,0   254.240      403.904      44.320,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.269.481.792      3.900     325.508,0  346.048,0   253.536      411.776      42.099,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     10,0      717.330.048      3.900     183.930,0  178.592,0   172.320      239.744      13.644,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     12,0      698.563.232      3.900     179.118,0  178.304,0   174.944      219.072       5.799,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0      693.259.840      3.900     177.758,0  175.744,0   171.840      220.512       5.469,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0    1.162.477.376      3.900     298.071,0  265.248,0   224.864      412.768       45.202,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      7,0      774.975.584      3.900     198.711,0  206.688,0   171.744    1.526.752      27.405,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     10,0    1.029.988.608      3.900     264.099,0  203.104,0   175.296    1.523.968      88.173,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      940.667.392      3.900     241.196,0  186.144,0   171.584      418.144      79.223,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      778.794.720      3.900     199.691,0  178.720,0   175.232      887.456      54.851,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      736.719.040      3.900     188.902,0  179.136,0   171.648      244.544      16.632,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      704.790.816      3.900     180.715,0  178.624,0   172.032      224.128       5.990,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      8,0      754.146.624      3.900     193.370,0  181.648,0   171.424    2.375.328      39.554,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     12,0    1.107.739.040      3.900     284.035,0  345.888,0   174.656    1.503.552      86.143,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      978.533.056      3.900     250.905,0  233.712,0   172.224      413.216      76.034,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     37,0    1.181.053.376      3.900     302.834,0  268.800,0   254.272      419.328      45.762,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.159.011.168      3.900     297.182,0  264.992,0   253.952      403.968       44.759,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.149.119.136      3.900     294.645,0  264.544,0   253.856      416.992      44.325,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.128.224.544      3.900     289.288,0  260.608,0   254.112      416.576      42.253,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      767.539.168      3.900     196.804,0  176.160,0   171.968      409.056      45.835,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     28,0      694.275.424      3.900     178.019,0  175.712,0   172.096      219.328       5.695,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      811.832.864      3.900     208.162,0  207.872,0   174.464    3.064.544      46.963,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0    1.152.873.376      3.900     295.608,0  264.928,0   178.400      413.856      47.666,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0    1.206.605.344      3.900     309.386,0  345.792,0   254.016      412.384      45.752,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      771.567.200      3.900     197.837,0  178.400,0   171.296      409.184      50.232,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      4,0      708.292.768      3.900     181.613,0  178.560,0   174.560    1.535.904      22.851,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     31,0      693.727.040      3.900     177.878,0  175.680,0   171.552      218.432       5.553,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      704.608.256      3.900     180.668,0  178.784,0   171.776      222.048       5.983,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      763.874.240      3.900     195.865,0  203.952,0   171.776      245.824      18.814,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      703.800.672      3.900     180.461,0  178.496,0   171.808      234.656       6.488,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      717.146.336      3.900     183.883,0  178.784,0   171.872      239.488      11.740,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.508.640      3.900     177.822,0  175.616,0   171.680      221.920       5.538,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     23,0      694.717.888      3.900     178.132,0  175.712,0   172.000      217.952       5.734,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.156.148.608      3.900     296.448,0  264.608,0   253.920      411.872      44.630,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.242.976      3.900     177.754,0  175.552,0   171.808      221.504       5.532,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     24,0      694.859.232      3.900     178.169,0  175.744,0   171.808      220.384       5.722,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      762.822.496      3.900     195.595,0  206.320,0   171.648      239.744      17.685,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     27,0      694.834.528      3.900     178.162,0  175.840,0   172.448      221.216       5.773,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      774.787.968      3.900     198.663,0  208.000,0   172.480      238.400      16.544,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      7,0      702.459.776      3.900     180.117,0  178.528,0   175.008      230.528       5.866,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      793.052.480      3.900     203.346,0  179.072,0   171.968      304.384      39.159,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      759.426.720      3.900     194.724,0  178.912,0   174.944      448.096      47.166,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      744.834.624      3.900     190.983,0  179.488,0   171.776      260.704      18.289,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.100.854.080      3.900     282.270,0  259.840,0   211.968      410.720      55.697,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      806.222.976      3.900     206.723,0  177.776,0   171.712      418.464      61.358,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     26,0      852.385.920      3.900     218.560,0  180.320,0   172.128      874.304      69.307,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.123.407.008      3.900     288.053,0  260.416,0   254.176      416.736      41.751,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.171.337.248      3.900     300.342,0  265.616,0   253.536      415.424      45.387,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      9,0      768.368.480      3.900     197.017,0  206.304,0   171.744      238.720      16.778,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.073.728.416      3.900     275.315,0  259.712,0   205.760      414.272      55.543,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      818.126.144      3.900     209.775,0  208.384,0   171.872    2.404.704      36.151,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.224.734.176      3.900     314.034,0  345.856,0   254.112      406.240       45.322,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      811.309.600      3.900     208.028,0  206.752,0   172.288      404.224       34.399,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.148.171.648      3.900     294.403,0  264.544,0   253.952      404.000       44.210,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.206.781.920      3.900     309.431,0  345.760,0   254.176      417.504      45.739,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     10,0      726.196.960      3.900     186.204,0  178.592,0   171.520      243.296      16.003,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      9,0      833.149.856      3.900     213.628,0  182.496,0   174.432      415.648      61.753,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      749.788.224      3.900     192.253,0  181.088,0   172.096      254.784      19.145,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     12,0    1.030.958.528      3.900     264.348,0  259.552,0   174.784      875.040      73.906,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0      989.678.912      3.900     253.763,0  229.712,0   171.776      412.096      68.884,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.130.323.904      3.900     289.826,0  261.632,0   209.344      416.096      52.026,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      693.776.736      3.900     177.891,0  175.776,0   171.456      219.712       5.507,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      753.102.688      3.900     193.103,0  178.848,0   171.776      413.792      35.277,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.426.336      3.900     177.801,0  175.616,0   172.000      208.320       5.491,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      767.217.280      3.900     196.722,0  206.656,0   171.968      244.544      18.908,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      692.992.672      3.900     177.690,0  175.456,0   172.064      219.648       5.520,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      763.972.832      3.900     195.890,0  201.072,0   172.384      239.328      16.771,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      9,0      700.405.952      3.900     179.591,0  178.432,0   171.392      226.816       6.040,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.396.032      3.900     177.793,0  175.584,0   171.968      220.192       5.541,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      820.964.192      3.900     210.503,0  179.040,0   174.720    2.254.144      72.376,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      818.397.632      3.900     209.845,0  207.616,0   177.248      240.896       5.897,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      8,0      798.853.024      3.900     204.834,0  180.256,0   173.408    2.854.560      64.085,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      814.637.280      3.900     208.881,0  208.624,0   175.008      239.488       9.004,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.140.359.520      3.900     292.399,0  263.040,0   254.080      407.200      43.627,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      694.055.008      3.900     177.962,0  175.776,0   171.872      215.744       5.569,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
