37,0 113.744.448 127 895.625,0 646.272,0 6.848 2.687.616 827.196,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.946.912 127 889.345,0 600.512,0 6.656 2.667.808 826.306,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.895.744 127 841.698,0 457.984,0 5.056 2.657.408 842.703,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.843.264 127 896.403,0 632.576,0 7.680 2.696.128 828.582,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.075.968 127 819.495,0 401.760,0 4.992 2.713.600 846.862,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.445.344 127 877.522,0 587.520,0 5.600 2.709.536 829.377,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.957.792 127 850.061,0 615.008,0 4.992 2.671.040 844.505,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.767.616 127 840.689,0 449.856,0 4.832 2.663.936 846.021,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.993.248 127 897.584,0 632.832,0 8.448 2.715.168 826.110,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.954.656 127 889.406,0 599.680,0 6.624 2.676.352 827.426,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 110.381.664 127 869.147,0 615.136,0 5.344 2.675.616 830.026,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.443.200 127 893.253,0 634.944,0 7.104 2.698.624 825.962,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 102.570.848 127 807.644,0 406.112,0 4.672 2.682.752 846.583,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.697.920 127 895.259,0 599.552,0 6.816 2.696.160 828.613,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.224.864 127 883.660,0 603.648,0 6.848 2.704.768 826.982,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.648.800 127 824.006,0 488.192,0 4.992 2.694.976 846.854,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.756.416 127 887.845,0 606.560,0 7.200 2.702.496 828.803,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.109.920 127 874.881,0 586.848,0 5.184 2.699.872 828.499,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.069.920 127 890.314,0 608.736,0 6.688 2.664.800 826.362,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.567.968 127 894.236,0 630.272,0 6.752 2.670.112 826.729,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.722.528 127 840.334,0 467.072,0 4.864 2.685.984 844.285,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.751.776 127 895.683,0 638.048,0 6.688 2.695.680 829.287,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.932.480 127 834.114,0 459.072,0 4.864 2.705.664 843.731,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.322.144 127 884.426,0 614.400,0 6.880 2.685.344 824.352,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.240.544 127 836.539,0 465.664,0 4.768 2.662.784 843.240,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.182.880 127 859.707,0 604.672,0 5.088 2.703.648 840.456,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.593.536 127 894.437,0 637.024,0 8.576 2.645.856 824.613,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.839.424 127 888.499,0 610.592,0 5.472 2.694.272 829.843,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 102.054.208 127 803.576,0 383.424,0 4.832 2.674.464 841.449,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.205.664 127 820.517,0 406.272,0 5.056 2.698.464 840.668,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.716.480 127 879.657,0 592.544,0 5.344 2.702.816 830.951,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.687.264 127 879.427,0 627.424,0 5.568 2.677.920 825.403,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 110.416.992 127 869.425,0 597.376,0 5.600 2.686.368 833.484,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.594.336 127 886.569,0 609.568,0 6.624 2.693.856 827.663,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.157.504 127 875.255,0 609.536,0 5.280 2.672.480 827.105,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.162.976 127 859.551,0 596.096,0 5.024 2.684.096 839.677,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.274.400 127 891.924,0 634.272,0 6.816 2.661.088 824.736,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.887.104 127 833.756,0 448.960,0 4.800 2.678.656 845.004,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.081.472 127 843.161,0 469.056,0 6.368 2.705.248 839.871,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.657.440 127 894.940,0 639.136,0 8.640 2.685.888 824.089,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.791.968 127 880.251,0 595.584,0 5.536 2.651.840 825.644,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.393.600 127 884.989,0 620.224,0 7.008 2.689.504 826.525,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.518.912 127 830.857,0 489.728,0 4.864 2.673.536 838.064,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.776.896 127 888.007,0 605.504,0 6.912 2.691.744 828.249,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.342.848 127 892.463,0 592.864,0 6.752 2.677.312 827.293,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.692.160 127 879.465,0 601.280,0 5.376 2.648.448 825.941,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.108.736 127 835.501,0 445.792,0 4.800 2.641.984 843.019,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.533.088 127 893.961,0 628.288,0 8.032 2.688.768 823.337,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 114.035.712 127 897.919,0 635.232,0 7.808 2.705.280 827.588,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.587.808 127 894.392,0 659.136,0 7.904 2.703.104 826.233,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.027.712 127 850.611,0 597.280,0 5.152 2.662.816 842.827,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.370.272 127 853.309,0 594.912,0 4.992 2.678.784 844.251,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.744.288 127 856.254,0 595.040,0 4.928 2.658.240 841.414,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.383.296 127 845.537,0 456.480,0 4.992 2.667.552 846.782,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.828.288 127 888.411,0 612.576,0 7.104 2.670.944 826.982,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.692.544 127 895.216,0 623.520,0 7.872 2.720.800 827.636,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.632.416 127 894.743,0 637.600,0 6.976 2.658.304 825.834,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.358.112 127 892.583,0 633.088,0 6.880 2.691.904 825.808,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.663.072 127 894.984,0 655.296,0 7.872 2.693.280 825.486,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.180.256 127 843.939,0 461.472,0 5.088 2.711.328 850.674,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.343.872 127 884.597,0 609.088,0 7.200 2.687.616 825.072,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.796.032 127 896.031,0 637.344,0 6.784 2.693.856 826.775,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.142.496 127 890.885,0 644.928,0 8.448 2.667.776 821.564,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.308.256 127 892.191,0 622.368,0 7.904 2.675.680 824.206,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.629.600 127 886.847,0 595.456,0 6.912 2.654.816 825.060,0 CUDA_KERNEL lud_internal(float *, int, int)
