2,0 7.334.816 128 57.303,0 65.056,0 38.560 71.456 12.620,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.309.760 128 49.295,0 41.488,0 38.016 71.488 13.130,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.393.056 128 65.570,0 67.552,0 62.240 71.328 2.705,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.535.296 128 51.057,0 42.672,0 37.984 70.784 13.723,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.043.072 128 55.024,0 65.712,0 38.112 71.552 13.908,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.236.928 128 48.726,0 41.424,0 37.440 70.336 13.426,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.730.752 128 52.584,0 42.960,0 39.808 71.520 13.273,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.314.016 128 64.953,0 65.904,0 61.248 71.456 3.056,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.288.736 128 64.755,0 65.104,0 61.248 70.496 2.822,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.416.960 128 65.757,0 66.864,0 62.272 71.616 2.635,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.681.600 128 52.200,0 42.224,0 37.920 70.400 13.913,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.503.264 128 50.806,0 43.408,0 37.376 71.232 13.922,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.382.656 128 65.489,0 66.640,0 61.248 71.456 2.577,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.797.216 128 53.103,0 47.184,0 38.016 71.264 14.164,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.659.232 128 59.837,0 65.472,0 38.912 71.392 11.090,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.361.600 128 65.325,0 67.280,0 61.216 70.720 3.059,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.303.808 128 64.873,0 65.344,0 61.184 71.264 3.010,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.827.104 128 53.336,0 43.856,0 39.552 71.360 13.303,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.400.448 128 65.628,0 67.504,0 62.240 70.496 2.813,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.566.752 128 51.302,0 42.448,0 39.392 73.312 12.833,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.670.880 128 59.928,0 66.016,0 40.064 70.752 10.985,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.941.440 128 54.230,0 65.856,0 39.840 71.648 13.333,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.755.712 128 52.779,0 41.472,0 38.528 71.328 13.971,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.403.232 128 65.650,0 65.312,0 62.304 71.648 2.633,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.297.728 128 64.826,0 64.976,0 61.184 70.720 3.221,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.370.912 128 57.585,0 65.936,0 38.592 71.424 12.769,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.351.744 128 65.248,0 67.424,0 61.184 71.456 3.291,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.314.528 128 49.332,0 42.400,0 37.408 70.656 13.642,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.344.064 128 65.188,0 65.952,0 61.248 70.464 3.033,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.293.984 128 64.796,0 65.536,0 61.216 70.944 2.969,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.505.952 128 50.827,0 42.368,0 38.144 70.848 13.607,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.291.584 128 64.778,0 66.016,0 61.152 71.200 2.964,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.573.632 128 59.169,0 65.472,0 38.656 71.424 11.600,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.308.640 128 64.911,0 63.712,0 61.216 70.944 3.170,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.311.776 128 64.935,0 65.328,0 61.216 70.944 3.074,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.788.384 128 53.034,0 43.888,0 38.080 71.680 14.065,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.339.360 128 65.151,0 67.168,0 61.184 71.456 3.114,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.704.640 128 52.380,0 42.976,0 37.984 71.264 13.914,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.295.264 128 64.806,0 65.472,0 61.216 71.456 3.082,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.744.480 128 52.691,0 43.024,0 38.368 70.944 14.062,0 CUDA_KERNEL lud_diagonal(float *, int, int)
