4,0 14.682.656 127 115.611,0 108.000,0 69.632 203.968 38.705,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.251.808 127 96.470,0 68.576,0 42.752 206.624 52.056,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.060.640 127 102.839,0 106.112,0 43.808 205.440 51.036,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 11.702.560 127 92.146,0 67.392,0 42.080 205.280 51.940,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.564.992 127 98.936,0 71.744,0 44.320 204.192 51.359,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.580.736 127 114.808,0 105.696,0 68.320 205.472 39.345,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.569.888 127 114.723,0 107.168,0 67.584 204.800 39.183,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.683.776 127 115.620,0 107.552,0 69.408 204.544 38.810,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.480.224 127 98.269,0 68.320,0 43.232 204.448 52.233,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.212.640 127 96.162,0 69.952,0 41.984 204.544 52.634,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.689.152 127 115.662,0 108.480,0 67.840 204.864 38.768,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.684.736 127 99.879,0 70.976,0 43.616 204.480 51.919,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.862.048 127 109.150,0 106.016,0 44.992 204.256 46.423,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.637.632 127 115.256,0 108.000,0 68.384 203.776 39.112,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.569.952 127 114.724,0 105.440,0 67.616 204.448 39.273,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.689.920 127 99.920,0 71.680,0 44.992 204.128 51.325,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.678.720 127 115.580,0 107.360,0 68.704 204.096 38.728,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.176.544 127 95.878,0 70.336,0 44.704 205.408 51.022,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.877.216 127 109.269,0 106.272,0 44.608 205.248 46.016,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.949.344 127 101.963,0 105.472,0 45.216 203.136 50.649,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.651.232 127 99.616,0 69.408,0 43.840 203.328 51.902,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.673.408 127 115.538,0 107.200,0 69.216 203.968 38.779,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.588.992 127 114.874,0 105.536,0 68.096 204.960 39.355,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.553.216 127 106.718,0 106.752,0 44.032 204.576 48.649,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.625.184 127 115.158,0 106.976,0 68.320 203.936 39.367,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 11.833.664 127 93.178,0 71.104,0 41.600 207.360 52.126,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.594.304 127 114.915,0 105.696,0 68.352 205.056 39.226,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.558.880 127 114.636,0 106.016,0 67.840 204.672 39.314,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.181.120 127 95.914,0 69.344,0 42.912 204.416 51.870,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.576.736 127 114.777,0 106.368,0 67.808 203.008 39.317,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.798.400 127 108.648,0 106.656,0 43.840 203.712 46.580,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.577.984 127 114.787,0 105.568,0 68.224 204.992 39.302,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.601.952 127 114.976,0 107.232,0 67.904 206.112 39.407,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.688.640 127 99.910,0 70.016,0 43.776 204.256 51.926,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.614.272 127 115.073,0 108.384,0 68.288 204.576 39.236,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.577.920 127 99.038,0 70.112,0 43.808 204.640 51.972,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.576.992 127 114.779,0 106.784,0 68.320 204.576 39.349,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.681.600 127 99.855,0 75.232,0 42.880 205.856 51.890,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.153.472 127 103.570,0 106.016,0 43.040 204.544 50.510,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.675.424 127 115.554,0 107.616,0 68.832 204.768 38.789,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.367.616 127 113.130,0 105.216,0 43.296 204.160 41.417,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 11.871.712 127 93.478,0 66.368,0 43.136 205.152 51.595,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.262.144 127 96.552,0 69.600,0 44.992 203.584 51.035,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.855.232 127 109.096,0 105.376,0 44.544 204.416 46.085,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.100.256 127 111.025,0 106.240,0 44.672 204.224 43.847,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.524.800 127 106.494,0 106.944,0 44.448 203.616 48.605,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.557.056 127 114.622,0 105.152,0 68.064 204.480 39.179,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.713.728 127 107.982,0 105.408,0 43.360 204.128 47.517,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.172.256 127 103.718,0 105.152,0 43.744 205.952 50.568,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.607.904 127 115.022,0 108.288,0 67.808 204.480 39.342,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.438.656 127 97.942,0 70.080,0 43.264 203.840 52.133,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.954.176 127 102.001,0 79.968,0 51.904 204.192 47.455,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.688.832 127 115.660,0 106.976,0 68.768 203.840 38.717,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.142.720 127 111.360,0 104.832,0 43.168 204.384 43.992,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.564.320 127 114.679,0 106.240,0 67.680 204.544 39.442,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.611.392 127 99.302,0 72.704,0 44.320 204.832 51.366,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.581.152 127 114.812,0 106.464,0 68.384 204.160 39.333,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.583.456 127 114.830,0 105.120,0 68.256 203.840 39.352,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.959.840 127 109.920,0 105.632,0 44.768 203.872 45.536,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.498.624 127 98.414,0 68.736,0 43.104 205.504 52.058,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.692.096 127 115.685,0 107.040,0 69.440 204.320 38.673,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.691.360 127 115.680,0 106.624,0 68.704 206.944 38.773,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.675.328 127 115.553,0 108.160,0 68.704 203.872 38.886,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.948.608 127 101.957,0 105.184,0 44.320 205.376 50.979,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.963.712 127 102.076,0 105.248,0 42.560 204.608 51.288,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.008.800 127 102.431,0 105.120,0 43.072 204.928 51.288,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.695.264 127 99.962,0 69.952,0 43.520 202.944 51.992,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.562.816 127 114.667,0 106.432,0 67.552 205.600 39.378,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.688.736 127 115.659,0 107.488,0 68.768 205.088 38.842,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.622.528 127 115.138,0 107.584,0 67.680 203.904 39.350,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.640.736 127 115.281,0 107.552,0 68.384 204.416 39.359,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.694.112 127 115.701,0 108.704,0 68.736 206.368 38.933,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.598.688 127 99.202,0 72.384,0 44.480 204.640 51.422,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.566.336 127 114.695,0 105.312,0 68.000 205.152 39.311,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.613.856 127 115.069,0 107.616,0 67.744 204.608 39.297,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.676.416 127 115.562,0 107.936,0 68.736 204.384 38.799,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.688.832 127 115.660,0 107.424,0 68.672 204.672 38.741,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.571.232 127 114.734,0 105.600,0 67.584 204.416 39.307,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.599.872 127 114.959,0 106.816,0 67.712 203.968 39.420,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.496.384 127 114.144,0 105.792,0 43.552 204.736 40.167,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.693.728 127 115.698,0 108.128,0 68.000 203.712 38.904,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.614.688 127 115.076,0 107.712,0 68.128 204.128 39.395,0 CUDA_KERNEL lud_perimeter(float *, int, int)
