7,0 17.609.280 200 88.046,0 78.384,0 22.592 176.064 63.352,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 20.831.680 200 104.158,0 83.984,0 22.624 235.424 79.125,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.035.264 200 105.176,0 91.360,0 25.056 234.880 78.562,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 15.477.344 200 77.386,0 82.160,0 22.592 232.896 55.538,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.132.320 200 120.661,0 96.960,0 27.296 234.752 88.317,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.577.120 200 122.885,0 97.360,0 27.680 234.720 89.044,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 20.702.112 200 103.510,0 102.944,0 32.064 175.872 71.311,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.045.664 200 115.228,0 83.872,0 22.432 234.816 82.462,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.880.224 200 89.401,0 77.728,0 22.464 175.328 64.256,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.426.912 200 122.134,0 96.656,0 27.200 235.456 89.169,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.414.976 200 87.074,0 78.576,0 22.624 175.488 62.708,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.863.840 200 119.319,0 91.424,0 25.248 233.856 87.066,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 25.932.448 200 129.662,0 97.424,0 27.392 235.104 92.386,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 27.084.288 200 135.421,0 99.088,0 28.960 236.736 93.319,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.698.624 200 123.493,0 96.416,0 27.392 234.976 89.379,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.917.280 200 114.586,0 91.344,0 25.280 235.168 84.718,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.118.880 200 110.594,0 83.856,0 22.624 235.072 82.197,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 19.848.640 200 99.243,0 83.856,0 22.560 234.720 75.408,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.924.608 200 109.623,0 91.792,0 25.728 234.880 81.490,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.006.720 200 110.033,0 96.576,0 27.168 234.848 81.617,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 21.642.208 200 108.211,0 96.368,0 27.392 234.624 80.164,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.903.552 200 129.517,0 99.184,0 27.264 236.192 91.926,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 25.004.064 200 125.020,0 97.072,0 27.104 235.136 90.440,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 21.032.224 200 105.161,0 83.872,0 22.560 235.136 78.895,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.120.672 200 115.603,0 97.472,0 27.200 236.224 84.725,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.279.072 200 116.395,0 85.024,0 22.624 235.136 85.840,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 19.505.088 200 97.525,0 84.416,0 22.016 241.632 75.402,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.815.200 200 134.076,0 97.792,0 27.520 235.520 94.012,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.896.544 200 109.482,0 92.528,0 25.856 235.008 81.474,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.041.824 200 90.209,0 79.568,0 22.400 178.432 64.692,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.312.704 200 106.563,0 83.984,0 22.464 234.976 80.435,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
