1,0 2.827.904 1 2.827.904,0 2.827.904,0 2.827.904 2.827.904 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.792 1 2.829.792,0 2.829.792,0 2.829.792 2.829.792 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.408 1 2.829.408,0 2.829.408,0 2.829.408 2.829.408 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.216 1 2.829.216,0 2.829.216,0 2.829.216 2.829.216 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.328 1 2.831.328,0 2.831.328,0 2.831.328 2.831.328 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.832.032 1 2.832.032,0 2.832.032,0 2.832.032 2.832.032 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.288 1 2.828.288,0 2.828.288,0 2.828.288 2.828.288 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.800 1 2.828.800,0 2.828.800,0 2.828.800 2.828.800 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.984 1 2.829.984,0 2.829.984,0 2.829.984 2.829.984 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.328 1 2.831.328,0 2.831.328,0 2.831.328 2.831.328 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.400 1 2.830.400,0 2.830.400,0 2.830.400 2.830.400 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.232 1 2.831.232,0 2.831.232,0 2.831.232 2.831.232 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.825.696 1 2.825.696,0 2.825.696,0 2.825.696 2.825.696 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.840 1 2.827.840,0 2.827.840,0 2.827.840 2.827.840 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.408 1 2.829.408,0 2.829.408,0 2.829.408 2.829.408 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.832 1 2.828.832,0 2.828.832,0 2.828.832 2.828.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.712 1 2.827.712,0 2.827.712,0 2.827.712 2.827.712 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
