  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd   Device   Ctx  Strm                Name              
 -------------  -------------  ------  ----  ----  ----  ----  ----  ----  -------  ------------  ------------  ----------  -----------------  --------  --------  --------  ---  ----  --------------------------------
 1.839.638.784         45.184     220     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.839.688.992         96.224     221    89     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.839.790.240      1.056.768     222    89    89     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.840.849.952         42.624     223     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.840.895.296         85.728     224    88     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.840.985.088        817.408     225    88    88     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.841.807.520         43.648     226     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.841.855.552         88.192     227    87     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.841.946.848        829.408     228    87    87     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.842.781.632         43.200     229     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.842.828.672         87.840     230    86     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.842.923.040        781.408     231    86    86     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.843.709.504         43.232     232     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.843.757.216         86.560     233    85     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.843.846.464        784.736     234    85    85     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.844.636.544         42.848     235     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.844.683.488         87.584     236    84     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.844.774.368        759.040     237    84    84     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.845.539.808         43.104     238     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
