 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)     GridXYZ         BlockXYZ                   Name              
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  --------------  --------------  --------------------------------
      0,0          322.464          1    322.464,0    322.464,0    322.464    322.464          0,0    58   58    1    16   16    1  lud_internal(float *, int, int) 
      0,0          320.992          1    320.992,0    320.992,0    320.992    320.992          0,0    59   59    1    16   16    1  lud_internal(float *, int, int) 
      0,0          303.424          1    303.424,0    303.424,0    303.424    303.424          0,0    57   57    1    16   16    1  lud_internal(float *, int, int) 
      0,0          290.752          1    290.752,0    290.752,0    290.752    290.752          0,0    56   56    1    16   16    1  lud_internal(float *, int, int) 
      0,0          275.840          1    275.840,0    275.840,0    275.840    275.840          0,0    55   55    1    16   16    1  lud_internal(float *, int, int) 
      0,0          262.688          1    262.688,0    262.688,0    262.688    262.688          0,0    54   54    1    16   16    1  lud_internal(float *, int, int) 
      0,0          250.720          1    250.720,0    250.720,0    250.720    250.720          0,0    53   53    1    16   16    1  lud_internal(float *, int, int) 
      0,0          239.584          1    239.584,0    239.584,0    239.584    239.584          0,0    52   52    1    16   16    1  lud_internal(float *, int, int) 
      0,0          230.688          1    230.688,0    230.688,0    230.688    230.688          0,0    51   51    1    16   16    1  lud_internal(float *, int, int) 
      0,0          223.168          1    223.168,0    223.168,0    223.168    223.168          0,0    50   50    1    16   16    1  lud_internal(float *, int, int) 
      0,0          214.112          1    214.112,0    214.112,0    214.112    214.112          0,0    49   49    1    16   16    1  lud_internal(float *, int, int) 
      0,0          206.400          1    206.400,0    206.400,0    206.400    206.400          0,0   127    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          204.480          1    204.480,0    204.480,0    204.480    204.480          0,0    48   48    1    16   16    1  lud_internal(float *, int, int) 
      0,0          196.992          1    196.992,0    196.992,0    196.992    196.992          0,0    47   47    1    16   16    1  lud_internal(float *, int, int) 
      0,0          189.440          1    189.440,0    189.440,0    189.440    189.440          0,0    46   46    1    16   16    1  lud_internal(float *, int, int) 
      0,0          183.168          1    183.168,0    183.168,0    183.168    183.168          0,0   124    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          182.912          1    182.912,0    182.912,0    182.912    182.912          0,0   123    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          182.592          1    182.592,0    182.592,0    182.592    182.592          0,0   125    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          182.336          1    182.336,0    182.336,0    182.336    182.336          0,0   122    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          181.728          1    181.728,0    181.728,0    181.728    181.728          0,0   126    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          181.440          1    181.440,0    181.440,0    181.440    181.440          0,0   121    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          181.376          1    181.376,0    181.376,0    181.376    181.376          0,0    45   45    1    16   16    1  lud_internal(float *, int, int) 
      0,0          175.264          1    175.264,0    175.264,0    175.264    175.264          0,0   116    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          174.752          1    174.752,0    174.752,0    174.752    174.752          0,0   117    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          174.496          1    174.496,0    174.496,0    174.496    174.496          0,0   113    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          174.336          1    174.336,0    174.336,0    174.336    174.336          0,0   118    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          174.304          1    174.304,0    174.304,0    174.304    174.304          0,0   119    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          174.112          1    174.112,0    174.112,0    174.112    174.112          0,0    44   44    1    16   16    1  lud_internal(float *, int, int) 
      0,0          174.016          1    174.016,0    174.016,0    174.016    174.016          0,0   115    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          173.856          1    173.856,0    173.856,0    173.856    173.856          0,0   114    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          173.824          1    173.824,0    173.824,0    173.824    173.824          0,0   120    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          166.688          1    166.688,0    166.688,0    166.688    166.688          0,0   110    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          165.792          1    165.792,0    165.792,0    165.792    165.792          0,0    43   43    1    16   16    1  lud_internal(float *, int, int) 
      0,0          165.344          1    165.344,0    165.344,0    165.344    165.344          0,0   106    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          164.800          1    164.800,0    164.800,0    164.800    164.800          0,0   112    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          164.768          1    164.768,0    164.768,0    164.768    164.768          0,0   109    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          164.512          1    164.512,0    164.512,0    164.512    164.512          0,0   107    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          164.512          1    164.512,0    164.512,0    164.512    164.512          0,0   108    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          164.192          1    164.192,0    164.192,0    164.192    164.192          0,0   111    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          163.392          1    163.392,0    163.392,0    163.392    163.392          0,0   105    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          158.208          1    158.208,0    158.208,0    158.208    158.208          0,0    42   42    1    16   16    1  lud_internal(float *, int, int) 
      0,0          156.736          1    156.736,0    156.736,0    156.736    156.736          0,0    99    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          156.032          1    156.032,0    156.032,0    156.032    156.032          0,0    98    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          155.776          1    155.776,0    155.776,0    155.776    155.776          0,0    97    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          155.520          1    155.520,0    155.520,0    155.520    155.520          0,0   100    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          155.520          1    155.520,0    155.520,0    155.520    155.520          0,0   102    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          154.848          1    154.848,0    154.848,0    154.848    154.848          0,0   101    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          154.848          1    154.848,0    154.848,0    154.848    154.848          0,0   104    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          154.816          1    154.816,0    154.816,0    154.816    154.816          0,0   103    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          151.456          1    151.456,0    151.456,0    151.456    151.456          0,0    41   41    1    16   16    1  lud_internal(float *, int, int) 
      0,0          143.872          1    143.872,0    143.872,0    143.872    143.872          0,0    40   40    1    16   16    1  lud_internal(float *, int, int) 
      0,0          137.888          1    137.888,0    137.888,0    137.888    137.888          0,0    39   39    1    16   16    1  lud_internal(float *, int, int) 
      0,0          130.656          1    130.656,0    130.656,0    130.656    130.656          0,0    38   38    1    16   16    1  lud_internal(float *, int, int) 
      0,0          124.288          1    124.288,0    124.288,0    124.288    124.288          0,0    37   37    1    16   16    1  lud_internal(float *, int, int) 
      0,0          122.176          1    122.176,0    122.176,0    122.176    122.176          0,0    96    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0          118.400          1    118.400,0    118.400,0    118.400    118.400          0,0    36   36    1    16   16    1  lud_internal(float *, int, int) 
      0,0          112.128          1    112.128,0    112.128,0    112.128    112.128          0,0    35   35    1    16   16    1  lud_internal(float *, int, int) 
      0,0          106.144          1    106.144,0    106.144,0    106.144    106.144          0,0    34   34    1    16   16    1  lud_internal(float *, int, int) 
      0,0          101.376          1    101.376,0    101.376,0    101.376    101.376          0,0    33   33    1    16   16    1  lud_internal(float *, int, int) 
      0,0           96.608          1     96.608,0     96.608,0     96.608     96.608          0,0    92    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           96.608          1     96.608,0     96.608,0     96.608     96.608          0,0    94    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           96.224          1     96.224,0     96.224,0     96.224     96.224          0,0    89    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           96.032          1     96.032,0     96.032,0     96.032     96.032          0,0    90    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           95.968          1     95.968,0     95.968,0     95.968     95.968          0,0    93    1    1    32    1    1  lud_perimeter(float *, int, int)
