1.4 2828384 1 2828384.0 2828384.0 2828384 2828384 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828800 1 2828800.0 2828800.0 2828800 2828800 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830816 1 2830816.0 2830816.0 2830816 2830816 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828032 1 2828032.0 2828032.0 2828032 2828032 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831136 1 2831136.0 2831136.0 2831136 2831136 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830304 1 2830304.0 2830304.0 2830304 2830304 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830496 1 2830496.0 2830496.0 2830496 2830496 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831008 1 2831008.0 2831008.0 2831008 2831008 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830144 1 2830144.0 2830144.0 2830144 2830144 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829856 1 2829856.0 2829856.0 2829856 2829856 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829920 1 2829920.0 2829920.0 2829920 2829920 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827168 1 2827168.0 2827168.0 2827168 2827168 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827392 1 2827392.0 2827392.0 2827392 2827392 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831296 1 2831296.0 2831296.0 2831296 2831296 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829824 1 2829824.0 2829824.0 2829824 2829824 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831168 1 2831168.0 2831168.0 2831168 2831168 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827264 1 2827264.0 2827264.0 2827264 2827264 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828096 1 2828096.0 2828096.0 2828096 2828096 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
0.7 1422944 1 1422944.0 1422944.0 1422944 1422944 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827200 1 2827200.0 2827200.0 2827200 2827200 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830880 1 2830880.0 2830880.0 2830880 2830880 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829472 1 2829472.0 2829472.0 2829472 2829472 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830528 1 2830528.0 2830528.0 2830528 2830528 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831008 1 2831008.0 2831008.0 2831008 2831008 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831072 1 2831072.0 2831072.0 2831072 2831072 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830976 1 2830976.0 2830976.0 2830976 2830976 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830624 1 2830624.0 2830624.0 2830624 2830624 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827840 1 2827840.0 2827840.0 2827840 2827840 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828640 1 2828640.0 2828640.0 2828640 2828640 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830816 1 2830816.0 2830816.0 2830816 2830816 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828480 1 2828480.0 2828480.0 2828480 2828480 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828960 1 2828960.0 2828960.0 2828960 2828960 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830112 1 2830112.0 2830112.0 2830112 2830112 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829408 1 2829408.0 2829408.0 2829408 2829408 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829408 1 2829408.0 2829408.0 2829408 2829408 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831968 1 2831968.0 2831968.0 2831968 2831968 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828480 1 2828480.0 2828480.0 2828480 2828480 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827264 1 2827264.0 2827264.0 2827264 2827264 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830848 1 2830848.0 2830848.0 2830848 2830848 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831104 1 2831104.0 2831104.0 2831104 2831104 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828640 1 2828640.0 2828640.0 2828640 2828640 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
0.7 1440704 1 1440704.0 1440704.0 1440704 1440704 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2832288 1 2832288.0 2832288.0 2832288 2832288 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827296 1 2827296.0 2827296.0 2827296 2827296 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830368 1 2830368.0 2830368.0 2830368 2830368 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827520 1 2827520.0 2827520.0 2827520 2827520 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830976 1 2830976.0 2830976.0 2830976 2830976 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831744 1 2831744.0 2831744.0 2831744 2831744 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827776 1 2827776.0 2827776.0 2827776 2827776 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830560 1 2830560.0 2830560.0 2830560 2830560 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831712 1 2831712.0 2831712.0 2831712 2831712 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2826400 1 2826400.0 2826400.0 2826400 2826400 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829408 1 2829408.0 2829408.0 2829408 2829408 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829056 1 2829056.0 2829056.0 2829056 2829056 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829376 1 2829376.0 2829376.0 2829376 2829376 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831040 1 2831040.0 2831040.0 2831040 2831040 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830592 1 2830592.0 2830592.0 2830592 2830592 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2826432 1 2826432.0 2826432.0 2826432 2826432 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827808 1 2827808.0 2827808.0 2827808 2827808 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829728 1 2829728.0 2829728.0 2829728 2829728 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827488 1 2827488.0 2827488.0 2827488 2827488 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830496 1 2830496.0 2830496.0 2830496 2830496 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829696 1 2829696.0 2829696.0 2829696 2829696 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2825312 1 2825312.0 2825312.0 2825312 2825312 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831488 1 2831488.0 2831488.0 2831488 2831488 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831072 1 2831072.0 2831072.0 2831072 2831072 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831776 1 2831776.0 2831776.0 2831776 2831776 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828352 1 2828352.0 2828352.0 2828352 2828352 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827296 1 2827296.0 2827296.0 2827296 2827296 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831680 1 2831680.0 2831680.0 2831680 2831680 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828928 1 2828928.0 2828928.0 2828928 2828928 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827616 1 2827616.0 2827616.0 2827616 2827616 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828352 1 2828352.0 2828352.0 2828352 2828352 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831904 1 2831904.0 2831904.0 2831904 2831904 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830400 1 2830400.0 2830400.0 2830400 2830400 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830944 1 2830944.0 2830944.0 2830944 2830944 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
0.7 1438304 1 1438304.0 1438304.0 1438304 1438304 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828992 1 2828992.0 2828992.0 2828992 2828992 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827808 1 2827808.0 2827808.0 2827808 2827808 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829248 1 2829248.0 2829248.0 2829248 2829248 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827488 1 2827488.0 2827488.0 2827488 2827488 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
