1,0 5.002.528 2 2.501.264,0 2.501.264,0 1.908.352 3.094.176 838.504,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.000.928 2 2.500.464,0 2.500.464,0 1.916.544 3.084.384 825.787,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.008.480 2 2.504.240,0 2.504.240,0 1.925.056 3.083.424 819.089,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.028.672 2 2.514.336,0 2.514.336,0 1.924.544 3.104.128 834.091,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.017.600 2 2.508.800,0 2.508.800,0 1.916.640 3.100.960 837.440,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.013.376 2 2.506.688,0 2.506.688,0 1.913.920 3.099.456 838.300,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.007.328 2 2.503.664,0 2.503.664,0 1.918.112 3.089.216 828.095,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.002.016 2 2.501.008,0 2.501.008,0 1.906.784 3.095.232 840.359,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.006.176 2 2.503.088,0 2.503.088,0 1.913.376 3.092.800 833.978,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.004.096 2 2.502.048,0 2.502.048,0 1.902.912 3.101.184 847.306,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.000.576 2 2.500.288,0 2.500.288,0 1.918.304 3.082.272 823.049,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 10.263.968 2 5.131.984,0 5.131.984,0 2.903.424 7.360.544 3.151.659,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.987.744 2 2.493.872,0 2.493.872,0 1.905.120 3.082.624 832.621,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 5.002.720 2 2.501.360,0 2.501.360,0 1.909.184 3.093.536 837.463,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.011.744 2 2.505.872,0 2.505.872,0 1.912.896 3.098.848 838.594,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.016.672 2 2.508.336,0 2.508.336,0 1.919.200 3.097.472 833.164,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.006.688 2 2.503.344,0 2.503.344,0 1.912.768 3.093.920 835.200,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.006.464 2 2.503.232,0 2.503.232,0 1.910.976 3.095.488 837.576,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.008.896 2 2.504.448,0 2.504.448,0 1.909.376 3.099.520 841.558,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.003.872 2 2.501.936,0 2.501.936,0 1.908.544 3.095.328 839.183,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.008.192 2 2.504.096,0 2.504.096,0 1.910.976 3.097.216 838.798,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.005.440 2 2.502.720,0 2.502.720,0 1.914.528 3.090.912 831.829,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 4.994.144 2 2.497.072,0 2.497.072,0 1.904.480 3.089.664 838.051,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.009.376 2 2.504.688,0 2.504.688,0 1.910.272 3.099.104 840.631,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.013.344 2 2.506.672,0 2.506.672,0 1.914.624 3.098.720 837.282,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
