0,0 20.992 2 10.496,0 10.496,0 6.336 14.656 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.184 2 8.592,0 8.592,0 5.024 12.160 5.045,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.184 2 10.592,0 10.592,0 6.336 14.848 6.018,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.928 2 10.464,0 10.464,0 6.400 14.528 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.832 2 8.416,0 8.416,0 4.832 12.000 5.068,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.552 9.536 1.402,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.544 2 10.272,0 10.272,0 6.208 14.336 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.024 2 10.512,0 10.512,0 6.496 14.528 5.679,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.600 2 12.800,0 12.800,0 8.448 17.152 6.154,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.992 2 6.496,0 6.496,0 4.192 8.800 3.258,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.632 2 12.816,0 12.816,0 8.992 16.640 5.408,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.640 2 10.320,0 10.320,0 6.432 14.208 5.498,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.248 2 12.624,0 12.624,0 8.128 17.120 6.358,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.600 2 10.800,0 10.800,0 6.304 15.296 6.358,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 25.696 2 12.848,0 12.848,0 8.128 17.568 6.675,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 22.144 2 11.072,0 11.072,0 6.272 15.872 6.788,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.192 2 10.096,0 10.096,0 6.304 13.888 5.362,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.896 2 10.448,0 10.448,0 6.368 14.528 5.770,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.744 2 7.872,0 7.872,0 4.672 11.072 4.525,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.736 2 10.368,0 10.368,0 6.336 14.400 5.702,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.768 2 12.384,0 12.384,0 8.288 16.480 5.792,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.952 2 6.976,0 6.976,0 5.184 8.768 2.534,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.864 2 8.432,0 8.432,0 4.608 12.256 5.408,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.672 2 10.336,0 10.336,0 6.432 14.240 5.521,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.264 2 7.632,0 7.632,0 6.176 9.088 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 16.480 2 8.240,0 8.240,0 5.504 10.976 3.869,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 26.272 2 13.136,0 13.136,0 8.992 17.280 5.860,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.320 2 10.160,0 10.160,0 6.176 14.144 5.634,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.824 2 10.912,0 10.912,0 7.328 14.496 5.068,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.416 2 8.208,0 8.208,0 4.704 11.712 4.955,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 25.632 2 12.816,0 12.816,0 8.224 17.408 6.494,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.056 2 10.528,0 10.528,0 6.368 14.688 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.600 2 12.800,0 12.800,0 8.896 16.704 5.521,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.928 2 10.464,0 10.464,0 6.400 14.528 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.376 2 10.688,0 10.688,0 6.432 14.944 6.018,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.864 2 10.432,0 10.432,0 6.432 14.432 5.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.408 2 10.704,0 10.704,0 6.368 15.040 6.132,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.472 2 12.736,0 12.736,0 8.864 16.608 5.475,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.152 2 10.576,0 10.576,0 6.240 14.912 6.132,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.928 2 12.464,0 12.464,0 8.192 16.736 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 26.560 2 13.280,0 13.280,0 8.768 17.792 6.380,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.512 2 10.256,0 10.256,0 6.336 14.176 5.543,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.864 2 10.432,0 10.432,0 6.368 14.496 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.416 2 10.208,0 10.208,0 6.336 14.080 5.475,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.952 2 10.976,0 10.976,0 6.400 15.552 6.471,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.992 2 10.496,0 10.496,0 6.400 14.592 5.792,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.416 2 10.208,0 10.208,0 6.304 14.112 5.521,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.504 2 10.752,0 10.752,0 6.528 14.976 5.973,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 25.312 2 12.656,0 12.656,0 8.928 16.384 5.272,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.672 2 10.336,0 10.336,0 6.304 14.368 5.702,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.632 2 10.816,0 10.816,0 6.560 15.072 6.018,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.088 2 10.544,0 10.544,0 6.400 14.688 5.860,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.832 2 10.416,0 10.416,0 6.400 14.432 5.679,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.832 2 10.416,0 10.416,0 6.464 14.368 5.589,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.792 2 12.896,0 12.896,0 8.640 17.152 6.018,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.576 2 10.288,0 10.288,0 6.336 14.240 5.589,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.864 2 10.432,0 10.432,0 6.240 14.624 5.928,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.600 2 12.800,0 12.800,0 9.184 16.416 5.113,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 25.728 2 12.864,0 12.864,0 8.224 17.504 6.562,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.416 2 10.208,0 10.208,0 6.304 14.112 5.521,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.416 2 10.208,0 10.208,0 6.240 14.176 5.611,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.384 2 12.192,0 12.192,0 8.224 16.160 5.611,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.088 2 10.544,0 10.544,0 6.304 14.784 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
