1,0 1.671.549.920 6.000 278.591,0 278.208,0 276.160 664.640 10.869,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.072.960 6.000 279.178,0 278.592,0 276.544 641.344 14.096,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.267.840 6.000 278.544,0 278.176,0 276.256 642.208 7.590,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.614.528 6.000 279.102,0 278.720,0 276.544 642.080 10.555,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.376.384 6.000 279.062,0 278.592,0 276.352 653.600 11.729,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.480.032 6.000 279.246,0 278.880,0 274.528 645.376 10.681,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.415.232 6.000 278.569,0 278.240,0 276.256 647.392 8.558,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.489.248 6.000 279.081,0 278.720,0 276.448 641.184 9.674,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.829.536 6.000 278.971,0 278.528,0 276.192 639.904 11.502,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.914.432 6.000 279.152,0 278.592,0 276.192 646.176 12.808,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.513.504 6.000 275.585,0 275.392,0 272.512 644.640 7.430,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.557.216 6.000 279.092,0 278.848,0 276.512 644.352 8.374,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.190.880 6.000 279.031,0 278.464,0 276.160 643.616 13.312,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.995.392 6.000 278.665,0 278.464,0 274.816 645.984 6.957,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.679.530.592 6.000 279.921,0 278.816,0 276.576 653.056 19.329,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.326.976 6.000 278.887,0 278.560,0 276.704 650.304 9.513,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.306.272 6.000 278.884,0 278.688,0 276.544 649.984 6.988,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.030.336 6.000 279.005,0 278.208,0 276.000 1.371.008 20.104,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.680.136.960 6.000 280.022,0 278.592,0 276.352 657.728 22.068,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.329.696 6.000 279.388,0 279.008,0 276.928 657.472 10.723,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.925.408 6.000 279.320,0 278.976,0 276.832 644.096 9.670,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.668.224 6.000 278.944,0 278.656,0 276.544 640.832 8.286,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.094.496 6.000 275.349,0 274.912,0 271.936 640.416 10.817,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
