0,0 624.576 3 208.192,0 205.568,0 200.800 218.208 8.995,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 645.088 3 215.029,0 211.168,0 210.464 223.456 7.306,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.384 3 213.461,0 211.840,0 207.680 220.864 6.739,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.616 3 213.205,0 210.208,0 208.448 220.960 6.773,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.752 3 215.584,0 211.424,0 210.240 225.088 8.252,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 644.576 3 214.858,0 215.360,0 209.280 219.936 5.345,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.880 3 212.960,0 211.136,0 209.024 218.720 5.098,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.160 3 213.386,0 209.728,0 208.064 222.368 7.822,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.232 3 213.077,0 211.232,0 208.288 219.712 5.931,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.288 3 213.429,0 211.008,0 210.144 219.136 4.961,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.256 3 213.418,0 213.120,0 207.104 220.032 6.469,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.784 3 212.928,0 209.856,0 209.536 219.392 5.600,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.736 3 213.578,0 213.312,0 206.976 220.448 6.740,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.520 3 213.173,0 210.688,0 207.648 221.184 7.102,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.584 3 213.194,0 210.784,0 207.616 221.184 7.098,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.368 3 212.789,0 210.944,0 209.056 218.368 4.922,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.376 3 213.792,0 212.256,0 207.456 221.664 7.227,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.376 3 213.792,0 211.072,0 208.960 221.344 6.624,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 652.064 3 217.354,0 216.992,0 214.688 220.384 2.865,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.304 3 215.434,0 215.904,0 208.416 221.984 6.796,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 649.760 3 216.586,0 215.136,0 214.304 220.320 3.259,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.912 3 212.970,0 211.392,0 207.456 220.064 6.450,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 637.632 3 212.544,0 209.824,0 208.032 219.776 6.326,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
