      4,0       14.899.904        127     117.322,0     108.576,0      71.616      205.120       37.390,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.199.936        128      64.062,0      63.920,0      63.488       71.904          784,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       92.462.560        127     728.051,0     551.680,0      7.520    2.197.824     644.342,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.984.864        127      86.495,0      79.936,0     53.216      150.976      27.455,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.123.136        128      47.837,0      47.680,0     47.520       53.440         554,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      131.551.232        127   1.035.836,0     739.648,0       9.248    3.218.752      938.681,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.767.360        127     116.278,0     107.264,0      70.208      205.536       37.984,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.110.336        128      63.362,0      63.072,0      62.240       72.288        1.100,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      129.989.792        127   1.023.541,0     746.688,0       9.696    3.145.952      927.698,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.769.888        127     116.298,0     107.520,0      70.080      207.136       37.987,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.103.616        128      63.309,0      63.152,0      62.336       72.000          953,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       91.936.960        127     723.913,0     531.264,0      6.816    2.208.064     649.517,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.681.248        127      84.104,0      79.328,0     45.984      151.776      30.029,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        5.848.704        128      45.693,0      47.408,0     40.608       53.408       3.091,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      129.027.744        127   1.015.966,0     730.656,0       6.944    3.152.992      927.751,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.120.736        127     111.186,0     106.656,0      47.104      206.272       44.476,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        7.484.192        128      58.470,0      62.800,0      39.936       72.704        9.186,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       92.783.072        127     730.575,0     549.920,0      7.232    2.198.720     646.562,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.985.376        127      86.499,0      79.776,0     53.728      151.360      27.498,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.133.792        128      47.920,0      47.904,0     47.488       53.184         511,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      132.693.504        127   1.044.830,0     785.024,0       9.536    3.190.272      935.019,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.816.480        127     116.665,0     108.864,0      71.040      206.656       38.277,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.192.576        128      64.004,0      63.840,0      63.232       71.808          803,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       91.136.224        127     717.608,0     516.064,0      5.440    2.196.608     649.885,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.653.984        127      83.889,0      78.464,0     38.496      151.488      30.551,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        5.824.224        128      45.501,0      47.056,0     33.408       53.152       4.728,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      135.968.384        127   1.070.617,0     839.392,0       9.760    3.996.288      975.865,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.794.944        127     116.495,0     108.320,0      70.464      206.720       38.245,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.189.536        128      63.980,0      63.712,0      63.168       71.840        1.085,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      126.769.664        127     998.186,0     722.784,0       6.144    3.197.152     933.867,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       13.347.808        127     105.100,0     107.392,0      44.672      206.464      49.606,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.901.376        128      53.917,0      62.432,0      39.136       72.256      11.660,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       92.509.504        127     728.421,0     544.864,0      7.488    2.219.648     644.518,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.982.400        127      86.475,0      80.032,0     53.152      151.744      27.575,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.120.032        128      47.812,0      47.680,0     47.488       53.216         535,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       81.642.528        127     642.854,0     480.128,0      6.176   1.943.296     566.532,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        9.202.656        127      72.461,0      67.968,0     44.960     130.304      22.906,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        5.063.840        128      39.561,0      39.488,0     38.720      45.568         640,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       71.428.896        127     562.432,0     421.440,0      5.376   1.700.640     493.970,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.435.200        127      58.544,0      54.336,0     36.192     105.056      18.496,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.112.768        128      32.131,0      32.000,0     31.840      36.288         432,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       79.796.544        127     628.319,0     478.240,0      6.304   1.922.208     555.260,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        8.842.944        127      69.629,0      64.384,0     42.528     125.728      22.272,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.909.792        128      38.357,0      38.272,0     37.888      43.712         528,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      131.126.144        127   1.032.489,0     679.808,0       7.808    3.230.144      946.835,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.770.944        127     116.306,0     105.696,0      69.312      206.240       38.420,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.168.576        128      63.817,0      63.616,0      62.304       72.224          897,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       80.002.944        127     629.944,0     473.312,0      6.048   1.907.456     555.393,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        8.943.584        127      70.421,0      65.056,0     43.264     124.992      22.317,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.941.376        128      38.604,0      38.576,0     38.112      43.584         506,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       79.189.024        127     623.535,0     469.984,0      5.984   1.896.992     548.521,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        8.855.328        127      69.727,0      64.352,0     43.200     123.648      22.048,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.911.648        128      38.372,0      38.272,0     38.112      43.616         505,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      131.746.304        127   1.037.372,0     745.056,0       9.376    3.175.520      940.495,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.789.856        127     116.455,0     106.848,0      70.752      206.976       38.197,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.105.568        128      63.324,0      63.184,0      62.272       71.808        1.000,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      133.932.064        127   1.054.583,0     802.784,0       9.376    3.219.744      939.010,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.831.392        127     116.782,0     108.672,0      70.368      206.176       38.164,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.149.632        128      63.669,0      63.648,0      62.336       71.584        1.124,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       71.394.592        127     562.162,0     426.208,0      5.344   1.708.864     493.623,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.440.128        127      58.583,0      54.400,0     36.224     104.672      18.404,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.122.432        128      32.206,0      32.176,0     31.808      36.544         463,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      131.449.824        127   1.035.038,0     676.032,0       9.600    3.170.752      944.193,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.778.624        127     116.367,0     105.792,0      70.848      208.000       38.478,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.168.288        128      63.814,0      63.664,0      63.168       71.360          815,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0       92.608.448        127     729.200,0     545.536,0      7.264    2.203.040     644.475,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.984.864        127      86.495,0      79.872,0     53.632      151.264      27.518,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.123.904        128      47.843,0      47.776,0     47.520       53.184         511,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
