4,0 8.932.864 127 70.337,0 65.280,0 43.136 124.832 22.380,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.433.376 127 58.530,0 54.496,0 36.000 102.784 18.608,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.788.896 127 116.448,0 106.592,0 70.528 206.688 38.561,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.935.552 127 86.106,0 80.192,0 52.256 151.168 27.950,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.443.296 127 58.608,0 54.304,0 36.256 105.568 18.469,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.900.928 127 85.834,0 78.752,0 52.416 151.072 27.933,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.434.880 127 58.542,0 54.240,0 36.288 105.472 18.457,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.432.544 127 58.524,0 54.240,0 36.000 105.632 18.440,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.532.608 127 59.311,0 54.848,0 36.352 106.944 18.752,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.814.080 127 69.402,0 64.320,0 42.912 123.232 22.225,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.775.392 127 116.341,0 105.792,0 70.464 206.304 38.381,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.825.024 127 116.732,0 108.864,0 70.688 206.112 38.137,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.439.520 127 58.578,0 54.112,0 35.936 103.200 18.724,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.431.264 127 58.513,0 54.208,0 35.904 105.536 18.511,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.430.688 127 58.509,0 54.016,0 35.936 103.008 18.670,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.901.568 127 70.091,0 65.120,0 43.232 123.040 21.977,0 CUDA_KERNEL lud_perimeter(float *, int, int)
