39,0 92.406.688 127 727.611,0 547.008,0 6.304 2.191.712 648.108,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 70.893.952 127 558.220,0 426.272,0 5.472 1.679.840 490.832,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 91.482.144 127 720.331,0 515.968,0 6.432 2.206.784 648.872,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 71.535.200 127 563.269,0 422.496,0 5.344 1.706.048 494.131,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 70.978.496 127 558.885,0 422.208,0 5.312 1.723.840 492.326,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 72.073.728 127 567.509,0 423.680,0 5.312 1.713.920 498.614,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 79.012.704 127 622.147,0 448.288,0 5.696 1.905.760 552.201,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.441.056 127 1.034.968,0 682.336,0 9.792 3.166.784 945.965,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 132.951.776 127 1.046.864,0 798.944,0 9.440 3.187.776 934.948,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 64.065.824 127 504.455,0 378.112,0 5.024 1.526.624 445.330,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.438.656 127 562.509,0 427.040,0 5.280 1.697.056 494.268,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 63.779.936 127 502.204,0 377.792,0 4.992 1.527.424 442.655,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 79.638.112 127 627.071,0 478.688,0 6.144 1.894.528 549.078,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 79.936.960 127 629.424,0 475.200,0 6.368 1.907.808 555.322,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.900.736 127 1.030.714,0 744.576,0 9.312 3.193.952 934.722,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.206.912 127 1.040.999,0 790.880,0 9.536 3.213.824 944.792,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 129.633.024 127 1.020.732,0 734.496,0 8.000 3.194.848 931.485,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 101.807.168 127 801.631,0 538.912,0 6.784 3.998.720 835.583,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.967.360 127 1.031.239,0 728.320,0 8.480 3.169.280 934.189,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 129.420.512 127 1.019.059,0 721.664,0 9.280 3.138.944 921.870,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.777.600 127 1.045.492,0 793.600,0 10.176 3.144.544 920.852,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 129.691.296 127 1.021.191,0 745.248,0 9.632 3.122.144 926.062,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 130.339.872 127 1.026.298,0 726.848,0 8.448 3.101.728 926.062,0 CUDA_KERNEL lud_internal(float *, int, int)
