2,0 4.119.264 128 32.181,0 32.128,0 31.872 36.128 389,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.113.568 128 47.762,0 47.680,0 47.488 52.960 486,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.179.008 128 63.898,0 63.824,0 63.200 72.320 866,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.900.000 128 38.281,0 38.224,0 37.856 42.848 479,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.929.664 128 38.513,0 38.576,0 38.080 43.104 488,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.167.200 128 63.806,0 63.648,0 63.168 71.680 815,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.928.608 128 38.504,0 38.480,0 38.048 42.816 487,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.947.296 128 38.650,0 38.528,0 38.112 44.256 595,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.119.168 128 32.181,0 32.112,0 31.872 35.936 379,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.100.224 128 63.283,0 63.088,0 62.208 71.840 1.208,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.094.464 128 47.613,0 47.696,0 46.752 53.440 701,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.121.184 128 32.196,0 32.032,0 31.808 36.928 499,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.069.312 128 47.416,0 47.360,0 46.752 53.088 649,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.121.440 128 32.198,0 32.128,0 31.840 36.480 441,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.139.072 128 32.336,0 32.352,0 31.808 37.152 481,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.171.936 128 32.593,0 32.576,0 32.000 36.928 432,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.922.144 128 38.454,0 38.448,0 37.888 43.520 512,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.160.544 128 63.754,0 63.616,0 63.136 71.648 820,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.147.776 128 63.654,0 63.584,0 62.368 72.032 1.009,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.119.104 128 32.180,0 32.096,0 31.808 35.840 374,0 CUDA_KERNEL lud_diagonal(float *, int, int)
