1,0 167.933.568 2.000 83.966,0 81.312,0 80.256 209.504 14.805,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.743.488 2.000 82.871,0 81.376,0 80.384 210.848 9.201,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.893.280 2.000 82.946,0 81.504,0 80.448 211.424 9.331,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.642.784 2.000 82.821,0 81.120,0 80.096 209.856 10.897,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.633.696 2.000 84.316,0 81.920,0 80.800 210.944 13.975,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.078.112 2.000 83.039,0 81.280,0 80.160 1.048.704 22.544,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.397.504 2.000 83.198,0 81.472,0 80.448 210.944 10.166,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.734.656 2.000 82.867,0 81.376,0 80.416 210.880 8.800,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.519.584 2.000 83.259,0 81.568,0 80.736 211.968 10.441,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.663.168 2.000 83.331,0 81.280,0 80.256 1.068.320 24.278,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.980.768 2.000 83.490,0 81.888,0 80.896 211.168 10.601,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.634.112 2.000 83.317,0 81.504,0 80.384 211.488 11.303,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.761.536 2.000 82.880,0 81.152,0 80.256 211.008 9.994,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 169.283.264 2.000 84.641,0 81.216,0 80.128 1.963.520 53.355,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.424.768 2.000 83.712,0 81.504,0 80.480 212.480 13.576,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.799.776 2.000 83.399,0 81.280,0 80.192 210.624 12.670,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 164.886.752 2.000 82.443,0 81.024,0 80.160 209.344 9.496,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.085.248 2.000 82.542,0 81.312,0 80.448 210.336 8.522,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.028.576 2.000 83.014,0 81.248,0 80.352 210.272 9.642,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.518.400 2.000 83.759,0 80.864,0 79.936 208.832 15.837,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.442.304 2.000 84.221,0 81.376,0 80.160 211.136 14.428,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.257.504 2.000 83.628,0 81.216,0 80.224 210.208 13.940,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.139.232 2.000 83.069,0 81.472,0 80.416 210.624 10.462,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.220.544 2.000 83.110,0 81.088,0 80.064 208.736 12.621,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.621.632 2.000 82.810,0 81.376,0 80.160 209.504 9.745,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 164.317.184 2.000 82.158,0 80.864,0 79.936 209.248 8.519,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.952.800 2.000 83.976,0 81.408,0 80.448 1.057.856 24.951,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.664.000 2.000 82.832,0 81.056,0 80.160 209.856 11.005,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.514.560 2.000 83.257,0 81.248,0 80.320 212.448 12.849,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.806.048 2.000 82.903,0 81.760,0 80.704 149.184 6.058,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.818.080 2.000 82.909,0 81.152,0 80.288 210.240 11.068,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.243.744 2.000 83.621,0 82.016,0 80.832 211.904 10.495,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.378.016 2.000 83.689,0 81.344,0 80.384 1.945.824 42.712,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.166.304 2.000 83.083,0 81.152,0 80.032 210.080 12.589,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.993.984 2.000 83.997,0 81.440,0 80.512 209.792 14.626,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.028.256 2.000 84.014,0 81.152,0 80.192 877.856 22.812,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.066.528 2.000 85.033,0 81.280,0 80.448 220.672 18.100,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 169.921.856 2.000 84.960,0 81.536,0 80.480 2.899.744 64.324,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.567.136 2.000 85.283,0 81.376,0 80.544 211.232 18.336,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.520.000 2.000 82.760,0 81.344,0 80.384 210.880 9.320,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.477.760 2.000 84.238,0 81.376,0 80.288 3.025.728 66.400,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.134.272 2.000 84.067,0 81.568,0 80.640 873.120 21.453,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.180.416 2.000 83.090,0 81.248,0 80.352 210.656 11.627,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.880.352 2.000 83.440,0 81.600,0 80.544 212.352 11.905,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.830.432 2.000 82.915,0 81.344,0 80.352 211.392 9.805,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.035.968 2.000 83.518,0 80.992,0 79.968 208.128 13.356,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.628.064 2.000 83.314,0 81.504,0 80.256 210.784 11.771,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.368.256 2.000 83.184,0 81.632,0 80.576 211.264 9.194,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.552.096 2.000 82.776,0 81.408,0 80.288 211.520 9.516,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.915.584 2.000 83.457,0 81.376,0 80.384 210.944 13.012,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.287.072 2.000 83.643,0 81.216,0 80.160 210.080 13.854,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.862.400 2.000 83.431,0 81.728,0 80.672 210.656 11.184,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.958.464 2.000 83.979,0 81.728,0 80.832 211.040 13.354,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.492.672 2.000 82.746,0 81.024,0 80.160 209.536 10.920,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.172.480 2.000 83.086,0 81.248,0 80.128 209.696 11.316,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.001.760 2.000 83.000,0 80.992,0 80.064 1.048.672 23.703,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.473.536 2.000 84.236,0 81.504,0 80.320 210.528 15.401,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.010.432 2.000 83.005,0 81.312,0 80.320 211.040 11.131,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.446.336 2.000 83.223,0 81.440,0 80.416 212.384 11.131,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.355.616 2.000 83.177,0 81.312,0 80.128 209.952 11.139,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 169.129.024 2.000 84.564,0 81.984,0 80.960 211.552 14.740,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.481.152 2.000 83.240,0 81.568,0 80.608 209.824 11.194,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 169.413.760 2.000 84.706,0 81.440,0 80.256 212.480 16.604,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.397.056 2.000 85.198,0 81.440,0 80.384 210.720 18.080,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.821.760 2.000 82.910,0 81.216,0 80.288 211.136 11.020,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.828.288 2.000 83.914,0 81.344,0 80.320 231.584 14.310,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.776.672 2.000 82.888,0 81.408,0 80.320 210.528 8.843,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.670.048 2.000 82.835,0 81.376,0 80.256 209.536 9.199,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.566.880 2.000 82.783,0 81.216,0 80.128 210.656 9.630,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.103.776 2.000 83.051,0 81.280,0 80.192 211.392 11.342,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.413.504 2.000 83.206,0 81.984,0 80.960 212.448 8.495,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.632.832 2.000 83.316,0 81.312,0 80.448 209.312 12.740,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.748.320 2.000 83.374,0 81.248,0 80.320 210.784 13.052,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.013.504 2.000 83.506,0 81.696,0 80.736 212.448 11.395,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.070.432 2.000 83.035,0 81.184,0 80.192 211.456 11.457,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.698.048 2.000 84.349,0 81.216,0 80.288 210.784 16.224,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.429.120 2.000 83.214,0 81.760,0 80.736 210.560 9.084,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.000.448 2.000 83.000,0 81.472,0 80.576 209.632 9.692,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
