0,0 340.384 3 113.461,0 111.776,0 109.536 119.072 4.986,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 327.872 3 109.290,0 108.864,0 107.936 111.072 1.610,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.464 3 112.821,0 113.888,0 110.560 114.016 1.959,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.856 3 115.285,0 111.808,0 110.720 123.328 6.986,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 328.832 3 109.610,0 110.112,0 107.808 110.912 1.611,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 350.144 3 116.714,0 112.672,0 111.552 125.920 7.991,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 330.304 3 110.101,0 110.592,0 107.072 112.640 2.816,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.056 3 112.352,0 112.576,0 107.232 117.248 5.011,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 326.176 3 108.725,0 108.544,0 108.384 109.248 459,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 329.920 3 109.973,0 110.464,0 108.160 111.296 1.624,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.584 3 110.528,0 111.744,0 107.040 112.800 3.066,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.344 3 112.448,0 113.312,0 110.304 113.728 1.868,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 336.192 3 112.064,0 112.032,0 109.984 114.176 2.096,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 354.208 3 118.069,0 115.072,0 113.536 125.600 6.566,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 341.056 3 113.685,0 113.152,0 110.208 117.696 3.772,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 344.224 3 114.741,0 112.768,0 107.520 123.936 8.384,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 188.576 3 62.858,0 62.272,0 61.760 64.544 1.481,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 330.880 3 110.293,0 109.504,0 109.408 111.968 1.451,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
